SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
773555,USD,2011,Q2,2011-08-09,2011-08-09,26491000.0,26613000.0,90487000.0,108373000.0,119630000.0,333449000.0,125572000.0,,184477000.0,310049000.0,643498000,69306000.0,958000.0,108832000.0,274476000.0,328766000.0,437598000,149826000.0,,65176000.0,205900000.0,643498000,AIMC,2011-06-30
773555,USD,2011,Q3,2011-11-03,2011-11-03,26546000.0,26655000.0,90261000.0,103718000.0,123539000.0,332914000.0,122650000.0,,179759000.0,302409000.0,635323000,72377000.0,824000.0,107894000.0,266417000.0,317191000.0,425085000,149033000.0,,77315000.0,210238000.0,635323000,AIMC,2011-09-30
773555,USD,2011,Q4,2012-02-24,2013-02-25,26580000.0,26880000.0,92515000.0,91859000.0,125970000.0,330640000.0,123464000.0,,175881000.0,299345000.0,629985000,72502000.0,688000.0,102106000.0,263361000.0,319483000.0,421589000,150261000.0,,83211000.0,208396000.0,629985000,AIMC,2011-12-31
773555,USD,2012,Q1,2012-04-30,2012-04-30,26606000.0,26660000.0,79946000.0,110451000.0,127112000.0,336455000.0,128424000.0,,175644000.0,304068000.0,640523000,64428000.0,1109000.0,99193000.0,260512000.0,316408000.0,415601000,150994000.0,,93727000.0,224922000.0,640523000,AIMC,2012-03-31
773555,USD,2012,Q2,2012-08-09,2012-08-09,26606000.0,26664000.0,95235000.0,101823000.0,120973000.0,335478000.0,129835000.0,,167489000.0,297324000.0,632802000,61777000.0,21475000.0,116111000.0,240194000.0,290496000.0,406607000,151747000.0,,102989000.0,226195000.0,632802000,AIMC,2012-06-30
773555,USD,2012,Q3,2012-11-07,2012-11-07,26675000.0,26708000.0,88136000.0,94513000.0,124336000.0,322590000.0,136645000.0,,173120000.0,309765000.0,632355000,62336000.0,997000.0,99848000.0,241614000.0,291396000.0,391244000,151589000.0,,110160000.0,241111000.0,632355000,AIMC,2012-09-30
773555,USD,2012,Q4,2013-02-25,2014-02-26,26737000.0,26992000.0,85154000.0,92933000.0,123776000.0,323756000.0,138094000.0,,171189000.0,309283000.0,633039000,65647000.0,9135000.0,105900000.0,238460000.0,293888000.0,399788000,152215000.0,,103200000.0,233251000.0,633039000,AIMC,2012-12-31
773555,USD,2013,Q1,2013-04-29,2013-04-29,26733000.0,26767000.0,66171000.0,103103000.0,123034000.0,309952000.0,137008000.0,,167364000.0,304372000.0,614324000,63269000.0,10904000.0,105470000.0,217143000.0,271930000.0,377400000,153064000.0,,112928000.0,236924000.0,614324000,AIMC,2013-03-31
773555,USD,2013,Q2,2013-07-26,2013-07-26,26733000.0,26751000.0,61507000.0,99218000.0,119881000.0,298290000.0,136377000.0,,165723000.0,302100000.0,600390000,63146000.0,11883000.0,104683000.0,195372000.0,249161000.0,353844000,153982000.0,,120906000.0,246546000.0,600390000,AIMC,2013-06-30
773555,USD,2013,Q3,2013-10-29,2013-10-29,26780000.0,26836000.0,70272000.0,99773000.0,120571000.0,307403000.0,136196000.0,,164915000.0,301111000.0,608514000,67731000.0,12800000.0,113915000.0,181085000.0,234648000.0,348563000,153446000.0,,128722000.0,259951000.0,608514000,AIMC,2013-09-30
