SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
819790,USD,2015,Q2,2015-08-09,2015-08-14,2706369.0,2706369.0,20883000.0,23568000.0,8344000.0,60228000.0,8409000.0,,50585000.0,58994000.0,119222000,29850000.0,,31658000.0,6700000.0,19403000.0,51061000,28000.0,-42000.0,-134281000.0,68161000.0,119222000,ALRM,2015-06-30
819790,USD,2015,Q3,2015-11-12,2015-11-12,44922410.0,46872695.0,126601000.0,21746000.0,9625000.0,166316000.0,12040000.0,,44769000.0,56809000.0,223125000,31131000.0,,33503000.0,6700000.0,23818000.0,57321000,296898000.0,-42000.0,-131052000.0,165804000.0,223125000,ALRM,2015-09-30
819790,USD,2015,Q4,2016-02-09,2017-03-16,46167856.0,42681597.0,128358000.0,21348000.0,6474000.0,161050000.0,15446000.0,,49599000.0,65045000.0,226095000,26790000.0,,29079000.0,6700000.0,26885000.0,55964000,298236000.0,-42000.0,-128063000.0,170131000.0,226095000,ALRM,2015-12-31
819790,USD,2016,Q1,2016-05-10,2016-05-10,45526058.0,47303896.0,135845000.0,23532000.0,7583000.0,171552000.0,17494000.0,,46822000.0,64316000.0,235868000,30993000.0,,33343000.0,6700000.0,28077000.0,61420000,299815000.0,-42000.0,-125325000.0,174448000.0,235868000,ALRM,2016-03-31
819790,USD,2016,Q2,2016-08-15,2016-08-15,45602061.0,47523187.0,134164000.0,27502000.0,9453000.0,177600000.0,17361000.0,,46969000.0,64330000.0,241930000,33395000.0,,35813000.0,6700000.0,28535000.0,64348000,301034000.0,0.0,-123452000.0,177582000.0,241930000,ALRM,2016-06-30
819790,USD,2016,Q3,2016-11-14,2016-11-14,45716961.0,48319952.0,135050000.0,28734000.0,11504000.0,183549000.0,17645000.0,,49154000.0,66799000.0,250348000,35091000.0,,37213000.0,6700000.0,28835000.0,66048000,305185000.0,0.0,-120885000.0,184300000.0,250348000,ALRM,2016-09-30
819790,USD,2016,Q4,2017-03-16,2018-02-28,46021948.0,48355053.0,140634000.0,29810000.0,10543000.0,190184000.0,20180000.0,,50881000.0,71061000.0,261245000,37114000.0,,39699000.0,6700000.0,30297000.0,69996000,309158000.0,,-117909000.0,191249000.0,261245000,ALRM,2016-12-31
819790,USD,2017,Q1,2017-05-10,2017-05-10,46225473.0,48758774.0,63150000.0,38889000.0,7289000.0,119259000.0,20788000.0,,195593000.0,216381000.0,335640000,38059000.0,,41003000.0,73700000.0,96230000.0,137233000,312372000.0,,-113965000.0,198407000.0,335640000,ALRM,2017-03-31
819790,USD,2017,Q2,2017-08-09,2017-08-09,46442327.0,49000553.0,68916000.0,41986000.0,10263000.0,137196000.0,22610000.0,,196435000.0,219045000.0,356241000,45338000.0,,48223000.0,72700000.0,96732000.0,144955000,315386000.0,,-104100000.0,211286000.0,356241000,ALRM,2017-06-30
819790,USD,2017,Q3,2017-11-09,2017-11-09,46886345.0,49259701.0,84640000.0,41201000.0,13617000.0,155235000.0,23399000.0,,196024000.0,219423000.0,374658000,46014000.0,,49129000.0,72000000.0,95615000.0,144744000,318911000.0,,-88997000.0,229914000.0,374658000,ALRM,2017-09-30
819790,USD,2017,Q4,2018-02-28,2018-11-07,47174419.0,49596764.0,96329000.0,40634000.0,14177000.0,163936000.0,23459000.0,,184246000.0,207705000.0,371641000,41211000.0,,44503000.0,71000000.0,94311000.0,138814000,321504000.0,,-88677000.0,232827000.0,371641000,ALRM,2017-12-31
819790,USD,2018,Q1,2018-05-04,2018-05-04,47226382.0,49268255.0,96798000.0,43634000.0,12890000.0,174164000.0,25228000.0,,180651000.0,205879000.0,380043000,34060000.0,,37341000.0,70000000.0,92444000.0,129785000,325298000.0,,-75040000.0,250258000.0,380043000,ALRM,2018-03-31
819790,USD,2018,Q2,2018-08-07,2018-08-07,47439311.0,49497088.0,105959000.0,52553000.0,14718000.0,193911000.0,26587000.0,,182298000.0,208885000.0,402796000,42186000.0,,45646000.0,69000000.0,90952000.0,136598000,330505000.0,,-64307000.0,266198000.0,402796000,ALRM,2018-06-30
819790,USD,2018,Q3,2018-11-07,2018-11-07,47812642.0,47812642.0,124243000.0,55461000.0,16906000.0,213474000.0,28349000.0,,185537000.0,213886000.0,427360000,69467000.0,,73006000.0,68000000.0,89613000.0,162619000,336700000.0,,-71959000.0,264741000.0,427360000,ALRM,2018-09-30
819790,USD,2018,Q4,2019-03-01,2019-05-09,48056621.0,52190751.0,146061000.0,49510000.0,22990000.0,228063000.0,27757000.0,,185165000.0,212922000.0,440985000,71914000.0,,75270000.0,67000000.0,88126000.0,163396000,341620000.0,,-64031000.0,277589000.0,440985000,ALRM,2018-12-31
819790,USD,2019,Q1,2019-05-09,2019-05-09,48172243.0,50172818.0,122442000.0,56123000.0,25714000.0,240581000.0,29366000.0,,209955000.0,239321000.0,479902000,65718000.0,,75643000.0,66000000.0,111763000.0,187406000,347480000.0,,-54984000.0,292496000.0,479902000,ALRM,2019-03-31
819790,USD,2019,Q2,2019-08-09,2019-08-09,48388696.0,50283990.0,150851000.0,60021000.0,23895000.0,268491000.0,29774000.0,,207156000.0,236930000.0,505421000,73107000.0,,83216000.0,65000000.0,109777000.0,192993000,353616000.0,,-41188000.0,312428000.0,505421000,ALRM,2019-06-30
819790,USD,2019,Q3,2019-11-05,2019-11-05,48518041.0,50152807.0,164323000.0,64897000.0,20978000.0,263693000.0,32332000.0,,204981000.0,237313000.0,501006000,46958000.0,,56705000.0,64000000.0,108135000.0,164840000,359664000.0,,-23498000.0,336166000.0,501006000,ALRM,2019-09-30
819790,USD,2019,Q4,2020-02-26,2021-02-25,48630804.0,50485941.0,119629000.0,76373000.0,34168000.0,243674000.0,38548000.0,,275577000.0,314125000.0,557799000,65069000.0,,75795000.0,63000000.0,115143000.0,190938000,366114000.0,,-10463000.0,366861000.0,557799000,ALRM,2019-12-31
819790,USD,2020,Q1,2020-05-07,2020-05-07,48725565.0,50246987.0,171732000.0,81894000.0,36841000.0,309301000.0,39467000.0,,275307000.0,314774000.0,624075000,64828000.0,,77659000.0,113000000.0,169226000.0,246885000,373837000.0,-5149000.0,-2472000.0,377190000.0,624075000,ALRM,2020-03-31
