SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
84598,USD,2015,Q4,2016-02-09,2017-03-08,22210564.0,22791340.0,90988000.0,76919000.0,4291000.0,193747000.0,142701000.0,,601830000.0,744531000.0,938278000,71863000.0,25610000.0,97473000.0,657372000.0,681884000.0,779357000,98000.0,,-128261000.0,158921000.0,938278000,ARA,2015-12-31
84598,USD,2016,Q1,2016-05-16,2016-05-16,22213967.0,22785670.0,95965000.0,75831000.0,5515000.0,199479000.0,151204000.0,,601766000.0,752970000.0,952449000,76463000.0,27171000.0,103634000.0,661369000.0,686392000.0,790026000,555000.0,,-124505000.0,162423000.0,952449000,ARA,2016-03-31
84598,USD,2016,Q2,2016-08-09,2016-08-09,28406999.0,28406999.0,93268000.0,76904000.0,4790000.0,190083000.0,160887000.0,,602042000.0,762929000.0,953012000,94626000.0,40579000.0,135205000.0,517798000.0,563128000.0,698333000,72589000.0,,-133597000.0,254679000.0,953012000,ARA,2016-06-30
84598,USD,2016,Q3,2016-11-10,2016-11-10,30865350.0,31436814.0,105149000.0,77253000.0,4468000.0,204477000.0,165132000.0,,605643000.0,770775000.0,975252000,106400000.0,43582000.0,149982000.0,520017000.0,553671000.0,703653000,69949000.0,,-121527000.0,271599000.0,975252000,ARA,2016-09-30
84598,USD,2016,Q4,2017-03-08,2018-03-06,30988376.0,29845209.0,100916000.0,81127000.0,4676000.0,210380000.0,170118000.0,,605526000.0,775644000.0,986024000,105516000.0,48274000.0,153790000.0,522058000.0,556206000.0,709996000,95246000.0,,-128646000.0,276028000.0,986024000,ARA,2016-12-31
84598,USD,2017,Q1,2017-05-09,2017-05-09,30907482.0,30907482.0,84003000.0,77495000.0,4648000.0,193778000.0,167338000.0,,606300000.0,773638000.0,967416000,95772000.0,45559000.0,141331000.0,520364000.0,551395000.0,692726000,93780000.0,,-129897000.0,274690000.0,967416000,ARA,2017-03-31
84598,USD,2017,Q2,2017-08-08,2017-08-08,30986689.0,30986689.0,74933000.0,77841000.0,4960000.0,191138000.0,165495000.0,,607670000.0,773165000.0,964303000,117501000.0,45711000.0,163212000.0,516442000.0,547029000.0,710241000,95554000.0,,-132003000.0,254062000.0,964303000,ARA,2017-06-30
84598,USD,2017,Q3,2017-11-14,2017-11-14,31095418.0,33833822.0,67593000.0,81234000.0,4672000.0,178703000.0,166890000.0,,606826000.0,773716000.0,952419000,109427000.0,44189000.0,153616000.0,514846000.0,543569000.0,697185000,94344000.0,,-124020000.0,255234000.0,952419000,ARA,2017-09-30
84598,USD,2017,Q4,2018-03-06,2018-08-07,31337707.0,28599303.0,71521000.0,79662000.0,4665000.0,187591000.0,168537000.0,,608080000.0,776617000.0,964208000,112369000.0,44534000.0,156903000.0,515554000.0,546925000.0,703828000,68046000.0,,-123789000.0,260380000.0,964208000,ARA,2017-12-31
84598,USD,2018,Q1,2018-05-08,2018-05-08,31800553.0,31800553.0,64283000.0,85723000.0,7642000.0,189961000.0,168682000.0,,611141000.0,779823000.0,969784000,119999000.0,45121000.0,165120000.0,512822000.0,545199000.0,710319000,68827000.0,,-124485000.0,259465000.0,969784000,ARA,2018-03-31
