SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
173115,USD,2011,Q4,2011-09-19,2012-09-10,62431000.0,60337000.0,95906000.0,61853000.0,97836000.0,285722000.0,44823000.0,,125239000.0,170062000.0,455784000,109063000.0,,203044000.0,,12413000.0,215457000,374033000.0,,-144385000.0,240327000.0,455784000,ARAY,2011-06-30
173115,USD,2012,Q1,2011-11-08,2011-11-08,70263000.0,70263000.0,140150000.0,77913000.0,83318000.0,331223000.0,41963000.0,,126849000.0,168812000.0,500035000,73708000.0,,172120000.0,76559000.0,88894000.0,261014000,399975000.0,,-170895000.0,239021000.0,500035000,ARAY,2011-09-30
173115,USD,2012,Q2,2012-02-08,2012-02-08,70698000.0,70698000.0,148467000.0,73928000.0,82881000.0,328152000.0,40825000.0,,123059000.0,163884000.0,492036000,64851000.0,,171371000.0,77468000.0,89209000.0,260580000,403069000.0,,-181282000.0,231456000.0,492036000,ARAY,2011-12-31
173115,USD,2012,Q3,2012-05-08,2012-05-08,71120000.0,71120000.0,151328000.0,72481000.0,85122000.0,332278000.0,39668000.0,,120783000.0,160451000.0,492729000,75182000.0,,183076000.0,78460000.0,92952000.0,276028000,405464000.0,,-196163000.0,216701000.0,492729000,ARAY,2012-03-31
173115,USD,2012,Q4,2013-03-25,2013-08-29,71467000.0,71467000.0,143504000.0,67890000.0,81693000.0,316258000.0,37458000.0,,119454000.0,156912000.0,473170000,72926000.0,,174174000.0,79466000.0,95129000.0,269303000,409215000.0,,-216427000.0,203867000.0,473170000,ARAY,2012-06-30
173115,USD,2013,Q1,2012-11-08,2012-11-08,71995000.0,71995000.0,121861000.0,57620000.0,81739000.0,285528000.0,39536000.0,,112953000.0,152489000.0,438017000,71276000.0,,170246000.0,80507000.0,98681000.0,268927000,411208000.0,,-240557000.0,169090000.0,438017000,ARAY,2012-09-30
173115,USD,2013,Q2,2013-02-06,2013-02-06,72870000.0,72870000.0,94773000.0,63468000.0,88830000.0,272003000.0,37209000.0,,106423000.0,143632000.0,415635000,62134000.0,,167982000.0,81565000.0,96826000.0,264808000,418082000.0,,-269728000.0,150827000.0,415635000,ARAY,2012-12-31
173115,USD,2013,Q3,2013-05-09,2013-05-09,74016000.0,74016000.0,181526000.0,53992000.0,92225000.0,353570000.0,35325000.0,,108183000.0,143508000.0,497078000,56761000.0,,163966000.0,197658000.0,211067000.0,375033000,420585000.0,,-300931000.0,122045000.0,497078000,ARAY,2013-03-31
173115,USD,2013,Q4,2013-08-29,2014-08-29,74243000.0,74243000.0,174397000.0,55458000.0,81592000.0,335935000.0,34733000.0,,105261000.0,139994000.0,475929000,51274000.0,,155859000.0,198768000.0,213235000.0,369094000,424599000.0,,-319646000.0,106835000.0,475929000,ARAY,2013-06-30
173115,USD,2014,Q1,2013-11-08,2013-11-08,74700000.0,74700000.0,161595000.0,60136000.0,87989000.0,334244000.0,34728000.0,,104189000.0,138917000.0,473161000,54491000.0,,162807000.0,199916000.0,215688000.0,378495000,427508000.0,,-335179000.0,94666000.0,473161000,ARAY,2013-09-30
173115,USD,2014,Q2,2014-02-07,2014-02-07,75280000.0,75280000.0,159649000.0,73777000.0,88153000.0,350361000.0,35569000.0,,99273000.0,134842000.0,485203000,56407000.0,,174173000.0,201082000.0,215853000.0,390026000,433333000.0,,-340620000.0,95177000.0,485203000,ARAY,2013-12-31
173115,USD,2014,Q3,2014-05-07,2014-05-07,76382000.0,76382000.0,174022000.0,59264000.0,95088000.0,359681000.0,34539000.0,,96852000.0,131391000.0,491072000,65430000.0,,178373000.0,202287000.0,216871000.0,395244000,438738000.0,,-345285000.0,95828000.0,491072000,ARAY,2014-03-31
