SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
674718,USD,2012,Q4,2012-08-07,2013-10-04,10077250.0,10077250.0,1448000.0,3585000.0,3649000.0,9672000.0,4473000.0,,7188000.0,11661000.0,21333000,1663000.0,1491000.0,3660000.0,5377000.0,5074000.0,8734000,2609000.0,0.0,9146000.0,12599000.0,21333000,ARCW,2012-06-30
674718,USD,2013,Q1,2012-11-19,2012-11-19,12875000.0,12875000.0,1263000.0,10709000.0,11041000.0,24920000.0,25723000.0,,19099000.0,44822000.0,69742000,6876000.0,9295000.0,16885000.0,30462000.0,30159000.0,47044000,10676000.0,-2000.0,11136000.0,22698000.0,69742000,ARCW,2012-09-30
674718,USD,2013,Q2,2013-02-13,2013-02-13,14181545.0,14181545.0,2181000.0,9798000.0,11155000.0,24022000.0,25085000.0,,19122000.0,44207000.0,68229000,6646000.0,8496000.0,15818000.0,29184000.0,28881000.0,44699000,10676000.0,-1000.0,11920000.0,23530000.0,68229000,ARCW,2012-12-31
674718,USD,2013,Q3,2013-05-14,2013-05-14,14182000.0,14182000.0,2585000.0,11053000.0,11223000.0,26069000.0,24608000.0,,18627000.0,43235000.0,69304000,7552000.0,8732000.0,17375000.0,27840000.0,27568000.0,44943000,10676000.0,-1000.0,12651000.0,24361000.0,69304000,ARCW,2013-03-31
674718,USD,2013,Q4,2013-10-04,2014-11-12,13732187.0,13732187.0,3601000.0,10636000.0,10780000.0,26291000.0,24051000.0,,16330000.0,40381000.0,66672000,7761000.0,7410000.0,16301000.0,24654000.0,24382000.0,40683000,13283000.0,-1000.0,11627000.0,25989000.0,66672000,ARCW,2013-06-30
674718,USD,2014,Q1,2013-11-13,2013-11-13,14320350.0,14320350.0,4338000.0,10482000.0,11036000.0,27322000.0,23694000.0,,16213000.0,39907000.0,67229000,8357000.0,7185000.0,16274000.0,23227000.0,23227000.0,39501000,14024000.0,-1000.0,12880000.0,27728000.0,67229000,ARCW,2013-09-30
674718,USD,2014,Q2,2014-02-12,2014-02-12,14693285.0,14693285.0,5534000.0,10501000.0,11716000.0,28986000.0,23405000.0,,16062000.0,39467000.0,68453000,8776000.0,6199000.0,16006000.0,22964000.0,22964000.0,38970000,14296000.0,-94000.0,14395000.0,29483000.0,68453000,ARCW,2013-12-31
674718,USD,2014,Q3,2014-05-14,2014-05-14,14673205.0,14673205.0,5563000.0,10851000.0,12357000.0,29871000.0,26506000.0,,15920000.0,42426000.0,72297000,9386000.0,8345000.0,18525000.0,22833000.0,22833000.0,41358000,14101000.0,-94000.0,15980000.0,30939000.0,72297000,ARCW,2014-03-31
674718,USD,2014,Q4,2014-08-12,2015-09-25,14674348.0,14674348.0,9384000.0,15337000.0,15231000.0,42558000.0,45268000.0,,48563000.0,93831000.0,136389000,15335000.0,15543000.0,34294000.0,67480000.0,70754000.0,105048000,14296000.0,-94000.0,16143000.0,31341000.0,136389000,ARCW,2014-06-30
674718,USD,2015,Q1,2014-11-12,2014-11-12,14673205.0,14673205.0,7312000.0,15595000.0,16299000.0,42977000.0,46270000.0,,46448000.0,92718000.0,135695000,12343000.0,19035000.0,33921000.0,66920000.0,70201000.0,104122000,14296000.0,-94000.0,16319000.0,31573000.0,135695000,ARCW,2014-09-30
674718,USD,2015,Q2,2015-02-05,2015-02-05,14673205.0,14673205.0,3859000.0,15679000.0,16432000.0,40028000.0,45772000.0,,45872000.0,91644000.0,131672000,12108000.0,14260000.0,31949000.0,67047000.0,68323000.0,100272000,14125000.0,-94000.0,16259000.0,31400000.0,131672000,ARCW,2014-12-31
674718,USD,2015,Q3,2015-05-12,2015-05-12,14673205.0,14673205.0,4043000.0,16036000.0,16677000.0,40341000.0,45024000.0,,44465000.0,89489000.0,129830000,10712000.0,17581000.0,33412000.0,63229000.0,64806000.0,98218000,13903000.0,-94000.0,16642000.0,31612000.0,129830000,ARCW,2015-03-31
674718,USD,2015,Q4,2015-09-25,2016-09-09,17814001.0,17814001.0,4821000.0,15385000.0,16386000.0,39594000.0,43813000.0,,42616000.0,86429000.0,126023000,10364000.0,6852000.0,22498000.0,54755000.0,56784000.0,79282000,29756000.0,-94000.0,15931000.0,46741000.0,126023000,ARCW,2015-06-30
674718,USD,2016,Q1,2015-11-05,2015-11-05,18123883.0,18123883.0,4146000.0,14406000.0,16982000.0,39434000.0,42925000.0,,41744000.0,84669000.0,124103000,10499000.0,7230000.0,22867000.0,52877000.0,55094000.0,77961000,29663000.0,-94000.0,15461000.0,46142000.0,124103000,ARCW,2015-09-30
674718,USD,2016,Q2,2016-02-09,2016-02-09,18123883.0,18123883.0,3867000.0,14214000.0,15274000.0,39011000.0,42035000.0,,40715000.0,82750000.0,121761000,9234000.0,7579000.0,20604000.0,51813000.0,55671000.0,76275000,29636000.0,-94000.0,14832000.0,45486000.0,121761000,ARCW,2015-12-31
674718,USD,2016,Q3,2016-05-04,2016-05-04,18123883.0,18123883.0,2917000.0,15338000.0,15829000.0,39889000.0,41034000.0,,39779000.0,80813000.0,120702000,10331000.0,5334000.0,19465000.0,52391000.0,55890000.0,75355000,29774000.0,-94000.0,14470000.0,45347000.0,120702000,ARCW,2016-03-31
674718,USD,2016,Q4,2016-09-09,2018-01-11,18123883.0,18123883.0,3620000.0,13677000.0,15500000.0,40636000.0,41644000.0,,38232000.0,79876000.0,120512000,10927000.0,16485000.0,32700000.0,38699000.0,43269000.0,75969000,29712000.0,-94000.0,13771000.0,44543000.0,120512000,ARCW,2016-06-30
674718,USD,2017,Q1,2016-11-10,2016-11-10,18123883.0,18123883.0,3861000.0,15304000.0,18761000.0,41043000.0,41561000.0,,33672000.0,75233000.0,116276000,14913000.0,2534000.0,21950000.0,43397000.0,46276000.0,68226000,30023000.0,-94000.0,17352000.0,48050000.0,116276000,ARCW,2016-09-30
674718,USD,2017,Q2,2017-02-09,2017-02-09,18123883.0,18123883.0,1215000.0,14521000.0,18719000.0,38756000.0,41446000.0,,32827000.0,74273000.0,113029000,12041000.0,3022000.0,17123000.0,45089000.0,48980000.0,66103000,30489000.0,-94000.0,16642000.0,46926000.0,113029000,ARCW,2016-12-31
674718,USD,2017,Q3,2017-05-15,2017-05-15,18152739.0,18152739.0,723000.0,13996000.0,19712000.0,37757000.0,42182000.0,,31903000.0,74085000.0,111842000,13330000.0,3033000.0,18726000.0,45066000.0,48623000.0,67349000,30794000.0,-94000.0,13868000.0,44493000.0,111842000,ARCW,2017-03-31
674718,USD,2017,Q4,2018-01-11,2018-05-10,18170371.0,18170371.0,593000.0,10488000.0,14369000.0,30054000.0,41349000.0,,28220000.0,69569000.0,99623000,11954000.0,3171000.0,17785000.0,44710000.0,47171000.0,64956000,31119000.0,-94000.0,3569000.0,34667000.0,99623000,ARCW,2017-06-30
674718,USD,2018,Q1,2017-11-14,2017-11-14,18194091.0,18194091.0,397000.0,12278000.0,14457000.0,29817000.0,40567000.0,,25493000.0,66060000.0,95877000,12951000.0,3223000.0,18553000.0,43911000.0,45770000.0,64323000,31513000.0,-94000.0,,31554000.0,95877000,ARCW,2017-09-30
674718,USD,2018,Q2,2018-02-09,2018-02-09,18265323.0,18265323.0,387000.0,10769000.0,14342000.0,27880000.0,39417000.0,,24710000.0,64127000.0,92007000,12313000.0,3202000.0,18114000.0,44554000.0,46423000.0,64537000,31685000.0,-94000.0,-4321000.0,27470000.0,92007000,ARCW,2017-12-31
674718,USD,2018,Q3,2018-05-10,2018-05-10,20051710.0,20051710.0,468000.0,11070000.0,12956000.0,27441000.0,40543000.0,,23869000.0,64412000.0,91853000,14638000.0,3169000.0,20121000.0,36444000.0,37392000.0,57513000,41610000.0,-94000.0,-7438000.0,34340000.0,91853000,ARCW,2018-03-31
