SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
785769,USD,2017,Q2,2017-08-13,2017-08-14,43741096.0,43741096.0,85300000.0,3783000.0,9260000.0,102321000.0,8321000.0,,47172000.0,55493000.0,157814000,25201000.0,832000.0,27097000.0,5233000.0,10343000.0,37440000,402326000.0,-7406000.0,-274719000.0,120374000.0,157814000,ATNX,2017-06-30
785769,USD,2017,Q3,2017-11-09,2017-11-09,57134889.0,57134889.0,69043000.0,6459000.0,11635000.0,93013000.0,8824000.0,,46921000.0,55745000.0,148758000,28216000.0,842000.0,29837000.0,179000.0,4021000.0,33858000,419914000.0,-7406000.0,-297993000.0,114900000.0,148758000,ATNX,2017-09-30
785769,USD,2017,Q4,2018-02-13,2018-11-14,58274676.0,58274676.0,51037000.0,8468000.0,16561000.0,83758000.0,9651000.0,,47004000.0,56655000.0,140413000,42435000.0,1015000.0,45143000.0,475000.0,4548000.0,49691000,423865000.0,-7406000.0,-326276000.0,90722000.0,140413000,ATNX,2017-12-31
785769,USD,2018,Q1,2018-05-14,2018-05-14,61655294.0,61655294.0,106476000.0,7845000.0,18571000.0,140090000.0,10368000.0,,47075000.0,57443000.0,197533000,29657000.0,1037000.0,36632000.0,428000.0,4816000.0,41448000,495884000.0,-7406000.0,-333574000.0,156085000.0,197533000,ATNX,2018-03-31
785769,USD,2018,Q2,2018-08-14,2018-08-14,63310219.0,63310219.0,80661000.0,5138000.0,21803000.0,119553000.0,10404000.0,,47331000.0,57735000.0,177288000,41175000.0,1050000.0,47751000.0,449000.0,5129000.0,52880000,501723000.0,-7406000.0,-370433000.0,124408000.0,177288000,ATNX,2018-06-30
785769,USD,2018,Q3,2018-11-14,2018-11-14,66399091.0,66399091.0,141417000.0,7071000.0,25231000.0,187702000.0,11174000.0,,45591000.0,56765000.0,244467000,40754000.0,978000.0,42096000.0,45549000.0,50314000.0,92410000,587223000.0,-7406000.0,-416603000.0,152057000.0,244467000,ATNX,2018-09-30
785769,USD,2018,Q4,2019-03-11,2019-08-07,66996476.0,66996476.0,107423000.0,12951000.0,28787000.0,170819000.0,11447000.0,,48829000.0,60276000.0,231095000,50715000.0,961000.0,51676000.0,45803000.0,50650000.0,102326000,591133000.0,-7406000.0,-443716000.0,128769000.0,231095000,ATNX,2018-12-31
785769,USD,2019,Q1,2019-05-09,2019-05-09,67011432.0,67011432.0,71344000.0,20576000.0,25191000.0,150680000.0,12249000.0,,57378000.0,69627000.0,220307000,62960000.0,1720000.0,67747000.0,46012000.0,56979000.0,124726000,593104000.0,-7406000.0,-478949000.0,95581000.0,220307000,ATNX,2019-03-31
785769,USD,2019,Q2,2019-08-07,2019-08-07,73114392.0,73114392.0,140452000.0,9564000.0,27239000.0,249687000.0,16306000.0,,56280000.0,72586000.0,322273000,90707000.0,1685000.0,95315000.0,49126000.0,59751000.0,155066000,697364000.0,-7406000.0,-510980000.0,167207000.0,322273000,ATNX,2019-06-30
785769,USD,2019,Q3,2019-11-12,2019-11-12,77297555.0,77297555.0,103754000.0,17168000.0,28451000.0,213541000.0,19272000.0,,54782000.0,74054000.0,287595000,86200000.0,958000.0,89968000.0,52681000.0,62801000.0,152769000,700079000.0,-7406000.0,-545738000.0,134826000.0,287595000,ATNX,2019-09-30
785769,USD,2019,Q4,2020-03-02,2021-03-01,78793665.0,78793665.0,160813000.0,16689000.0,32630000.0,230926000.0,23153000.0,,55853000.0,79006000.0,309932000,67638000.0,880000.0,71528000.0,52366000.0,62549000.0,134077000,763731000.0,-7406000.0,-567465000.0,175855000.0,309932000,ATNX,2019-12-31
785769,USD,2020,Q1,2020-05-07,2020-05-07,81539548.0,81539548.0,113704000.0,51418000.0,35732000.0,217900000.0,24616000.0,,55271000.0,79887000.0,297787000,73134000.0,871000.0,76796000.0,52896000.0,62755000.0,139551000,766336000.0,-7406000.0,-586894000.0,158236000.0,297787000,ATNX,2020-03-31
