SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
664571,USD,2017,Q4,2018-02-02,2019-02-26,22071000.0,22185000.0,10908000.0,54057000.0,,64965000.0,1315034000.0,,42453000.0,1357487000.0,1422452000,23123000.0,958622000.0,1029349000.0,,,1029349000,352811000.0,,,393103000.0,1422452000,BFS,2017-12-31
664571,USD,2018,Q1,2018-05-03,2018-05-03,22178000.0,22218000.0,8979000.0,50821000.0,,59800000.0,1323309000.0,,46038000.0,1369347000.0,1429147000,26035000.0,889474000.0,961272000.0,74518000.0,74518000.0,1035790000,356937000.0,,-202405000.0,393357000.0,1429147000,BFS,2018-03-31
664571,USD,2018,Q2,2018-08-03,2018-08-03,22260000.0,22288000.0,6425000.0,50634000.0,,57059000.0,1346322000.0,,43101000.0,1389423000.0,1446482000,29078000.0,892337000.0,965608000.0,74543000.0,74543000.0,1040151000,361636000.0,,,406331000.0,1446482000,BFS,2018-06-30
664571,USD,2018,Q3,2018-11-01,2018-11-01,22432000.0,22501000.0,9771000.0,55541000.0,,65312000.0,1397605000.0,,43221000.0,1440826000.0,1506138000,31958000.0,938344000.0,1014771000.0,74568000.0,74568000.0,1089339000,373261000.0,,,416799000.0,1506138000,BFS,2018-09-30
664571,USD,2018,Q4,2019-02-26,2020-02-27,22662000.0,22693000.0,14578000.0,53876000.0,,68454000.0,1422647000.0,,36388000.0,1459035000.0,1527489000,32419000.0,947255000.0,1027678000.0,74591000.0,74591000.0,1102269000,384760000.0,,,425220000.0,1527489000,BFS,2018-12-31
664571,USD,2019,Q1,2019-05-02,2019-05-02,22820000.0,22863000.0,11456000.0,51603000.0,,63059000.0,1446145000.0,,36624000.0,1482769000.0,1545828000,47671000.0,948505000.0,1040881000.0,74616000.0,74616000.0,1115497000,391351000.0,,,430331000.0,1545828000,BFS,2019-03-31
664571,USD,2019,Q2,2019-08-07,2019-08-07,22939000.0,22994000.0,9262000.0,51602000.0,,60864000.0,1474247000.0,,34051000.0,1508298000.0,1569162000,42287000.0,970663000.0,1057912000.0,74641000.0,74641000.0,1132553000,399277000.0,,,436609000.0,1569162000,BFS,2019-06-30
664571,USD,2019,Q3,2019-11-07,2019-11-07,23081000.0,23121000.0,52269000.0,55207000.0,,107476000.0,1498540000.0,,40748000.0,1539288000.0,1646764000,39741000.0,940062000.0,1026661000.0,74666000.0,74666000.0,1101327000,401626000.0,,,545437000.0,1646764000,BFS,2019-09-30
664571,USD,2019,Q4,2020-02-27,2021-02-25,23196000.0,23234000.0,13905000.0,52311000.0,,66216000.0,1518123000.0,,34001000.0,1552124000.0,1618340000,35199000.0,1016497000.0,1100293000.0,74691000.0,74691000.0,1174984000,411158000.0,,,443356000.0,1618340000,BFS,2019-12-31
664571,USD,2020,Q1,2020-05-06,2020-05-06,23295000.0,23299000.0,31935000.0,49994000.0,,81929000.0,1526895000.0,,36016000.0,1562911000.0,1644840000,35122000.0,1044360000.0,1123518000.0,74716000.0,74716000.0,1198234000,416195000.0,,,446606000.0,1644840000,BFS,2020-03-31
