SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
897673,USD,2011,Q2,2011-08-15,2011-08-15,6265000.0,6265000.0,14742000.0,45226000.0,23951000.0,94251000.0,9108000.0,,74765000.0,83873000.0,178124000,43183000.0,12910000.0,160641000.0,,12029000.0,172670000,220462000.0,,-193062000.0,5454000.0,178124000,C649,2011-06-30
897673,USD,2011,Q3,2011-11-14,2011-11-14,6265000.0,6265000.0,8982000.0,45522000.0,21081000.0,85361000.0,8705000.0,,70501000.0,79206000.0,164567000,44799000.0,11617000.0,160230000.0,,11447000.0,171677000,221263000.0,,-206160000.0,-7110000.0,164567000,C649,2011-09-30
897673,USD,2011,Q4,2012-04-30,2013-03-22,6265000.0,6265000.0,10353000.0,47460000.0,20127000.0,88594000.0,7947000.0,,66801000.0,74748000.0,163342000,49135000.0,12509000.0,76516000.0,7587000.0,102262000.0,178778000,222093000.0,,-215323000.0,-15436000.0,163342000,C649,2011-12-31
897673,USD,2012,Q1,2012-05-15,2012-05-15,6299000.0,6299000.0,5123000.0,48334000.0,18581000.0,83281000.0,7492000.0,,64890000.0,72382000.0,155663000,48629000.0,12285000.0,76907000.0,,108340000.0,185247000,222779000.0,,-230108000.0,-29584000.0,155663000,C649,2012-03-31
897673,USD,2012,Q2,2012-08-13,2012-08-13,6337000.0,6337000.0,5044000.0,44810000.0,12345000.0,72506000.0,6955000.0,,61307000.0,68262000.0,140768000,49666000.0,10603000.0,78556000.0,6960000.0,109445000.0,188001000,223344000.0,,-248139000.0,-47233000.0,140768000,C649,2012-06-30
897673,USD,2012,Q3,2012-11-14,2012-11-14,10229000.0,10229000.0,2661000.0,39393000.0,9741000.0,60640000.0,6479000.0,,59578000.0,66057000.0,126697000,38682000.0,10709000.0,62894000.0,8649000.0,77799000.0,140693000,257063000.0,,-248429000.0,-13996000.0,126697000,C649,2012-09-30
897673,USD,2012,Q4,2013-05-02,2014-03-31,14499000.0,14499000.0,6501000.0,32422000.0,8874000.0,57690000.0,5978000.0,,58459000.0,64437000.0,122127000,39271000.0,11717000.0,63730000.0,8978000.0,77499000.0,141229000,257672000.0,,-254351000.0,-19102000.0,122127000,C649,2012-12-31
897673,USD,2013,Q1,2013-07-31,2013-07-31,15270000.0,15270000.0,4436000.0,28129000.0,7296000.0,48779000.0,5281000.0,,56923000.0,62204000.0,110983000,30390000.0,11990000.0,56325000.0,8383000.0,79950000.0,136275000,261773000.0,,-264711000.0,-25292000.0,110983000,C649,2013-03-31
897673,USD,2013,Q2,2013-08-14,2013-08-14,15907000.0,15907000.0,8389000.0,24482000.0,6246000.0,47051000.0,4995000.0,,55463000.0,60458000.0,107509000,29345000.0,15188000.0,58600000.0,7706000.0,79110000.0,137710000,262434000.0,,-270398000.0,-30201000.0,107509000,C649,2013-06-30
897673,USD,2013,Q3,2013-11-14,2013-11-14,16046000.0,16046000.0,4511000.0,22304000.0,6396000.0,41246000.0,4587000.0,,53915000.0,58502000.0,99748000,24457000.0,12475000.0,50921000.0,5707000.0,79375000.0,130296000,262909000.0,,-271249000.0,-30548000.0,99748000,C649,2013-09-30
897673,USD,2013,Q4,2014-03-31,2014-11-14,16217000.0,16217000.0,4508000.0,24472000.0,5799000.0,43199000.0,3775000.0,,19750000.0,23525000.0,66724000,26452000.0,12080000.0,51626000.0,6419000.0,82095000.0,133721000,263370000.0,,-308286000.0,-66997000.0,66724000,C649,2013-12-31
897673,USD,2014,Q1,2014-05-15,2014-05-15,16241000.0,16241000.0,4067000.0,22941000.0,5707000.0,39509000.0,3226000.0,,18941000.0,22167000.0,61676000,23133000.0,11599000.0,127200000.0,5819000.0,6413000.0,133613000,263785000.0,,-313533000.0,-71937000.0,61676000,C649,2014-03-31
897673,USD,2014,Q2,2014-08-14,2014-08-14,16257000.0,16257000.0,6488000.0,22344000.0,5041000.0,39732000.0,3216000.0,,17624000.0,20840000.0,60572000,21831000.0,10491000.0,127753000.0,5773000.0,6989000.0,134742000,264033000.0,,-315877000.0,-74170000.0,60572000,C649,2014-06-30
