SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
154936,USD,2011,Q2,2011-08-15,2011-08-15,10026392.0,10026392.0,823448.0,1761022.0,,4111853.0,7694609.0,,2409785.0,10104394.0,14216247,4344868.0,431712.0,6613298.0,8571766.0,8829201.0,15442499,4710306.0,,-7089138.0,-1226252.0,14216247,CAGU,2011-06-30
154936,USD,2011,Q3,2011-11-09,2011-11-09,10026392.0,10026392.0,136501.0,1623510.0,,2368724.0,7250984.0,,2365573.0,9616557.0,11985281,3757331.0,363261.0,4685840.0,7954707.0,8094940.0,12780780,4756296.0,,-6576021.0,-795499.0,11985281,CAGU,2011-09-30
154936,USD,2011,Q4,2012-03-30,2013-04-01,10026392.0,12819724.0,710487.0,2580371.0,,3839302.0,7171329.0,,2184682.0,9356011.0,13195313,4831901.0,597078.0,6017388.0,7724265.0,7862936.0,13880324,4624513.0,,-6327415.0,-685011.0,13195313,CAGU,2011-12-31
154936,USD,2012,Q1,2012-05-14,2012-05-14,10026392.0,10026392.0,532380.0,2895606.0,,3907192.0,7542442.0,,2021754.0,9564196.0,13471388,4812123.0,342335.0,5738379.0,8100252.0,8237360.0,13975739,4624513.0,,-6304894.0,-504351.0,13471388,CAGU,2012-03-31
154936,USD,2012,Q2,2012-08-14,2012-08-14,10026392.0,10026392.0,647745.0,2408458.0,,3785609.0,7270473.0,,2376545.0,9647018.0,13432627,4800890.0,384314.0,5865000.0,7796907.0,7932452.0,13797452,4624513.0,,-6087905.0,-364825.0,13432627,CAGU,2012-06-30
154936,USD,2012,Q3,2012-11-14,2012-11-14,10026392.0,10026392.0,235441.0,2596060.0,,3559262.0,7522952.0,,2374089.0,9897041.0,13456303,4519121.0,392426.0,5608802.0,8068328.0,8202311.0,13811113,4624513.0,,-6193105.0,-354810.0,13456303,CAGU,2012-09-30
154936,USD,2012,Q4,2013-04-01,2014-03-31,10026392.0,11499724.0,781662.0,2047772.0,,3598863.0,7380379.0,,2011385.0,9391764.0,12990627,4059721.0,286304.0,5002695.0,7939941.0,8072362.0,13075057,4624513.0,,-5830379.0,-84430.0,12990627,CAGU,2012-12-31
154936,USD,2013,Q1,2013-05-15,2013-05-15,10026392.0,10026392.0,561810.0,2729302.0,,3965070.0,7479259.0,,1906123.0,9385382.0,13350452,4189465.0,277407.0,5113892.0,8001368.0,8118684.0,13232576,4674513.0,,-5734791.0,117876.0,13350452,CAGU,2013-03-31
154936,USD,2013,Q2,2013-08-09,2013-08-09,10026392.0,10026392.0,321010.0,2535716.0,,3758161.0,6881146.0,,1933114.0,8814260.0,12572421,4148580.0,231317.0,4995620.0,7303094.0,7420410.0,12416030,4724523.0,,-5526764.0,156391.0,12572421,CAGU,2013-06-30
154936,USD,2013,Q3,2013-11-14,2013-11-14,10026392.0,10026392.0,505078.0,2455229.0,,3825223.0,7293830.0,,1923132.0,9216962.0,13042185,4104875.0,212758.0,5008780.0,7701784.0,7819100.0,12827880,4774533.0,,-5719305.0,214305.0,13042185,CAGU,2013-09-30
