SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
100006,USD,2011,Q2,2011-08-08,2011-08-08,33048000.0,33048000.0,89706000.0,18238000.0,,113388000.0,7338000.0,782000.0,24655000.0,32775000.0,146163000,11089000.0,1159000.0,42540000.0,82022000.0,87219000.0,129759000,217879000.0,-2000.0,-201385000.0,16404000.0,146163000,CALD,2011-06-30
100006,USD,2011,Q3,2011-11-07,2011-11-07,32327000.0,32327000.0,59549000.0,20742000.0,,85885000.0,6969000.0,,34810000.0,41779000.0,127664000,14728000.0,1164000.0,45814000.0,60721000.0,66474000.0,112288000,235666000.0,-14430000.0,-205956000.0,15376000.0,127664000,CALD,2011-09-30
100006,USD,2011,Q4,2012-03-13,2013-03-11,32751000.0,32751000.0,52789000.0,21778000.0,,80508000.0,6772000.0,,46327000.0,53099000.0,133607000,20065000.0,1196000.0,52068000.0,60130000.0,66997000.0,119065000,238831000.0,-14430000.0,-210048000.0,14542000.0,133607000,CALD,2011-12-31
100006,USD,2012,Q1,2012-05-08,2012-05-08,34112000.0,34112000.0,40130000.0,22713000.0,,69174000.0,6718000.0,,56415000.0,63133000.0,132307000,19436000.0,1219000.0,52352000.0,59828000.0,66245000.0,118597000,245102000.0,-14430000.0,-217202000.0,13710000.0,132307000,CALD,2012-03-31
100006,USD,2012,Q2,2012-08-08,2012-08-08,35235000.0,35235000.0,31535000.0,28710000.0,,67523000.0,6962000.0,,57913000.0,64875000.0,132398000,20994000.0,1229000.0,55482000.0,59521000.0,64982000.0,120464000,248792000.0,-14430000.0,-222635000.0,11934000.0,132398000,CALD,2012-06-30
100006,USD,2012,Q3,2012-11-07,2012-11-07,35853000.0,35853000.0,26553000.0,29489000.0,,63859000.0,9827000.0,,56993000.0,66820000.0,130679000,21153000.0,1107000.0,55650000.0,59343000.0,64982000.0,120632000,252891000.0,-14430000.0,-228696000.0,10047000.0,130679000,CALD,2012-09-30
100006,USD,2012,Q4,2013-03-11,2014-03-10,36372000.0,36372000.0,29171000.0,22567000.0,,58496000.0,10580000.0,,55667000.0,66247000.0,124743000,18723000.0,921000.0,56071000.0,59223000.0,65244000.0,121315000,255365000.0,-14430000.0,-237746000.0,3428000.0,124743000,CALD,2012-12-31
100006,USD,2013,Q1,2013-05-08,2013-05-08,37139000.0,37139000.0,22857000.0,26764000.0,,56869000.0,12517000.0,,54719000.0,67236000.0,124105000,14147000.0,1473000.0,53993000.0,60987000.0,70080000.0,124073000,258618000.0,-14430000.0,-244350000.0,32000.0,124105000,CALD,2013-03-31
100006,USD,2013,Q2,2013-08-07,2013-08-07,37813000.0,37813000.0,27197000.0,22167000.0,,56394000.0,13018000.0,,53695000.0,66713000.0,123107000,12179000.0,1470000.0,53589000.0,61099000.0,71766000.0,125355000,262844000.0,-14430000.0,-250764000.0,-2248000.0,123107000,CALD,2013-06-30
100006,USD,2013,Q3,2013-11-07,2013-11-07,38648000.0,38648000.0,34078000.0,23304000.0,,65183000.0,12381000.0,,52925000.0,65306000.0,130489000,13918000.0,1232000.0,58148000.0,60675000.0,70520000.0,128668000,268267000.0,-14430000.0,-252177000.0,1821000.0,130489000,CALD,2013-09-30
100006,USD,2013,Q4,2014-03-10,2015-03-02,41832000.0,41832000.0,36161000.0,29216000.0,,71609000.0,11351000.0,,51233000.0,62584000.0,134193000,15759000.0,1308000.0,64448000.0,15184000.0,27692000.0,92140000,315475000.0,-14430000.0,-259157000.0,42053000.0,134193000,CALD,2013-12-31
100006,USD,2014,Q1,2014-05-07,2014-05-07,45944000.0,45944000.0,34337000.0,26509000.0,,70747000.0,14545000.0,,54561000.0,69106000.0,139853000,19275000.0,1318000.0,68521000.0,14865000.0,29578000.0,98099000,317610000.0,-14430000.0,-261624000.0,41754000.0,139853000,CALD,2014-03-31
100006,USD,2014,Q2,2014-08-04,2014-08-04,46648000.0,48061000.0,41922000.0,29366000.0,,77998000.0,13637000.0,,52268000.0,65905000.0,143903000,16734000.0,1211000.0,68170000.0,3650000.0,16478000.0,84648000,334879000.0,-14430000.0,-261374000.0,59255000.0,143903000,CALD,2014-06-30
100006,USD,2014,Q3,2014-11-05,2014-11-05,48564000.0,48564000.0,40220000.0,32183000.0,,81042000.0,12723000.0,,67790000.0,80513000.0,161555000,22672000.0,1105000.0,77236000.0,10928000.0,25604000.0,102840000,339785000.0,-14430000.0,-266609000.0,58715000.0,161555000,CALD,2014-09-30
100006,USD,2014,Q4,2015-05-01,2016-02-25,49032000.0,47619000.0,36966000.0,41623000.0,,88973000.0,18755000.0,,68570000.0,87325000.0,176298000,29450000.0,1001000.0,91878000.0,10481000.0,25946000.0,117824000,344361000.0,-14430000.0,-270718000.0,58474000.0,176298000,CALD,2014-12-31
100006,USD,2015,Q1,2015-05-07,2015-05-07,50709000.0,50709000.0,101291000.0,38178000.0,,150131000.0,20645000.0,,66591000.0,87236000.0,237367000,24448000.0,889000.0,90514000.0,10480000.0,24290000.0,114804000,413186000.0,-14430000.0,-274761000.0,122563000.0,237367000,CALD,2015-03-31
100006,USD,2015,Q2,2015-08-06,2015-08-06,55595000.0,55595000.0,92262000.0,42385000.0,,144139000.0,19454000.0,,65817000.0,85271000.0,229410000,23872000.0,668000.0,93123000.0,0.0,12246000.0,105369000,418564000.0,-14430000.0,-279485000.0,124041000.0,229410000,CALD,2015-06-30
100006,USD,2015,Q3,2015-11-05,2015-11-05,56104000.0,56104000.0,95714000.0,37945000.0,,143654000.0,20226000.0,,70430000.0,90656000.0,234310000,23744000.0,223000.0,96452000.0,0.0,11006000.0,107458000,424280000.0,-14430000.0,-281728000.0,126852000.0,234310000,CALD,2015-09-30
100006,USD,2015,Q4,2016-03-18,2016-05-04,56468000.0,56468000.0,97209000.0,43461000.0,,152055000.0,20540000.0,,69047000.0,89587000.0,241642000,27163000.0,,101807000.0,,11034000.0,112841000,428832000.0,-14430000.0,-283866000.0,128801000.0,241642000,CALD,2015-12-31
100006,USD,2016,Q1,2016-05-04,2016-05-04,56690000.0,56690000.0,101904000.0,42737000.0,,155529000.0,23921000.0,,67670000.0,91591000.0,247120000,26156000.0,,104457000.0,,11888000.0,116345000,435688000.0,-14430000.0,-288401000.0,130775000.0,247120000,CALD,2016-03-31
100006,USD,2016,Q2,2016-08-04,2016-08-04,57098000.0,57098000.0,94009000.0,45983000.0,,152161000.0,25880000.0,,80325000.0,106205000.0,258366000,30217000.0,,115501000.0,,11557000.0,127058000,443037000.0,-14430000.0,-294088000.0,131308000.0,258366000,CALD,2016-06-30
100006,USD,2016,Q3,2016-11-03,2016-11-03,58009000.0,58009000.0,186239000.0,48444000.0,,249382000.0,31566000.0,,78313000.0,109879000.0,359261000,36182000.0,,124872000.0,,12164000.0,137036000,538288000.0,-14430000.0,-298036000.0,222225000.0,359261000,CALD,2016-09-30
100006,USD,2016,Q4,2017-03-02,2017-11-09,63611000.0,63611000.0,187274000.0,55464000.0,,261013000.0,35456000.0,,90032000.0,125488000.0,386501000,36530000.0,,136288000.0,,13352000.0,149640000,559264000.0,-14430000.0,-302832000.0,236861000.0,386501000,CALD,2016-12-31
100006,USD,2017,Q1,2017-05-05,2017-05-05,64368000.0,64368000.0,183232000.0,52029000.0,,255443000.0,42087000.0,,87843000.0,129930000.0,385373000,40199000.0,,143125000.0,,11478000.0,154603000,559476000.0,-14430000.0,-309730000.0,230770000.0,385373000,CALD,2017-03-31
100006,USD,2017,Q2,2017-08-04,2017-08-04,65079000.0,65079000.0,172446000.0,55807000.0,,248534000.0,42243000.0,,103019000.0,145262000.0,393796000,42019000.0,,148042000.0,,12011000.0,160053000,568193000.0,-14430000.0,-317077000.0,233743000.0,393796000,CALD,2017-06-30
100006,USD,2017,Q3,2017-11-09,2017-11-09,65624000.0,65624000.0,176416000.0,51653000.0,,250169000.0,44551000.0,,113505000.0,158056000.0,408225000,43884000.0,,154313000.0,,13655000.0,167968000,577453000.0,-14430000.0,-320904000.0,240257000.0,408225000,CALD,2017-09-30
