SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
650652,USD,2016,Q4,2017-02-08,2018-03-06,71588000.0,71588000.0,8896000.0,98303000.0,,119541000.0,20461000.0,11788000.0,2395476000.0,2427725000.0,2547266000,61981000.0,,71984000.0,,2475282000.0,2547266000,,,,0.0,2547266000,CARS,2016-12-31
650652,USD,2017,Q1,2017-06-20,2017-06-20,71588000.0,71588000.0,1951000.0,91445000.0,,105500000.0,22724000.0,11264000.0,2376009000.0,2409997000.0,2515497000,65887000.0,,65887000.0,,50489000.0,116376000,,,,2399121000.0,2515497000,CARS,2017-03-31
650652,USD,2017,Q2,2017-08-09,2017-08-09,71716000.0,71780000.0,36600000.0,90062000.0,,151644000.0,40596000.0,11104000.0,2356541000.0,2408241000.0,2559885000,79439000.0,21153000.0,100592000.0,647752000.0,975760000.0,1076352000,1479697000.0,,3836000.0,1483533000.0,2559885000,CARS,2017-06-30
650652,USD,2017,Q3,2017-11-08,2017-11-08,71699000.0,71767000.0,27428000.0,93077000.0,,138803000.0,40875000.0,11172000.0,2337074000.0,2389121000.0,2527924000,75924000.0,21162000.0,97086000.0,597468000.0,924366000.0,1021452000,1481648000.0,,24824000.0,1506472000.0,2527924000,CARS,2017-09-30
650652,USD,2017,Q4,2018-03-06,2018-08-08,71641000.0,71773000.0,20563000.0,100857000.0,,142639000.0,39740000.0,11053000.0,2317607000.0,2368400000.0,2511039000,43791000.0,21158000.0,90149000.0,557194000.0,741762000.0,831911000,1502546000.0,,176582000.0,1679128000.0,2511039000,CARS,2017-12-31
650652,USD,2018,Q1,2018-05-09,2018-05-09,71952000.0,72122000.0,11501000.0,108267000.0,,148009000.0,40545000.0,10410000.0,2465122000.0,2516077000.0,2664086000,62706000.0,21198000.0,109104000.0,681846000.0,876625000.0,985729000,1500846000.0,,177511000.0,1678357000.0,2664086000,CARS,2018-03-31
650652,USD,2018,Q2,2018-08-08,2018-08-08,71119000.0,71330000.0,18394000.0,105184000.0,,147917000.0,40907000.0,10439000.0,2441134000.0,2492480000.0,2640397000,58020000.0,21211000.0,104431000.0,701534000.0,891865000.0,996296000,1503844000.0,,140257000.0,1644101000.0,2640397000,CARS,2018-06-30
650652,USD,2018,Q3,2018-11-07,2018-11-07,69652000.0,70029000.0,17809000.0,107687000.0,,146716000.0,40850000.0,10451000.0,2417781000.0,2469082000.0,2615798000,64665000.0,24022000.0,113872000.0,678426000.0,867083000.0,980955000,1505968000.0,,128875000.0,1634843000.0,2615798000,CARS,2018-09-30
650652,USD,2018,Q4,2019-04-30,2019-05-10,68549000.0,68707000.0,25463000.0,108921000.0,,153937000.0,41482000.0,10271000.0,2394859000.0,2446612000.0,2600549000,64972000.0,26853000.0,110710000.0,665306000.0,862916000.0,973626000,1508684000.0,,118239000.0,1626923000.0,2600549000,CARS,2018-12-31
650652,USD,2019,Q1,2019-05-10,2019-05-10,67584000.0,67584000.0,28340000.0,95592000.0,,140872000.0,40548000.0,27479000.0,2371367000.0,2439394000.0,2580266000,77704000.0,29667000.0,119956000.0,652178000.0,867640000.0,987596000,1510732000.0,,89217000.0,1592670000.0,2580266000,CARS,2019-03-31
650652,USD,2019,Q2,2019-08-05,2019-08-05,66779000.0,66779000.0,9539000.0,95197000.0,,112844000.0,40981000.0,26821000.0,2346746000.0,2414548000.0,2527392000,73738000.0,32495000.0,112518000.0,644046000.0,845726000.0,958244000,1514519000.0,,63200000.0,1569148000.0,2527392000,CARS,2019-06-30
650652,USD,2019,Q3,2019-11-06,2019-11-06,66769000.0,66769000.0,19773000.0,101782000.0,,129572000.0,42857000.0,26788000.0,1860662000.0,1930307000.0,2059879000,89287000.0,32518000.0,121805000.0,630913000.0,796589000.0,918394000,1513380000.0,,-362957000.0,1141485000.0,2059879000,CARS,2019-09-30
650652,USD,2019,Q4,2020-02-26,2021-02-25,66848000.0,66848000.0,13549000.0,101762000.0,,122440000.0,43696000.0,26471000.0,1835384000.0,1905551000.0,2027991000,67415000.0,31391000.0,98806000.0,611277000.0,788117000.0,886923000,1515777000.0,,-367067000.0,1141068000.0,2027991000,CARS,2019-12-31
650652,USD,2020,Q1,2020-05-06,2020-05-06,66938000.0,66938000.0,187344000.0,95069000.0,,291287000.0,43782000.0,16634000.0,904221000.0,964637000.0,1255924000,66885000.0,31425000.0,98310000.0,763361000.0,809724000.0,908034000,1516844000.0,,-1154501000.0,347890000.0,1255924000,CARS,2020-03-31
