SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
378122,USD,2009,Q2,2009-08-28,2009-08-28,286449000.0,286449000.0,334989000.0,35927000.0,,741234000.0,4964104000.0,,4847075000.0,9811179000.0,10552413000,87622000.0,248720000.0,732490000.0,6339813000.0,6896274000.0,7628764000,5641121000.0,,-2604441000.0,2923649000.0,10552413000,CCI,2009-06-30
378122,USD,2009,Q3,2009-11-06,2009-11-06,286707000.0,286707000.0,268831000.0,33382000.0,,675293000.0,4926598000.0,,4881328000.0,9807926000.0,10483219000,67023000.0,113106000.0,644704000.0,6337866000.0,6986996000.0,7631700000,5654850000.0,,-2641282000.0,2851519000.0,10483219000,CCI,2009-09-30
378122,USD,2009,Q4,2010-02-16,2011-02-17,287419000.0,285724000.0,766146000.0,44431000.0,,1196033000.0,4895983000.0,,4864590000.0,9760573000.0,10956606000,102529000.0,217196000.0,754105000.0,6677608000.0,7266416000.0,8020521000,5688801000.0,,-2628336000.0,2936085000.0,10956606000,CCI,2009-12-31
378122,USD,2010,Q1,2010-05-10,2010-05-10,288451000.0,288451000.0,397496000.0,41265000.0,,814069000.0,4842394000.0,,4904046000.0,9746440000.0,10560509000,79760000.0,19553000.0,627376000.0,6684649000.0,7246024000.0,7873400000,5595163000.0,,-2752812000.0,2687109000.0,10560509000,CCI,2010-03-31
378122,USD,2010,Q2,2010-08-26,2010-08-26,286080000.0,286080000.0,242087000.0,49054000.0,,672219000.0,4786553000.0,,4893642000.0,9680195000.0,10352414000,90776000.0,20775000.0,572467000.0,6684273000.0,7298077000.0,7870544000,5568457000.0,,-2855543000.0,2481870000.0,10352414000,CCI,2010-06-30
378122,USD,2010,Q3,2010-11-05,2010-11-05,286119000.0,286119000.0,303979000.0,55201000.0,,754305000.0,4897340000.0,,5001597000.0,9898937000.0,10653242000,82646000.0,22039000.0,669791000.0,6910415000.0,7602454000.0,8272245000,5584388000.0,,-2995753000.0,2380997000.0,10653242000,CCI,2010-09-30
378122,USD,2010,Q4,2011-02-17,2012-02-13,286406000.0,286406000.0,112531000.0,59912000.0,,545145000.0,4893651000.0,,5030733000.0,9924384000.0,10469529000,104840000.0,28687000.0,440885000.0,7066788000.0,7583650000.0,8024535000,5584433000.0,,-2960082000.0,2444994000.0,10469529000,CCI,2010-12-31
378122,USD,2011,Q1,2011-05-06,2011-05-06,286998000.0,289005000.0,82320000.0,53671000.0,,516071000.0,4854182000.0,,5026941000.0,9881123000.0,10397194000,84752000.0,29562000.0,392729000.0,7019606000.0,7541469000.0,7934198000,5552355000.0,,-2925266000.0,2462996000.0,10397194000,CCI,2011-03-31
378122,USD,2011,Q2,2011-08-05,2011-08-05,285280000.0,287026000.0,108116000.0,57093000.0,,511942000.0,4828564000.0,,5044814000.0,9873378000.0,10385320000,98028000.0,30708000.0,381573000.0,7102595000.0,7634955000.0,8016528000,5409881000.0,,-2899597000.0,2368792000.0,10385320000,CCI,2011-06-30
378122,USD,2011,Q3,2011-11-03,2011-11-03,282031000.0,283899000.0,75524000.0,64762000.0,,522280000.0,4864400000.0,,5056535000.0,9920935000.0,10443215000,84921000.0,33612000.0,376834000.0,7207884000.0,7752729000.0,8129563000,5309524000.0,,-2855860000.0,2313652000.0,10443215000,CCI,2011-09-30
378122,USD,2011,Q4,2012-02-13,2013-02-12,280975000.0,283858000.0,80120000.0,77258000.0,,599152000.0,4861227000.0,,5084717000.0,9945944000.0,10545096000,97447000.0,32517000.0,402106000.0,7158214000.0,7756126000.0,8158232000,5315186000.0,,-2811945000.0,2386864000.0,10545096000,CCI,2011-12-31
378122,USD,2012,Q1,2012-05-03,2012-05-03,284913000.0,285853000.0,1063684000.0,79872000.0,,1648009000.0,4836152000.0,,5640495000.0,10476647000.0,12124656000,87168000.0,77776000.0,425842000.0,8343156000.0,8962148000.0,9387990000,5594120000.0,,-2764543000.0,2736666000.0,12124656000,CCI,2012-03-31
378122,USD,2012,Q2,2012-08-06,2012-08-06,290649000.0,291203000.0,96175000.0,124154000.0,,739110000.0,5347867000.0,,6510699000.0,11858566000.0,12597676000,110441000.0,79303000.0,489124000.0,8307783000.0,9242554000.0,9731678000,5602036000.0,,-2648530000.0,2865998000.0,12597676000,CCI,2012-06-30
378122,USD,2012,Q3,2012-11-02,2012-11-02,290762000.0,292098000.0,118903000.0,141399000.0,,777376000.0,5380541000.0,,6578502000.0,11959043000.0,12736419000,102960000.0,88093000.0,531817000.0,8295071000.0,9261797000.0,9793614000,5618195000.0,,-2606485000.0,2942805000.0,12736419000,CCI,2012-09-30
378122,USD,2012,Q4,2013-02-12,2014-02-24,290816000.0,295926000.0,441364000.0,192833000.0,,1581324000.0,6917531000.0,,7589854000.0,14507385000.0,16088709000,168591000.0,688056000.0,1237858000.0,10923186000.0,11899587000.0,13137445000,5626527000.0,,-2625990000.0,2951264000.0,16088709000,CCI,2012-12-31
378122,USD,2013,Q1,2013-05-03,2013-05-03,291102000.0,292570000.0,160865000.0,212732000.0,,865415000.0,6882411000.0,,7624679000.0,14507090000.0,15372505000,177044000.0,94839000.0,637626000.0,10741317000.0,11770248000.0,12407874000,5612977000.0,,-2610528000.0,2964631000.0,15372505000,CCI,2013-03-31
378122,USD,2013,Q2,2013-08-06,2013-08-06,291225000.0,292706000.0,126886000.0,201028000.0,,880066000.0,6892277000.0,,7620242000.0,14512519000.0,15392585000,199314000.0,97013000.0,644198000.0,10691509000.0,11823495000.0,12467693000,5547132000.0,,-2558169000.0,2924892000.0,15392585000,CCI,2013-06-30
378122,USD,2013,Q3,2013-11-08,2013-11-08,290372000.0,291378000.0,218649000.0,236211000.0,,999803000.0,6904346000.0,,7663423000.0,14567769000.0,15567572000,184260000.0,115378000.0,679718000.0,10660076000.0,11890564000.0,12570282000,5556644000.0,,-2512333000.0,2997290000.0,15567572000,CCI,2013-09-30
378122,USD,2013,Q4,2014-02-24,2015-02-19,319633000.0,320518000.0,223394000.0,249925000.0,,892683000.0,8947677000.0,,10754548000.0,19702225000.0,20594908000,210972000.0,103586000.0,756387000.0,11490914000.0,12897346000.0,13653733000,9486110000.0,,-2535879000.0,6941175000.0,20594908000,CCI,2013-12-31
378122,USD,2014,Q1,2014-05-06,2014-05-06,332034000.0,333045000.0,200537000.0,245556000.0,,852268000.0,8927218000.0,,10790180000.0,19717398000.0,20569666000,191614000.0,105467000.0,708272000.0,11467859000.0,12926727000.0,13634999000,9476649000.0,,-2562541000.0,6934667000.0,20569666000,CCI,2014-03-31
378122,USD,2014,Q2,2014-08-08,2014-08-08,332344000.0,333081000.0,227479000.0,304015000.0,,947746000.0,8888426000.0,,10835887000.0,19724313000.0,20672059000,199377000.0,105624000.0,795878000.0,11464627000.0,12996745000.0,13792623000,9491753000.0,,-2656718000.0,6879436000.0,20672059000,CCI,2014-06-30
378122,USD,2014,Q3,2014-11-07,2014-11-07,332413000.0,333241000.0,238550000.0,311798000.0,,978795000.0,8870817000.0,,10935248000.0,19806065000.0,20784860000,243154000.0,106673000.0,845567000.0,11467005000.0,13076548000.0,13922115000,9503829000.0,,-2677959000.0,6862745000.0,20784860000,CCI,2014-09-30
378122,USD,2014,Q4,2015-02-19,2016-02-22,332417000.0,333693000.0,151312000.0,313308000.0,,1282996000.0,8982783000.0,,10877497000.0,19860280000.0,21143276000,229340000.0,113335000.0,932131000.0,11807526000.0,13473917000.0,14406048000,9515735000.0,,-2815428000.0,6737228000.0,21143276000,CCI,2014-12-31
378122,USD,2015,Q1,2015-05-08,2015-05-08,332712000.0,333485000.0,240153000.0,292565000.0,,927514000.0,9139703000.0,,11038260000.0,20177963000.0,21105477000,215591000.0,115998000.0,821955000.0,11954093000.0,13724729000.0,14546684000,9506674000.0,,-2978356000.0,6558793000.0,21105477000,CCI,2015-03-31
378122,USD,2015,Q2,2015-08-07,2015-08-07,333091000.0,333733000.0,338609000.0,253342000.0,,1117560000.0,9042284000.0,,10851785000.0,19894069000.0,21011629000,220976000.0,94702000.0,780244000.0,11036602000.0,12827149000.0,13607393000,9521442000.0,,-2110438000.0,7404236000.0,21011629000,CCI,2015-06-30
378122,USD,2015,Q3,2015-11-06,2015-11-06,333049000.0,333711000.0,184116000.0,324566000.0,,1024371000.0,9498568000.0,,11472705000.0,20971273000.0,21995644000,226208000.0,102188000.0,824542000.0,12039178000.0,13930799000.0,14755341000,9535936000.0,,-2291977000.0,7240303000.0,21995644000,CCI,2015-09-30
378122,USD,2015,Q4,2016-02-22,2017-02-22,333156000.0,335319000.0,178810000.0,313296000.0,,981245000.0,9580057000.0,,11375664000.0,20955721000.0,21936966000,226604000.0,106219000.0,855369000.0,12043740000.0,13992376000.0,14847745000,9551918000.0,,-2458397000.0,7089221000.0,21936966000,CCI,2015-12-31
378122,USD,2016,Q1,2016-05-09,2016-05-09,334155000.0,334929000.0,175702000.0,254669000.0,,820882000.0,9559397000.0,,11337972000.0,20897369000.0,21718251000,219247000.0,87823000.0,811946000.0,11778176000.0,13753311000.0,14565257000,9878237000.0,,-2720364000.0,7152994000.0,21718251000,CCI,2016-03-31
378122,USD,2016,Q2,2016-08-04,2016-08-04,337560000.0,338609000.0,202338000.0,229015000.0,,817615000.0,9670358000.0,,11665101000.0,21335459000.0,22153074000,240021000.0,100345000.0,875964000.0,12325859000.0,14328803000.0,15204767000,9898296000.0,,-2946081000.0,6948307000.0,22153074000,CCI,2016-06-30
378122,USD,2016,Q3,2016-11-01,2016-11-01,337564000.0,338409000.0,156219000.0,276259000.0,,839675000.0,9714149000.0,,11617899000.0,21332048000.0,22171723000,233160000.0,101362000.0,897738000.0,12491596000.0,14520268000.0,15418006000,9918219000.0,,-3159059000.0,6753717000.0,22171723000,CCI,2016-09-30
378122,USD,2016,Q4,2017-02-22,2018-02-26,352117000.0,351569000.0,567599000.0,373532000.0,,1324761000.0,9805315000.0,,11545016000.0,21350331000.0,22675092000,285535000.0,101749000.0,961355000.0,12069393000.0,14156622000.0,15117977000,10941841000.0,,-3378838000.0,7557115000.0,22675092000,CCI,2016-12-31
378122,USD,2017,Q1,2017-05-04,2017-05-04,360832000.0,361727000.0,205192000.0,302697000.0,,916449000.0,10293693000.0,,12566700000.0,22860393000.0,23776842000,238971000.0,112882000.0,902195000.0,13380091000.0,15511167000.0,16413362000,10972178000.0,,-3602985000.0,7363480000.0,23776842000,CCI,2017-03-31
378122,USD,2017,Q2,2017-08-07,2017-08-07,364493000.0,365832000.0,199663000.0,305982000.0,,951335000.0,10507736000.0,,13024553000.0,23532289000.0,24483624000,286691000.0,114932000.0,997912000.0,13726333000.0,15895403000.0,16893315000,11436679000.0,,-3841187000.0,7590309000.0,24483624000,CCI,2017-06-30
378122,USD,2017,Q3,2017-11-07,2017-11-07,395359000.0,397035000.0,6719134000.0,317856000.0,,7474555000.0,10599604000.0,,12937597000.0,23537201000.0,31011756000,278802000.0,114198000.0,1048871000.0,15090217000.0,17290553000.0,18339424000,16822801000.0,,-4145527000.0,12672332000.0,31011756000,CCI,2017-09-30
378122,USD,2017,Q4,2018-02-26,2018-08-06,406276000.0,408290000.0,314000000.0,398000000.0,,1134000000.0,12933000000.0,,18162000000.0,31095000000.0,32229000000,381000000.0,115000000.0,1292000000.0,16044000000.0,18598000000.0,19890000000,16848000000.0,,-4505000000.0,12339000000.0,32229000000,CCI,2017-12-31
378122,USD,2018,Q1,2018-05-04,2018-05-04,409000000.0,410000000.0,220000000.0,402000000.0,,1074000000.0,13051000000.0,,18125000000.0,31176000000.0,32250000000,352000000.0,130000000.0,1187000000.0,15616000000.0,18231000000.0,19418000000,17694000000.0,,-4858000000.0,12832000000.0,32250000000,CCI,2018-03-31
378122,USD,2018,Q2,2018-08-06,2018-08-06,415000000.0,416000000.0,206000000.0,455000000.0,,1164000000.0,13218000000.0,,17992000000.0,31210000000.0,32374000000,426000000.0,112000000.0,1286000000.0,15844000000.0,18522000000.0,19808000000,17715000000.0,,-5144000000.0,12566000000.0,32374000000,CCI,2018-06-30
378122,USD,2018,Q3,2018-11-05,2018-11-05,415000000.0,416000000.0,323000000.0,471000000.0,,1249000000.0,13433000000.0,,17962000000.0,31395000000.0,32644000000,403000000.0,111000000.0,1304000000.0,16313000000.0,19045000000.0,20349000000,17747000000.0,,-5447000000.0,12295000000.0,32644000000,CCI,2018-09-30
378122,USD,2018,Q4,2019-02-25,2019-02-25,413000000.0,418000000.0,277000000.0,501000000.0,,1229000000.0,13676000000.0,,17880000000.0,31556000000.0,32785000000,461000000.0,107000000.0,1417000000.0,16575000000.0,19334000000.0,20751000000,17771000000.0,,-5732000000.0,12034000000.0,32785000000,CCI,2018-12-31
378122,USD,2019,Q1,2019-05-03,2019-05-03,415000000.0,417000000.0,245000000.0,545000000.0,,1193000000.0,13883000000.0,,22702000000.0,36585000000.0,37778000000,418000000.0,96000000.0,1565000000.0,17120000000.0,24467000000.0,26032000000,17773000000.0,,-6022000000.0,11746000000.0,37778000000,CCI,2019-03-31
378122,USD,2019,Q2,2019-07-31,2019-07-31,416000000.0,418000000.0,288000000.0,591000000.0,,1294000000.0,14151000000.0,,22702000000.0,36853000000.0,38147000000,503000000.0,98000000.0,1698000000.0,17471000000.0,24926000000.0,26624000000,17805000000.0,,-6277000000.0,11523000000.0,38147000000,CCI,2019-06-30
378122,USD,2019,Q3,2019-11-04,2019-11-04,416000000.0,418000000.0,182000000.0,667000000.0,,1253000000.0,14416000000.0,,22675000000.0,37091000000.0,38344000000,478000000.0,100000000.0,1734000000.0,17750000000.0,25285000000.0,27019000000,17833000000.0,,-6503000000.0,11325000000.0,38344000000,CCI,2019-09-30
378122,USD,2019,Q4,2020-03-10,2021-02-22,417000000.0,419000000.0,196000000.0,596000000.0,,1204000000.0,14666000000.0,,22587000000.0,37253000000.0,38457000000,864000000.0,100000000.0,1920000000.0,18021000000.0,26048000000.0,27968000000,17859000000.0,,-7365000000.0,10489000000.0,38457000000,CCI,2019-12-31
378122,USD,2020,Q1,2020-05-01,2020-05-01,416000000.0,418000000.0,310000000.0,495000000.0,,1247000000.0,14815000000.0,,22554000000.0,37369000000.0,38616000000,415000000.0,949000000.0,2669000000.0,17746000000.0,25826000000.0,28495000000,17839000000.0,,-7712000000.0,10121000000.0,38616000000,CCI,2020-03-31
