SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
727266,USD,2011,Q2,2011-08-09,2011-08-09,94137000.0,95529000.0,24000000.0,287400000.0,242200000.0,599000000.0,501000000.0,,493800000.0,994800000.0,1593800000,281700000.0,25500000.0,340400000.0,603200000.0,668700000.0,1009100000,439200000.0,-2100000.0,139800000.0,584700000.0,1593800000,COT,2011-06-30
727266,USD,2011,Q3,2011-11-04,2011-11-04,94325000.0,95146000.0,28200000.0,247700000.0,216000000.0,534800000.0,483300000.0,,482600000.0,965900000.0,1500700000,241800000.0,4300000.0,254600000.0,602500000.0,662300000.0,916900000,437800000.0,-2100000.0,156000000.0,583800000.0,1500700000,COT,2011-09-30
727266,USD,2011,Q4,2012-02-29,2013-02-27,94426000.0,94001000.0,100900000.0,210800000.0,210000000.0,550900000.0,482200000.0,,475800000.0,958000000.0,1508900000,281100000.0,3400000.0,284500000.0,602100000.0,656200000.0,940700000,438500000.0,-2100000.0,144100000.0,568200000.0,1508900000,COT,2011-12-31
727266,USD,2012,Q1,2012-05-07,2012-05-07,94427000.0,95702000.0,31600000.0,234600000.0,228500000.0,525200000.0,490600000.0,,472200000.0,962800000.0,1488000000,245500000.0,2500000.0,248000000.0,602300000.0,657900000.0,905900000,439300000.0,-2100000.0,150000000.0,582100000.0,1488000000,COT,2012-03-31
727266,USD,2012,Q2,2012-08-03,2012-08-03,94469000.0,95515000.0,47100000.0,262400000.0,234000000.0,576900000.0,488800000.0,,463000000.0,951800000.0,1528700000,265000000.0,1800000.0,266800000.0,602200000.0,659600000.0,926400000,440500000.0,-2100000.0,175000000.0,602300000.0,1528700000,COT,2012-06-30
727266,USD,2012,Q3,2012-11-01,2012-11-01,94488000.0,95598000.0,88100000.0,252100000.0,219100000.0,587200000.0,488100000.0,,458700000.0,946800000.0,1534000000,247100000.0,1800000.0,248900000.0,602100000.0,655000000.0,903900000,441800000.0,-2100000.0,189500000.0,630100000.0,1534000000,COT,2012-09-30
727266,USD,2012,Q4,2013-02-27,2014-02-24,94828000.0,92285000.0,179400000.0,199400000.0,224800000.0,625100000.0,490900000.0,,449900000.0,940800000.0,1565900000,287700000.0,1900000.0,289600000.0,601800000.0,653400000.0,943000000,438200000.0,0.0,186000000.0,622900000.0,1565900000,COT,2012-12-31
727266,USD,2013,Q1,2013-05-03,2013-05-03,95371000.0,95801000.0,93000000.0,223300000.0,235700000.0,573800000.0,486800000.0,,439500000.0,926300000.0,1500100000,238400000.0,2000000.0,240400000.0,601400000.0,654900000.0,895300000,438900000.0,,180400000.0,604800000.0,1500100000,COT,2013-03-31
727266,USD,2013,Q2,2013-08-02,2013-08-02,95159000.0,95981000.0,66800000.0,266700000.0,240000000.0,597000000.0,492200000.0,,456900000.0,949100000.0,1546100000,264600000.0,2600000.0,267200000.0,602100000.0,670300000.0,937500000,437800000.0,,188700000.0,608600000.0,1546100000,COT,2013-06-30
727266,USD,2013,Q3,2013-11-01,2013-11-01,94235000.0,94772000.0,125800000.0,254600000.0,215400000.0,619600000.0,490100000.0,,450700000.0,940800000.0,1560400000,259700000.0,3900000.0,263600000.0,602400000.0,674200000.0,937800000,436600000.0,,193000000.0,622600000.0,1560400000,COT,2013-09-30
727266,USD,2013,Q4,2014-02-24,2015-03-04,94235000.0,95978000.0,47200000.0,203300000.0,233100000.0,504000000.0,480500000.0,,439200000.0,919700000.0,1423700000,297700000.0,54700000.0,352400000.0,403500000.0,466900000.0,819300000,436900000.0,,174800000.0,604400000.0,1423700000,COT,2013-12-31
727266,USD,2014,Q1,2014-05-08,2014-05-08,94319000.0,94319000.0,40600000.0,237900000.0,249000000.0,547700000.0,472600000.0,,433900000.0,906500000.0,1454200000,273800000.0,134800000.0,408600000.0,387800000.0,450400000.0,859000000,437800000.0,,167300000.0,595200000.0,1454200000,COT,2014-03-31
727266,USD,2014,Q2,2014-08-07,2014-08-07,94234000.0,94234000.0,90900000.0,285000000.0,251400000.0,651700000.0,479200000.0,,576200000.0,1055400000.0,1707100000,356900000.0,119200000.0,476100000.0,536500000.0,640400000.0,1116500000,438700000.0,,154500000.0,590600000.0,1707100000,COT,2014-06-30
727266,USD,2014,Q3,2014-11-04,2014-11-04,93607000.0,94348000.0,47400000.0,250200000.0,230900000.0,553600000.0,462500000.0,,557400000.0,1019900000.0,1573500000,297500000.0,73400000.0,370900000.0,535500000.0,637400000.0,1008300000,437300000.0,,147400000.0,565200000.0,1573500000,COT,2014-09-30
727266,USD,2014,Q4,2015-05-26,2016-02-29,92948000.0,100699000.0,86200000.0,305700000.0,262400000.0,703500000.0,864500000.0,,1505200000.0,2369700000.0,3073200000,420000000.0,233000000.0,653000000.0,1541300000.0,1722500000.0,2375500000,583700000.0,,158100000.0,697700000.0,3073200000,COT,2014-12-31
727266,USD,2015,Q1,2015-08-24,2015-08-24,93196000.0,93196000.0,34500000.0,340600000.0,270500000.0,681300000.0,845200000.0,,1507100000.0,2352300000.0,3033600000,422000000.0,225100000.0,647100000.0,1552500000.0,1724900000.0,2372000000,585600000.0,,146600000.0,661600000.0,3033600000,COT,2015-03-31
727266,USD,2015,Q2,2015-11-23,2015-11-23,99573000.0,100165000.0,79000000.0,366600000.0,266700000.0,753100000.0,820200000.0,,1500200000.0,2320400000.0,3073500000,453900000.0,202100000.0,656000000.0,1550200000.0,1740500000.0,2396500000,583000000.0,,142200000.0,677000000.0,3073500000,COT,2015-06-30
727266,USD,2015,Q3,2015-11-12,2015-11-12,109686000.0,110410000.0,63700000.0,324400000.0,253900000.0,680600000.0,803200000.0,,1491500000.0,2294700000.0,2975300000,436200000.0,155700000.0,591900000.0,1547900000.0,1720600000.0,2312500000,585600000.0,,140500000.0,662800000.0,2975300000,COT,2015-09-30
727266,USD,2015,Q4,2016-04-18,2017-03-01,109693000.0,108377000.0,77100000.0,293300000.0,249400000.0,638600000.0,769800000.0,,1478900000.0,2248700000.0,2887300000,437600000.0,125400000.0,563000000.0,1525400000.0,1678400000.0,2241400000,585900000.0,,129600000.0,645900000.0,2887300000,COT,2015-12-31
