SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
38287,USD,2013,Q4,2014-05-28,2014-05-28,200054347.0,203759347.0,472511000.0,206454000.0,266894000.0,989189000.0,242113000.0,,58263000.0,300376000.0,1289565000,164248000.0,,164248000.0,,78071000.0,242319000,424454000.0,,626253000.0,1047246000.0,1289565000,CPRI,2014-03-31
38287,USD,2014,Q1,2014-08-07,2014-08-07,201208189.0,204336124.0,639156000.0,170391000.0,319459000.0,1174212000.0,258021000.0,,64612000.0,322633000.0,1496845000,209140000.0,,209140000.0,,87189000.0,296329000,454707000.0,,751249000.0,1200516000.0,1496845000,CPRI,2014-06-30
38287,USD,2014,Q2,2014-11-06,2014-11-06,202560870.0,205154692.0,618841000.0,228850000.0,404194000.0,1345941000.0,284580000.0,,77253000.0,361833000.0,1707774000,218198000.0,,218198000.0,,103279000.0,321477000,490941000.0,,897057000.0,1386297000.0,1707774000,CPRI,2014-09-30
38287,USD,2014,Q3,2015-02-05,2015-02-05,203175380.0,206088062.0,828341000.0,292812000.0,431564000.0,1600229000.0,321542000.0,,85192000.0,406734000.0,2006963000,275253000.0,,275253000.0,,107760000.0,383013000,503639000.0,-2447000.0,1126700000.0,1623950000.0,2006963000,CPRI,2014-12-31
38287,USD,2014,Q4,2015-05-27,2015-05-27,203387341.0,206973550.0,971194000.0,298006000.0,426938000.0,1777169000.0,350678000.0,,89126000.0,439804000.0,2216973000,308370000.0,,308370000.0,,102472000.0,410842000,527213000.0,-2447000.0,1287738000.0,1806131000.0,2216973000,CPRI,2015-03-31
38287,USD,2015,Q1,2015-08-06,2015-08-06,203749572.0,207176243.0,1125037000.0,229106000.0,527254000.0,1964742000.0,404018000.0,,93599000.0,497617000.0,2462359000,322629000.0,,322629000.0,,110376000.0,433005000,559226000.0,-3484000.0,1475454000.0,2029354000.0,2462359000,CPRI,2015-06-30
38287,USD,2015,Q2,2015-11-05,2015-11-05,204464952.0,207432250.0,1012393000.0,346822000.0,619296000.0,2133373000.0,453836000.0,,102221000.0,556057000.0,2689430000,325865000.0,,325865000.0,,118436000.0,444301000,586588000.0,-3484000.0,1682444000.0,2245129000.0,2689430000,CPRI,2015-09-30
38287,USD,2015,Q3,2016-02-03,2016-02-03,202668541.0,205647816.0,949846000.0,364070000.0,537501000.0,1983319000.0,532304000.0,,114965000.0,647269000.0,2630588000,361322000.0,,361322000.0,,117781000.0,479103000,610938000.0,-405702000.0,1986119000.0,2151485000.0,2630588000,CPRI,2015-12-31
38287,USD,2015,Q4,2016-06-01,2016-06-01,199839223.0,203206767.0,978900000.0,363400000.0,519900000.0,1989700000.0,562900000.0,,132000000.0,694900000.0,2684600000,326300000.0,,326300000.0,0.0,117300000.0,443600000,636700000.0,-497700000.0,2168800000.0,2241000000.0,2684600000,CPRI,2016-03-31
38287,USD,2016,Q1,2016-08-11,2016-08-11,196977021.0,200054494.0,808540000.0,252502000.0,606450000.0,1813851000.0,624194000.0,,118623000.0,742817000.0,2556668000,335415000.0,,339000000.0,,128479000.0,467479000,662516000.0,-848819000.0,2343116000.0,2089189000.0,2556668000,CPRI,2016-06-30
38287,USD,2016,Q2,2016-11-10,2016-11-10,188857398.0,191524156.0,431541000.0,344135000.0,713731000.0,1624235000.0,672409000.0,,123316000.0,795725000.0,2419960000,378131000.0,5416000.0,387141000.0,4123000.0,144083000.0,531224000,677705000.0,-1248818000.0,2536252000.0,1888736000.0,2419960000,CPRI,2016-09-30
38287,USD,2016,Q3,2017-02-14,2017-02-14,182176452.0,184851616.0,696823000.0,301632000.0,588295000.0,1661671000.0,739863000.0,,132683000.0,872546000.0,2534217000,423070000.0,,423070000.0,3977000.0,131224000.0,554294000,692758000.0,-1450114000.0,2830810000.0,1979923000.0,2534217000,CPRI,2016-12-31
38287,USD,2016,Q4,2017-05-31,2018-05-30,177162309.0,179786890.0,227700000.0,265800000.0,549300000.0,1164700000.0,591500000.0,,653400000.0,1244900000.0,2409600000,432700000.0,133100000.0,565800000.0,0.0,248800000.0,814600000,767800000.0,-2654900000.0,3560300000.0,1595000000.0,2409600000,CPRI,2017-03-31
