SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
798464,USD,2011,Q4,2012-02-14,2013-04-01,147911.0,147911.0,700374.0,99140.0,,842172.0,22504.0,,174581.0,197085.0,1039257,1429881.0,,1429881.0,,3840644.0,5270525,39367067.0,,-43598431.0,-4231268.0,1039257,CRDF,2011-12-31
798464,USD,2012,Q1,2012-05-15,2012-05-15,152771.0,152771.0,586777.0,76533.0,,705751.0,114323.0,,362081.0,476404.0,1182155,1532727.0,,1532727.0,,3983430.0,5516157,40436535.0,,-44770633.0,-4334002.0,1182155,CRDF,2012-03-31
798464,USD,2012,Q2,2012-08-14,2012-08-14,167835.0,167835.0,9304410.0,106027.0,,9440175.0,149498.0,,362081.0,511579.0,9951754,1235595.0,,1235595.0,,3226858.0,4462453,53695806.0,,-48206601.0,5489301.0,9951754,CRDF,2012-06-30
798464,USD,2012,Q3,2012-11-14,2012-11-14,196887.0,196887.0,7815128.0,128188.0,,8000568.0,208393.0,,362081.0,570474.0,8571042,757543.0,,757543.0,,2838107.0,3595650,53841682.0,,-48866386.0,4975392.0,8571042,CRDF,2012-09-30
798464,USD,2012,Q4,2013-04-01,2014-03-17,208284.0,208284.0,10819781.0,168381.0,,11048203.0,254742.0,,362081.0,616823.0,11665026,730370.0,,730370.0,,8765628.0,9495998,57371564.0,,-55202632.0,2169028.0,11665026,CRDF,2012-12-31
798464,USD,2013,Q1,2013-05-14,2013-05-14,215378.0,215378.0,9164275.0,58064.0,,9349423.0,330314.0,,518775.0,849089.0,10198512,1176360.0,,1176360.0,,7486485.0,8662845,57854802.0,,-56319213.0,1535667.0,10198512,CRDF,2013-03-31
798464,USD,2013,Q2,2013-08-14,2013-08-14,216401.0,216401.0,8302290.0,56501.0,,8523507.0,570947.0,,530612.0,1101559.0,9625066,1399237.0,62993.0,1462230.0,252175.0,10633971.0,12096201,59127476.0,,-61598689.0,-2471135.0,9625066,CRDF,2013-06-30
798464,USD,2013,Q3,2013-11-14,2013-11-14,248155.0,248155.0,27799387.0,69566.0,,27998346.0,740307.0,,411912.0,1152219.0,29150565,1213078.0,147618.0,1360696.0,370431.0,6651715.0,8012411,87143374.0,,-66005280.0,21138154.0,29150565,CRDF,2013-09-30
798464,USD,2013,Q4,2014-03-17,2015-03-12,263112.0,263112.0,25836937.0,78994.0,,26068720.0,750565.0,,336450.0,1087015.0,27155735,1810700.0,198166.0,2008866.0,322998.0,4754869.0,6763735,87435350.0,,-67043410.0,20392000.0,27155735,CRDF,2013-12-31
798464,USD,2014,Q1,2014-07-03,2014-07-03,262486.0,262486.0,22871122.0,129303.0,,23262613.0,859645.0,,336450.0,1196095.0,24458708,1831272.0,200792.0,2032064.0,274852.0,4673877.0,6705941,87995123.0,,-70242416.0,17752767.0,24458708,CRDF,2014-03-31
