SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
366036,USD,2011,Q2,2011-08-09,2011-08-09,32866000.0,33072000.0,134350000.0,166436000.0,,379779000.0,51046000.0,,369196000.0,420242000.0,800021000,65736000.0,16000000.0,182990000.0,297407000.0,349699000.0,532689000,444195000.0,-704963000.0,522222000.0,267332000.0,800021000,CSGS,2011-06-30
366036,USD,2011,Q3,2011-11-08,2011-11-08,32765000.0,32887000.0,138599000.0,157276000.0,,380578000.0,46098000.0,,360818000.0,406916000.0,787494000,62273000.0,17500000.0,173423000.0,293565000.0,348512000.0,521935000,447464000.0,-712625000.0,532701000.0,265559000.0,787494000,CSGS,2011-09-30
366036,USD,2011,Q4,2012-03-15,2013-03-08,32255000.0,32521000.0,158830000.0,179804000.0,,409960000.0,41154000.0,,363783000.0,404937000.0,814897000,71537000.0,27000000.0,197385000.0,282744000.0,342798000.0,540183000,450021000.0,-714893000.0,543995000.0,274714000.0,814897000,CSGS,2011-12-31
366036,USD,2012,Q1,2012-05-30,2012-05-30,32392000.0,32561000.0,188555000.0,170909000.0,,424633000.0,37292000.0,,360298000.0,397590000.0,822223000,73837000.0,20500000.0,196720000.0,283447000.0,340311000.0,537031000,450752000.0,-720083000.0,555801000.0,285192000.0,822223000,CSGS,2012-03-31
366036,USD,2012,Q2,2012-08-09,2012-08-09,32194000.0,32309000.0,196062000.0,163392000.0,,432751000.0,37741000.0,,352336000.0,390077000.0,822828000,75108000.0,18000000.0,201799000.0,277173000.0,330346000.0,532145000,454531000.0,-725521000.0,567671000.0,290683000.0,822828000,CSGS,2012-06-30
366036,USD,2012,Q3,2012-11-06,2012-11-06,31980000.0,32398000.0,184769000.0,174137000.0,,430867000.0,38243000.0,,366738000.0,404981000.0,835848000,82015000.0,20500000.0,206560000.0,270924000.0,321758000.0,528318000,458614000.0,-728243000.0,577084000.0,307530000.0,835848000,CSGS,2012-09-30
366036,USD,2012,Q4,2013-03-08,2014-02-28,32070000.0,32636000.0,169321000.0,191943000.0,,440355000.0,39429000.0,,367157000.0,406586000.0,846941000,93672000.0,15000000.0,211732000.0,259698000.0,308570000.0,520302000,462150000.0,-728243000.0,592874000.0,326639000.0,846941000,CSGS,2012-12-31
366036,USD,2013,Q1,2013-05-07,2013-05-07,32133000.0,32527000.0,172703000.0,179093000.0,,437024000.0,37211000.0,,350774000.0,387985000.0,825009000,70293000.0,15000000.0,193844000.0,257247000.0,304508000.0,498352000,462058000.0,-734754000.0,607772000.0,326657000.0,825009000,CSGS,2013-03-31
366036,USD,2013,Q2,2013-08-09,2013-08-09,32125000.0,32439000.0,189294000.0,172521000.0,,456215000.0,35173000.0,,353038000.0,388211000.0,844426000,82441000.0,15000000.0,208686000.0,254822000.0,302188000.0,510874000,466232000.0,-738244000.0,614775000.0,333552000.0,844426000,CSGS,2013-06-30
366036,USD,2013,Q3,2013-11-07,2013-11-07,32084000.0,32664000.0,193898000.0,174757000.0,,457891000.0,34674000.0,,357299000.0,391973000.0,849864000,84193000.0,15000000.0,197586000.0,252423000.0,297731000.0,495317000,470537000.0,-738372000.0,625000000.0,354547000.0,849864000,CSGS,2013-09-30
366036,USD,2013,Q4,2014-07-09,2015-02-27,32126000.0,33862000.0,210837000.0,178511000.0,,475375000.0,35061000.0,,358544000.0,393605000.0,868980000,94624000.0,15000000.0,206806000.0,250050000.0,296070000.0,502876000,473848000.0,-738372000.0,629011000.0,366104000.0,868980000,CSGS,2013-12-31
366036,USD,2014,Q1,2014-05-08,2014-05-08,32319000.0,34035000.0,183012000.0,195736000.0,,461773000.0,33681000.0,,358961000.0,392642000.0,854415000,71311000.0,16875000.0,194475000.0,245828000.0,288661000.0,483136000,473427000.0,-738372000.0,633586000.0,371279000.0,854415000,CSGS,2014-03-31
366036,USD,2014,Q2,2014-10-23,2014-10-23,32619000.0,33543000.0,189583000.0,191615000.0,,474980000.0,35711000.0,,360099000.0,395810000.0,870790000,81553000.0,18750000.0,204740000.0,241634000.0,283220000.0,487960000,477714000.0,-738372000.0,637688000.0,382830000.0,870790000,CSGS,2014-06-30
366036,USD,2014,Q3,2014-11-07,2014-11-07,32604000.0,33996000.0,183459000.0,191024000.0,,459834000.0,36762000.0,,350788000.0,387550000.0,847384000,73503000.0,20625000.0,195743000.0,237469000.0,278389000.0,474132000,483860000.0,-743608000.0,637477000.0,373252000.0,847384000,CSGS,2014-09-30
366036,USD,2014,Q4,2015-02-27,2016-02-29,32254000.0,33370000.0,201800000.0,184369000.0,,474370000.0,38326000.0,,341936000.0,380262000.0,854632000,91165000.0,22500000.0,212835000.0,233331000.0,283164000.0,495999000,487081000.0,-757478000.0,635716000.0,358633000.0,854632000,CSGS,2014-12-31
366036,USD,2015,Q1,2015-06-19,2015-06-19,31542000.0,33340000.0,169894000.0,180096000.0,,438568000.0,36991000.0,,334657000.0,371648000.0,810216000,72568000.0,7500000.0,181456000.0,277972000.0,321722000.0,503178000,478640000.0,-804437000.0,648437000.0,307038000.0,810216000,CSGS,2015-03-31
366036,USD,2015,Q2,2015-08-06,2015-08-06,30798000.0,33095000.0,194043000.0,172269000.0,,460243000.0,36962000.0,,339580000.0,376542000.0,836785000,82937000.0,146394000.0,335092000.0,138750000.0,174030000.0,509122000,484266000.0,-804437000.0,655510000.0,327663000.0,836785000,CSGS,2015-06-30
366036,USD,2015,Q3,2015-11-05,2015-11-05,30920000.0,33287000.0,199770000.0,177347000.0,,474011000.0,34840000.0,,331855000.0,366695000.0,840706000,86007000.0,7500000.0,190727000.0,277345000.0,316071000.0,506798000,488200000.0,-804437000.0,666582000.0,333908000.0,840706000,CSGS,2015-09-30
366036,USD,2015,Q4,2016-08-29,2017-02-24,30944000.0,34030000.0,240936000.0,178854000.0,,500091000.0,35992000.0,,326648000.0,362640000.0,862731000,111961000.0,148868000.0,359410000.0,130262000.0,157476000.0,516886000,503926000.0,-814437000.0,675431000.0,345845000.0,862731000,CSGS,2015-12-31
366036,USD,2016,Q1,2016-05-06,2016-05-06,30762000.0,33672000.0,385230000.0,181650000.0,,639374000.0,34290000.0,,314756000.0,349046000.0,988420000,79824000.0,114355000.0,293591000.0,442390000.0,471646000.0,765237000,375362000.0,-823963000.0,691050000.0,223183000.0,988420000,CSGS,2016-03-31
366036,USD,2016,Q2,2016-08-04,2016-08-04,30942000.0,32811000.0,286732000.0,178914000.0,,538996000.0,32748000.0,,304984000.0,337732000.0,876728000,84829000.0,53603000.0,243973000.0,366072000.0,391476000.0,635449000,396806000.0,-823963000.0,695894000.0,241279000.0,876728000,CSGS,2016-06-30
366036,USD,2016,Q3,2016-11-03,2016-11-03,31063000.0,32639000.0,266138000.0,201610000.0,,539014000.0,30618000.0,,298486000.0,329104000.0,868118000,86523000.0,47123000.0,232611000.0,358271000.0,383236000.0,615847000,397701000.0,-823963000.0,707950000.0,252271000.0,868118000,CSGS,2016-09-30
366036,USD,2016,Q4,2017-02-24,2018-02-23,31105000.0,32934000.0,276498000.0,208930000.0,,558573000.0,33116000.0,,300190000.0,333306000.0,891879000,101281000.0,49426000.0,252029000.0,366834000.0,388490000.0,640519000,391881000.0,-826002000.0,714846000.0,251360000.0,891879000,CSGS,2016-12-31
366036,USD,2017,Q1,2017-05-05,2017-05-05,32016000.0,32594000.0,237872000.0,195311000.0,,520518000.0,36418000.0,,295466000.0,331884000.0,852402000,81066000.0,16875000.0,200279000.0,322541000.0,348392000.0,548671000,416139000.0,-799605000.0,728186000.0,303731000.0,852402000,CSGS,2017-03-31
366036,USD,2017,Q2,2017-08-04,2017-08-04,32572000.0,32996000.0,244954000.0,197486000.0,,530943000.0,36343000.0,,297108000.0,333451000.0,864394000,80719000.0,18750000.0,208884000.0,318098000.0,340384000.0,549268000,422327000.0,-804650000.0,733110000.0,315126000.0,864394000,CSGS,2017-06-30
366036,USD,2017,Q3,2017-11-03,2017-11-03,32561000.0,32901000.0,258547000.0,201837000.0,,539666000.0,37822000.0,,297884000.0,335706000.0,875372000,92645000.0,20625000.0,211096000.0,313663000.0,339424000.0,550520000,423608000.0,-809748000.0,741037000.0,324852000.0,875372000,CSGS,2017-09-30
366036,USD,2017,Q4,2018-02-23,2018-08-03,32511000.0,32969000.0,261360000.0,219531000.0,,554266000.0,44651000.0,,305617000.0,350268000.0,904534000,102620000.0,22500000.0,222593000.0,309236000.0,339195000.0,561788000,427780000.0,-814732000.0,749438000.0,342746000.0,904534000,CSGS,2017-12-31
366036,USD,2018,Q1,2018-05-04,2018-05-04,32528000.0,33102000.0,222098000.0,213051000.0,,515224000.0,59553000.0,,353661000.0,413214000.0,928438000,83065000.0,7500000.0,184701000.0,354759000.0,385662000.0,570363000,426618000.0,-820434000.0,764015000.0,358075000.0,928438000,CSGS,2018-03-31
366036,USD,2018,Q2,2018-08-03,2018-08-03,32589000.0,32908000.0,186364000.0,239913000.0,,514245000.0,75040000.0,,337946000.0,412986000.0,927231000,82820000.0,7500000.0,191766000.0,353904000.0,385605000.0,577371000,432142000.0,-826066000.0,772071000.0,349860000.0,927231000,CSGS,2018-06-30
366036,USD,2018,Q3,2018-11-09,2018-11-09,32507000.0,32806000.0,199302000.0,246731000.0,,529038000.0,78265000.0,,340006000.0,418271000.0,947309000,96080000.0,7500000.0,202637000.0,353109000.0,386253000.0,588890000,437105000.0,-831585000.0,781188000.0,358419000.0,947309000,CSGS,2018-09-30
366036,USD,2018,Q4,2019-02-22,2019-08-08,32328000.0,32604000.0,162880000.0,235827000.0,,599567000.0,81813000.0,,432982000.0,514795000.0,1114362000,106711000.0,7500000.0,350391000.0,352326000.0,402947000.0,753338000,442110000.0,-842360000.0,795127000.0,361024000.0,1114362000,CSGS,2018-12-31
366036,USD,2019,Q1,2019-05-03,2019-05-03,32128000.0,32438000.0,141905000.0,244936000.0,,550728000.0,85895000.0,,510424000.0,596319000.0,1147047000,92891000.0,7500000.0,319480000.0,351556000.0,460057000.0,779537000,442181000.0,-851650000.0,806967000.0,367510000.0,1147047000,CSGS,2019-03-31
366036,USD,2019,Q2,2019-08-08,2019-08-08,32093000.0,32458000.0,131451000.0,265795000.0,,572628000.0,84354000.0,,522735000.0,607089000.0,1179717000,96738000.0,8438000.0,335584000.0,349860000.0,469809000.0,805393000,447208000.0,-858186000.0,819098000.0,374324000.0,1179717000,CSGS,2019-06-30
366036,USD,2019,Q3,2019-11-01,2019-11-01,32016000.0,32518000.0,171967000.0,242616000.0,,607465000.0,84230000.0,,515462000.0,599692000.0,1207157000,109113000.0,9375000.0,357079000.0,348178000.0,468042000.0,825121000,452302000.0,-862917000.0,833348000.0,382036000.0,1207157000,CSGS,2019-09-30
366036,USD,2019,Q4,2020-02-21,2021-02-19,31967000.0,32446000.0,182657000.0,244058000.0,,669082000.0,84429000.0,,529519000.0,613948000.0,1283030000,113037000.0,10313000.0,418693000.0,346509000.0,467675000.0,886368000,455359000.0,-867817000.0,848623000.0,396662000.0,1283030000,CSGS,2019-12-31
366036,USD,2020,Q1,2020-05-07,2020-05-07,31994000.0,32358000.0,131273000.0,260713000.0,,598304000.0,80754000.0,,545399000.0,626153000.0,1224457000,85563000.0,11250000.0,344803000.0,344853000.0,492823000.0,837626000,453223000.0,-874225000.0,862444000.0,386831000.0,1224457000,CSGS,2020-03-31
