SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
178927,USD,2014,Q2,2014-02-07,2014-02-07,27177952.0,27177952.0,146664000.0,15918000.0,10283000.0,174341000.0,3088000.0,,3575000.0,6663000.0,181004000,19603000.0,5050000.0,24804000.0,0.0,123000.0,24927000,375302000.0,,-219225000.0,156077000.0,181004000,CSII,2013-12-31
178927,USD,2014,Q3,2014-05-08,2014-05-08,30368685.0,30368685.0,145979000.0,19493000.0,11889000.0,178379000.0,3420000.0,,3690000.0,7110000.0,185489000,25338000.0,3600000.0,29065000.0,0.0,112000.0,29177000,385249000.0,,-228937000.0,156312000.0,185489000,CSII,2014-03-31
178927,USD,2014,Q4,2014-08-28,2015-08-27,30885027.0,30885027.0,126592000.0,21383000.0,12890000.0,162711000.0,15297000.0,,3893000.0,19190000.0,181901000,27329000.0,2400000.0,29729000.0,,117000.0,29846000,390620000.0,,-238565000.0,152055000.0,181901000,CSII,2014-06-30
178927,USD,2015,Q1,2014-11-07,2014-11-07,31311110.0,31311110.0,116423000.0,22376000.0,14644000.0,157030000.0,21238000.0,,4085000.0,25323000.0,182353000,30815000.0,1200000.0,32015000.0,,1891000.0,33906000,395236000.0,,-246789000.0,148447000.0,182353000,CSII,2014-09-30
178927,USD,2015,Q2,2015-02-06,2015-02-06,31487358.0,31487358.0,101344000.0,26064000.0,13957000.0,145449000.0,30940000.0,,4220000.0,35160000.0,180609000,30487000.0,0.0,30487000.0,,1967000.0,32454000,400217000.0,,-252062000.0,148155000.0,180609000,CSII,2014-12-31
178927,USD,2015,Q3,2015-05-08,2015-05-08,31644522.0,31644522.0,93485000.0,31220000.0,13219000.0,141828000.0,32359000.0,,4439000.0,36798000.0,178626000,33883000.0,0.0,33883000.0,,2004000.0,35887000,405352000.0,,-262718000.0,142739000.0,178626000,CSII,2015-03-31
178927,USD,2015,Q4,2015-08-27,2016-08-25,31747854.0,31747854.0,85718000.0,30830000.0,13966000.0,133894000.0,32883000.0,,4551000.0,37434000.0,171328000,29888000.0,,29888000.0,,2005000.0,31893000,410732000.0,,-271387000.0,139435000.0,171328000,CSII,2015-06-30
178927,USD,2016,Q1,2015-11-06,2015-11-06,32210874.0,32210874.0,78445000.0,26864000.0,15446000.0,123358000.0,33711000.0,,5321000.0,39032000.0,162390000,29862000.0,,29862000.0,,1916000.0,31778000,415268000.0,,-284647000.0,130612000.0,162390000,CSII,2015-09-30
178927,USD,2016,Q2,2016-02-02,2016-02-02,32553991.0,32553991.0,67200000.0,25752000.0,18237000.0,112766000.0,33564000.0,,4895000.0,38459000.0,151225000,27964000.0,,27964000.0,,1986000.0,29950000,421038000.0,,-299811000.0,121275000.0,151225000,CSII,2015-12-31
178927,USD,2016,Q3,2016-05-06,2016-05-06,32711341.0,32711341.0,64083000.0,23048000.0,18226000.0,106745000.0,33224000.0,,5040000.0,38264000.0,145009000,34987000.0,,34987000.0,,8251000.0,43238000,424211000.0,,-322526000.0,101771000.0,145009000,CSII,2016-03-31
178927,USD,2016,Q4,2016-08-25,2017-08-24,32674278.0,32674278.0,61322000.0,23128000.0,17440000.0,104882000.0,32471000.0,,5053000.0,37524000.0,142406000,35499000.0,,35499000.0,,6010000.0,41509000,428268000.0,,-327411000.0,100897000.0,142406000,CSII,2016-06-30
178927,USD,2017,Q1,2016-11-04,2016-11-04,32985081.0,32985081.0,58899000.0,24308000.0,16887000.0,102092000.0,31820000.0,,4422000.0,36242000.0,138334000,30451000.0,,30451000.0,,4939000.0,35390000,432152000.0,,-329269000.0,102944000.0,138334000,CSII,2016-09-30
