SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
821325,USD,2014,Q1,2014-04-23,2014-04-23,129000000.0,129000000.0,389000000.0,263000000.0,,937000000.0,2661000000.0,32000000.0,951000000.0,3644000000.0,4581000000,331000000.0,588000000.0,920000000.0,1929000000.0,2788000000.0,3708000000,805000000.0,-1000000.0,74000000.0,873000000.0,4581000000,CVA,2014-03-31
821325,USD,2014,Q2,2014-08-08,2014-08-08,130000000.0,131000000.0,172000000.0,284000000.0,,660000000.0,2656000000.0,31000000.0,974000000.0,3661000000.0,4321000000,290000000.0,50000000.0,341000000.0,2205000000.0,3129000000.0,3470000000,813000000.0,-1000000.0,51000000.0,851000000.0,4321000000,CVA,2014-06-30
821325,USD,2014,Q3,2014-10-23,2014-10-23,130000000.0,131000000.0,87000000.0,282000000.0,,639000000.0,2621000000.0,,1027000000.0,3648000000.0,4287000000,307000000.0,43000000.0,395000000.0,2215000000.0,3084000000.0,3479000000,803000000.0,-1000000.0,24000000.0,808000000.0,4287000000,CVA,2014-09-30
821325,USD,2014,Q4,2015-02-26,2016-02-26,131000000.0,129000000.0,84000000.0,299000000.0,,715000000.0,2607000000.0,,884000000.0,3491000000.0,4206000000,339000000.0,40000000.0,405000000.0,2158000000.0,3017000000.0,3422000000,819000000.0,,-15000000.0,784000000.0,4206000000,CVA,2014-12-31
821325,USD,2015,Q1,2015-04-23,2015-04-23,132000000.0,132000000.0,67000000.0,302000000.0,,630000000.0,2605000000.0,,905000000.0,3510000000.0,4140000000,357000000.0,46000000.0,403000000.0,2217000000.0,3085000000.0,3488000000,822000000.0,,-130000000.0,652000000.0,4140000000,CVA,2015-03-31
821325,USD,2015,Q2,2015-07-29,2015-07-29,132000000.0,132000000.0,66000000.0,327000000.0,,746000000.0,2591000000.0,,920000000.0,3511000000.0,4257000000,312000000.0,40000000.0,377000000.0,2381000000.0,3250000000.0,3627000000,822000000.0,,-169000000.0,630000000.0,4257000000,CVA,2015-06-30
821325,USD,2015,Q3,2015-10-29,2015-10-29,132000000.0,134000000.0,69000000.0,300000000.0,,728000000.0,2632000000.0,,956000000.0,3588000000.0,4316000000,304000000.0,40000000.0,367000000.0,2410000000.0,3321000000.0,3688000000,825000000.0,,-169000000.0,628000000.0,4316000000,CVA,2015-09-30
821325,USD,2015,Q4,2016-02-26,2017-02-28,132000000.0,134000000.0,94000000.0,312000000.0,,697000000.0,2690000000.0,,847000000.0,3537000000.0,4234000000,324000000.0,24000000.0,371000000.0,2437000000.0,3223000000.0,3594000000,815000000.0,,-143000000.0,640000000.0,4234000000,CVA,2015-12-31
821325,USD,2016,Q1,2016-04-27,2016-04-27,129000000.0,129000000.0,106000000.0,285000000.0,,634000000.0,2741000000.0,,825000000.0,3566000000.0,4200000000,332000000.0,26000000.0,358000000.0,2524000000.0,3289000000.0,3647000000,809000000.0,-1000000.0,-223000000.0,553000000.0,4200000000,CVA,2016-03-31
821325,USD,2016,Q2,2016-07-28,2016-07-28,129000000.0,129000000.0,108000000.0,298000000.0,,608000000.0,2958000000.0,,760000000.0,3718000000.0,4326000000,324000000.0,34000000.0,358000000.0,2721000000.0,3488000000.0,3846000000,814000000.0,-1000000.0,-285000000.0,480000000.0,4326000000,CVA,2016-06-30
821325,USD,2016,Q3,2016-10-26,2016-10-26,129000000.0,131000000.0,113000000.0,299000000.0,,547000000.0,2997000000.0,,731000000.0,3728000000.0,4275000000,286000000.0,32000000.0,318000000.0,2667000000.0,3457000000.0,3775000000,818000000.0,-1000000.0,-264000000.0,500000000.0,4275000000,CVA,2016-09-30
821325,USD,2016,Q4,2017-02-28,2018-02-26,129000000.0,127000000.0,84000000.0,332000000.0,,544000000.0,3024000000.0,,716000000.0,3740000000.0,4284000000,387000000.0,31000000.0,418000000.0,2604000000.0,3397000000.0,3815000000,821000000.0,-1000000.0,-289000000.0,469000000.0,4284000000,CVA,2016-12-31
821325,USD,2017,Q1,2017-04-27,2017-04-27,129000000.0,129000000.0,444000000.0,279000000.0,,853000000.0,3064000000.0,,725000000.0,3789000000.0,4642000000,369000000.0,428000000.0,797000000.0,2672000000.0,3447000000.0,4244000000,824000000.0,-1000000.0,-366000000.0,398000000.0,4642000000,CVA,2017-03-31
821325,USD,2017,Q2,2017-07-28,2017-07-28,130000000.0,130000000.0,48000000.0,302000000.0,,477000000.0,3113000000.0,,730000000.0,3843000000.0,4320000000,346000000.0,32000000.0,378000000.0,2804000000.0,3596000000.0,3974000000,830000000.0,-1000000.0,-436000000.0,346000000.0,4320000000,CVA,2017-06-30
821325,USD,2017,Q3,2017-10-27,2017-10-27,130000000.0,131000000.0,37000000.0,325000000.0,,511000000.0,3170000000.0,,680000000.0,3850000000.0,4361000000,380000000.0,41000000.0,421000000.0,2810000000.0,3605000000.0,4026000000,835000000.0,-1000000.0,-455000000.0,335000000.0,4361000000,CVA,2017-09-30
