SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
711049,USD,2013,Q2,2013-07-28,2013-10-28,46893000.0,46893000.0,221411000.0,33423000.0,,265215000.0,14619000.0,,788000.0,15407000.0,280622000,23834000.0,,66265000.0,,6374000.0,72639000,216389000.0,,-8368000.0,207984000.0,280623000,DATA,2013-06-30
711049,USD,2013,Q3,2013-10-28,2013-10-28,59143000.0,71348000.0,226337000.0,44173000.0,,282487000.0,18184000.0,,1026000.0,19210000.0,301697000,28799000.0,,79767000.0,,7163000.0,86930000,220736000.0,,-5927000.0,214767000.0,301697000,DATA,2013-09-30
711049,USD,2013,Q4,2014-02-06,2015-02-27,61387000.0,83294000.0,252674000.0,61158000.0,,332181000.0,21338000.0,,1408000.0,22746000.0,354927000,37999000.0,,104289000.0,,5978000.0,110267000,239413000.0,,5318000.0,244660000.0,354927000,DATA,2013-12-31
711049,USD,2014,Q1,2014-05-07,2014-05-07,63444000.0,63444000.0,616508000.0,50513000.0,,685068000.0,22667000.0,,1625000.0,24292000.0,709360000,33499000.0,,103409000.0,,6100000.0,109509000,600218000.0,,-311000.0,599851000.0,709360000,DATA,2014-03-31
711049,USD,2014,Q2,2014-08-11,2014-08-11,68292000.0,68292000.0,627314000.0,56444000.0,,702454000.0,43151000.0,,1664000.0,44815000.0,747269000,39969000.0,,118393000.0,,18690000.0,137083000,615039000.0,,-4885000.0,610186000.0,747269000,DATA,2014-06-30
711049,USD,2014,Q3,2014-11-07,2014-11-07,68966000.0,68966000.0,644516000.0,67497000.0,,732796000.0,38799000.0,,2300000.0,41099000.0,773895000,46732000.0,,140038000.0,,11696000.0,151734000,631528000.0,,-9516000.0,622161000.0,773895000,DATA,2014-09-30
711049,USD,2014,Q4,2015-02-27,2016-02-25,69662000.0,96574000.0,680613000.0,99910000.0,,810261000.0,45627000.0,,9774000.0,55401000.0,865662000,58289000.0,,180274000.0,,13382000.0,193656000,660675000.0,,11191000.0,672006000.0,865662000,DATA,2014-12-31
711049,USD,2015,Q1,2015-05-08,2015-05-08,70490000.0,70490000.0,715664000.0,83138000.0,,832051000.0,50106000.0,,9970000.0,60076000.0,892127000,55318000.0,,181663000.0,,16978000.0,198641000,691594000.0,,1164000.0,693486000.0,892127000,DATA,2015-03-31
711049,USD,2015,Q2,2015-08-07,2015-08-07,71426000.0,71426000.0,729506000.0,97998000.0,,865000000.0,56168000.0,,12552000.0,68720000.0,933720000,66474000.0,,205909000.0,,20249000.0,226158000,724912000.0,,-17815000.0,707562000.0,933720000,DATA,2015-06-30
711049,USD,2015,Q3,2015-11-09,2015-11-09,72089000.0,72089000.0,750191000.0,114826000.0,,910437000.0,66587000.0,,15757000.0,82344000.0,992781000,84785000.0,,238747000.0,,21592000.0,260339000,763749000.0,,-31188000.0,732442000.0,992781000,DATA,2015-09-30
711049,USD,2015,Q4,2016-02-25,2017-02-23,72799000.0,72799000.0,795900000.0,131784000.0,,944739000.0,72350000.0,,13622000.0,85972000.0,1030711000,86993000.0,,272601000.0,,24165000.0,296766000,805811000.0,,-72509000.0,733945000.0,1030711000,DATA,2015-12-31
711049,USD,2016,Q1,2016-05-09,2016-05-09,73816000.0,73816000.0,808002000.0,108747000.0,,936459000.0,78403000.0,,29795000.0,108198000.0,1044657000,86177000.0,,282001000.0,,27464000.0,309465000,854998000.0,,-118087000.0,735192000.0,1044657000,DATA,2016-03-31
711049,USD,2016,Q2,2016-08-08,2016-08-08,74756000.0,74756000.0,834747000.0,134025000.0,,986696000.0,84662000.0,,29292000.0,113954000.0,1100650000,103861000.0,,317412000.0,,35686000.0,353098000,914561000.0,,-165609000.0,747552000.0,1100650000,DATA,2016-06-30
