SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
352596,USD,2017,Q2,2017-08-01,2017-08-01,86400000.0,87400000.0,496600000.0,101700000.0,42800000.0,656800000.0,125000000.0,,13800000.0,138800000.0,795600000,103600000.0,0.0,105100000.0,320500000.0,336800000.0,441900000,1015700000.0,,-660400000.0,353700000.0,795600000,DXCM,2017-06-30
352596,USD,2017,Q3,2017-11-01,2017-11-01,86700000.0,86700000.0,525800000.0,110500000.0,43300000.0,692900000.0,136100000.0,,13900000.0,150000000.0,842900000,115900000.0,0.0,118200000.0,324000000.0,340700000.0,458900000,1048600000.0,,-662400000.0,384000000.0,842900000,DXCM,2017-09-30
352596,USD,2017,Q4,2018-02-27,2018-08-01,86900000.0,85900000.0,548600000.0,134300000.0,45200000.0,744700000.0,145600000.0,,13800000.0,159400000.0,904100000,135700000.0,,138900000.0,327600000.0,345800000.0,484700000,1093800000.0,,-671800000.0,419400000.0,904100000,DXCM,2017-12-31
352596,USD,2018,Q1,2018-05-02,2018-05-02,87300000.0,87300000.0,533900000.0,123900000.0,51600000.0,729300000.0,152400000.0,,15100000.0,167500000.0,896800000,122200000.0,,125100000.0,331300000.0,350000000.0,475100000,1122600000.0,,-696000000.0,421700000.0,896800000,DXCM,2018-03-31
352596,USD,2018,Q2,2018-08-01,2018-08-01,88200000.0,89400000.0,606100000.0,162000000.0,46200000.0,836000000.0,156800000.0,,14700000.0,171500000.0,1007500000,164000000.0,,170800000.0,335000000.0,354600000.0,525400000,1149200000.0,,-665800000.0,482100000.0,1007500000,DXCM,2018-06-30
352596,USD,2018,Q3,2018-11-06,2018-11-06,88500000.0,90300000.0,668700000.0,169800000.0,55200000.0,914100000.0,169600000.0,,30600000.0,200200000.0,1114300000,190400000.0,,193900000.0,338800000.0,358200000.0,552100000,1181700000.0,,-619200000.0,562200000.0,1114300000,DXCM,2018-09-30
352596,USD,2018,Q4,2019-02-21,2019-05-01,88800000.0,85800000.0,1385600000.0,226700000.0,70700000.0,1699500000.0,183100000.0,,33400000.0,216500000.0,1916000000,219500000.0,0.0,222400000.0,1010300000.0,1030300000.0,1252700000,1560700000.0,-100000000.0,-798900000.0,663300000.0,1916000000,DXCM,2018-12-31
352596,USD,2019,Q1,2019-05-01,2019-05-01,90300000.0,90300000.0,1358000000.0,204700000.0,101100000.0,1690800000.0,221400000.0,,61800000.0,283200000.0,1974000000,220400000.0,12300000.0,235400000.0,1022400000.0,1070000000.0,1305400000,1590700000.0,-100000000.0,-823700000.0,668600000.0,1974000000,DXCM,2019-03-31
352596,USD,2019,Q2,2019-07-31,2019-07-31,91100000.0,91100000.0,1377500000.0,217300000.0,117900000.0,1744200000.0,253200000.0,,68500000.0,321700000.0,2065900000,270600000.0,,288200000.0,1034700000.0,1089400000.0,1377600000,1620500000.0,-100000000.0,-834200000.0,688300000.0,2065900000,DXCM,2019-06-30
352596,USD,2019,Q3,2019-11-06,2019-11-06,91300000.0,92500000.0,1429900000.0,234900000.0,120400000.0,1815700000.0,301000000.0,,69000000.0,370000000.0,2185700000,303300000.0,,322400000.0,1047100000.0,1099000000.0,1421400000,1651700000.0,-100000000.0,-788400000.0,764300000.0,2185700000,DXCM,2019-09-30
352596,USD,2019,Q4,2020-02-13,2021-02-11,91700000.0,95300000.0,1533300000.0,286300000.0,119800000.0,1969400000.0,321300000.0,,104300000.0,425600000.0,2395000000,344899999.0,,360199999.0,1059700000.0,1152200000.0,1512399999,1676000000.0,-100000000.0,-695700000.0,882600000.0,2394999999,DXCM,2019-12-31
352596,USD,2020,Q1,2020-04-28,2020-04-28,91800000.0,94100000.0,1510500000.0,300700000.0,141900000.0,1995700000.0,346100000.0,,106100000.0,452200000.0,2447900000,326500000.0,,342800000.0,1072400000.0,1170600000.0,1513400000,1706600000.0,-100000000.0,-675800000.0,934500000.0,2447900000,DXCM,2020-03-31
