SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
484269,USD,2010,Q2,2010-08-31,2010-08-31,50914453.0,50914453.0,202587000.0,226105000.0,68005000.0,600549000.0,81916000.0,,589154000.0,671070000.0,1271619000,436395000.0,4325000.0,451230000.0,284840000.0,312290000.0,763520000,747728000.0,-1643000.0,-201796000.0,508099000.0,1271619000,EEFT,2010-08-31
484269,USD,2010,Q3,2010-11-30,2010-11-30,50872551.0,51539150.0,178709000.0,266095000.0,58520000.0,645920000.0,93673000.0,,670804000.0,764477000.0,1410397000,494963000.0,5375000.0,509388000.0,287007000.0,321978000.0,831366000,750204000.0,-5240000.0,-180831000.0,579031000.0,1410397000,EEFT,2010-11-30
484269,USD,2010,Q4,2011-02-28,2012-02-29,50843074.0,49054523.0,187235000.0,288765000.0,97225000.0,728014000.0,91527000.0,,589831000.0,681358000.0,1409372000,555649000.0,4936000.0,571360000.0,288468000.0,320109000.0,891469000,753238000.0,-5212000.0,-241511000.0,517903000.0,1409372000,EEFT,2011-02-28
484269,USD,2011,Q1,2011-05-31,2011-05-31,51068626.0,51947914.0,220746000.0,259298000.0,78886000.0,688436000.0,92927000.0,,604324000.0,697251000.0,1385687000,493769000.0,4484000.0,506904000.0,289598000.0,321527000.0,828431000,756562000.0,-5336000.0,-224227000.0,557256000.0,1385687000,EEFT,2011-05-31
484269,USD,2011,Q2,2011-08-31,2011-08-31,51219681.0,51957942.0,225506000.0,280394000.0,67188000.0,733375000.0,96561000.0,,614180000.0,710741000.0,1444116000,522255000.0,4426000.0,535277000.0,291101000.0,322795000.0,858072000,760717000.0,-5574000.0,-212338000.0,586044000.0,1444116000,EEFT,2011-08-31
484269,USD,2011,Q3,2011-11-30,2011-11-30,51116512.0,51116512.0,180945000.0,243125000.0,83305000.0,649086000.0,93352000.0,,639825000.0,733177000.0,1382263000,475784000.0,6213000.0,504244000.0,316218000.0,352333000.0,856577000,764087000.0,-18592000.0,-215518000.0,525686000.0,1382263000,EEFT,2011-11-30
484269,USD,2011,Q4,2012-02-29,2013-02-27,50372577.0,51895684.0,170663000.0,349543000.0,98819000.0,753970000.0,102900000.0,,649459000.0,752359000.0,1506329000,573382000.0,172832000.0,774486000.0,165943000.0,206099000.0,980585000,767261000.0,-21869000.0,-204550000.0,525744000.0,1506329000,EEFT,2012-02-29
484269,USD,2012,Q1,2012-05-31,2012-05-31,50522893.0,51357390.0,180668000.0,296300000.0,80248000.0,715121000.0,108170000.0,,665405000.0,773575000.0,1488696000,520488000.0,175222000.0,724696000.0,162077000.0,201752000.0,926448000,772801000.0,-22613000.0,-191378000.0,562248000.0,1488696000,EEFT,2012-05-31
484269,USD,2012,Q2,2012-08-31,2012-08-31,50765005.0,51671501.0,178554000.0,286721000.0,75852000.0,684053000.0,108033000.0,,633607000.0,741640000.0,1425693000,498139000.0,177499000.0,702451000.0,143833000.0,181534000.0,883985000,775856000.0,-22764000.0,-185631000.0,541708000.0,1425693000,EEFT,2012-08-31
484269,USD,2012,Q3,2012-11-30,2012-11-30,50827767.0,51597319.0,191770000.0,316087000.0,66199000.0,728041000.0,109318000.0,,634279000.0,743597000.0,1471638000,578769000.0,180049000.0,784884000.0,81621000.0,119171000.0,904055000,778246000.0,-24173000.0,-171001000.0,567583000.0,1471638000,EEFT,2012-11-30
484269,USD,2012,Q4,2013-02-28,2014-02-27,50002239.0,51023830.0,201435000.0,370836000.0,101168000.0,813179000.0,115475000.0,,622882000.0,738357000.0,1551536000,652649000.0,9948000.0,696706000.0,291292000.0,328290000.0,1024996000,784568000.0,-67327000.0,-184015000.0,526540000.0,1551536000,EEFT,2013-02-28
484269,USD,2013,Q1,2013-05-31,2013-05-31,49504712.0,50620437.0,155272000.0,355095000.0,82720000.0,721382000.0,109023000.0,,660973000.0,769996000.0,1491378000,606597000.0,10452000.0,651003000.0,280675000.0,317430000.0,968433000,787764000.0,-67470000.0,-172009000.0,522945000.0,1491378000,EEFT,2013-05-31
484269,USD,2013,Q2,2013-08-31,2013-08-31,49889640.0,51517640.0,189865000.0,325516000.0,83676000.0,736333000.0,107334000.0,,648559000.0,755893000.0,1492226000,592351000.0,10839000.0,634007000.0,284761000.0,321541000.0,955548000,794933000.0,-68144000.0,-153898000.0,536678000.0,1492226000,EEFT,2013-08-31
484269,USD,2013,Q3,2013-11-30,2013-11-30,50093786.0,52200472.0,244471000.0,317882000.0,61339000.0,745000000.0,111885000.0,,657621000.0,769506000.0,1514506000,586700000.0,11422000.0,625927000.0,238634000.0,276074000.0,902001000,800780000.0,-68210000.0,-106024000.0,612505000.0,1514506000,EEFT,2013-11-30
484269,USD,2013,Q4,2014-02-28,2015-02-27,50371138.0,53591931.0,209826000.0,394059000.0,92757000.0,840450000.0,116230000.0,,641510000.0,757740000.0,1598190000,686289000.0,13264000.0,732086000.0,191382000.0,227649000.0,959735000,810726000.0,-68122000.0,-96029000.0,638455000.0,1598190000,EEFT,2014-02-28
484269,USD,2014,Q1,2014-05-31,2014-05-31,50788219.0,52763650.0,292300000.0,315652000.0,64811000.0,801589000.0,117601000.0,,637970000.0,755571000.0,1557160000,582959000.0,12322000.0,628285000.0,230838000.0,266046000.0,894331000,816522000.0,-68676000.0,-80007000.0,662829000.0,1557160000,EEFT,2014-05-31
