SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
255983,USD,2009,Q3,2009-08-05,2009-08-05,749600000.0,754700000.0,1382000000.0,3720000000.0,2062000000.0,7718000000.0,3475000000.0,,9131000000.0,12606000000.0,20324000000,4156000000.0,837000000.0,4993000000.0,4464000000.0,6671000000.0,11664000000,629000000.0,-6307000000.0,14471000000.0,8660000000.0,20324000000,EMR,2009-06-30
255983,USD,2009,Q4,2009-11-23,2010-11-23,749800000.0,755400000.0,1560000000.0,3623000000.0,1855000000.0,7653000000.0,3500000000.0,,8610000000.0,12110000000.0,19763000000,4379000000.0,577000000.0,4956000000.0,3998000000.0,6101000000.0,11057000000,634000000.0,-6297000000.0,14714000000.0,8706000000.0,19763000000,EMR,2009-09-30
255983,USD,2010,Q1,2010-02-03,2010-02-03,750300000.0,755500000.0,1840000000.0,3650000000.0,1956000000.0,8063000000.0,3475000000.0,,9951000000.0,13426000000.0,21489000000,4565000000.0,1240000000.0,5805000000.0,4558000000.0,6746000000.0,12551000000,650000000.0,-6281000000.0,14888000000.0,8938000000.0,21489000000,EMR,2009-12-31
255983,USD,2010,Q2,2010-05-05,2010-05-05,751100000.0,757400000.0,2159000000.0,3654000000.0,2075000000.0,8508000000.0,3367000000.0,,9845000000.0,13212000000.0,21720000000,4730000000.0,1269000000.0,5999000000.0,4581000000.0,6716000000.0,12715000000,642000000.0,-6269000000.0,15040000000.0,9005000000.0,21720000000,EMR,2010-03-31
255983,USD,2010,Q3,2010-08-04,2010-08-04,751100000.0,757700000.0,3424000000.0,3793000000.0,2114000000.0,9958000000.0,3289000000.0,,9711000000.0,13000000000.0,22958000000,4967000000.0,2290000000.0,7257000000.0,4586000000.0,6612000000.0,13869000000,651000000.0,-6307000000.0,15373000000.0,9089000000.0,22958000000,EMR,2010-06-30
255983,USD,2010,Q4,2010-11-23,2011-11-22,750300000.0,757400000.0,1592000000.0,3989000000.0,2105000000.0,8363000000.0,3287000000.0,,11193000000.0,14480000000.0,22843000000,5369000000.0,480000000.0,5849000000.0,4586000000.0,7042000000.0,12891000000,669000000.0,-6320000000.0,15869000000.0,9952000000.0,22843000000,EMR,2010-09-30
255983,USD,2011,Q1,2011-02-02,2011-02-02,752200000.0,758100000.0,1493000000.0,3956000000.0,2207000000.0,8305000000.0,3255000000.0,,11143000000.0,14398000000.0,22703000000,4800000000.0,800000000.0,5600000000.0,4352000000.0,6780000000.0,12380000000,822000000.0,-6308000000.0,16088000000.0,10323000000.0,22703000000,EMR,2010-12-31
255983,USD,2011,Q2,2011-05-04,2011-05-04,752100000.0,757300000.0,1593000000.0,4231000000.0,2324000000.0,8798000000.0,3303000000.0,,11434000000.0,14737000000.0,23535000000,5163000000.0,771000000.0,5934000000.0,4353000000.0,6796000000.0,12730000000,833000000.0,-6421000000.0,16383000000.0,10805000000.0,23535000000,EMR,2011-03-31
255983,USD,2011,Q3,2011-08-04,2011-08-04,748700000.0,753300000.0,1781000000.0,4443000000.0,2422000000.0,9283000000.0,3382000000.0,,11439000000.0,14821000000.0,24104000000,5446000000.0,862000000.0,6308000000.0,4353000000.0,6797000000.0,13105000000,852000000.0,-6741000000.0,16807000000.0,10999000000.0,24104000000,EMR,2011-06-30
255983,USD,2011,Q4,2011-11-22,2012-11-20,741000000.0,745300000.0,2052000000.0,4502000000.0,2100000000.0,9345000000.0,3437000000.0,,11079000000.0,14516000000.0,23861000000,5588000000.0,877000000.0,6465000000.0,4324000000.0,6845000000.0,13310000000,794000000.0,-7143000000.0,17310000000.0,10551000000.0,23861000000,EMR,2011-09-30
