SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
248318,USD,2011,Q4,2011-08-19,2012-08-22,6711000.0,6985000.0,17889000.0,31451000.0,73680000.0,128353000.0,21387000.0,,14937000.0,36324000.0,164677000,15103000.0,,27670000.0,,8434000.0,36104000,13409000.0,,115699000.0,128573000.0,164677000,FLXS,2011-06-30
248318,USD,2012,Q1,2011-10-24,2011-10-24,6727000.0,6969000.0,14086000.0,32137000.0,78377000.0,130005000.0,21274000.0,,14240000.0,35514000.0,165519000,16278000.0,,27341000.0,,7988000.0,35329000,13613000.0,,117401000.0,130190000.0,165519000,FLXS,2011-09-30
248318,USD,2012,Q2,2012-02-07,2012-02-07,6763000.0,6967000.0,15871000.0,32055000.0,79012000.0,132653000.0,23348000.0,,14920000.0,38268000.0,170921000,18157000.0,,29835000.0,,8069000.0,37904000,14007000.0,,119673000.0,133017000.0,170921000,FLXS,2011-12-31
248318,USD,2012,Q3,2012-04-19,2012-04-19,6777000.0,7017000.0,19273000.0,33835000.0,75479000.0,134372000.0,25731000.0,,15321000.0,41052000.0,175424000,17165000.0,,30762000.0,,8419000.0,39181000,14363000.0,,122336000.0,136243000.0,175424000,FLXS,2012-03-31
248318,USD,2012,Q4,2012-08-22,2013-08-23,6857000.0,7079000.0,13970000.0,33601000.0,82689000.0,135593000.0,29867000.0,,16212000.0,46079000.0,181672000,19372000.0,,31849000.0,,10381000.0,42230000,15382000.0,,125699000.0,139442000.0,181672000,FLXS,2012-06-30
248318,USD,2013,Q1,2012-10-19,2012-10-19,6938000.0,7241000.0,6528000.0,35791000.0,85540000.0,133681000.0,33241000.0,,16372000.0,49613000.0,183294000,20475000.0,,30930000.0,,10445000.0,41375000,15966000.0,,127520000.0,141919000.0,183294000,FLXS,2012-09-30
248318,USD,2013,Q2,2013-02-08,2013-02-08,7030000.0,7275000.0,8149000.0,34084000.0,87731000.0,137200000.0,32624000.0,,15953000.0,48577000.0,185777000,20896000.0,,31400000.0,,9580000.0,40980000,17042000.0,,129380000.0,144797000.0,185777000,FLXS,2012-12-31
248318,USD,2013,Q3,2013-04-18,2013-04-18,7090000.0,7408000.0,11737000.0,36997000.0,86031000.0,144036000.0,32399000.0,,14151000.0,46550000.0,190586000,21663000.0,,34176000.0,,8899000.0,43075000,17548000.0,,131433000.0,147511000.0,190586000,FLXS,2013-03-31
248318,USD,2013,Q4,2013-08-23,2014-08-28,7106000.0,7380000.0,10934000.0,36075000.0,92417000.0,149201000.0,32145000.0,,11193000.0,43338000.0,192539000,22999000.0,,35502000.0,,5800000.0,41302000,17722000.0,,134606000.0,151237000.0,192539000,FLXS,2013-06-30
248318,USD,2014,Q1,2013-10-18,2013-10-18,7125000.0,7432000.0,10625000.0,38926000.0,97131000.0,156690000.0,31696000.0,,11734000.0,43430000.0,200120000,29091000.0,,39442000.0,,6282000.0,45724000,18378000.0,,137298000.0,154396000.0,200120000,FLXS,2013-09-30
