SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
645665,USD,2014,Q3,2014-11-13,2014-11-13,31609956.0,33382295.0,45098000.0,234098000.0,130530000.0,418598000.0,798453000.0,,230477000.0,1028930000.0,1447528000,144435000.0,15597000.0,160032000.0,1235885000.0,1309161000.0,1469193000,752199000.0,-1227663000.0,459266000.0,-21665000.0,1447528000,FMSA,2014-09-30
645665,USD,2014,Q4,2015-02-14,2016-03-15,32120765.0,33494325.0,76923000.0,206094000.0,131613000.0,455396000.0,841274000.0,,217346000.0,1058620000.0,1514016000,124567000.0,17274000.0,141841000.0,1235365000.0,1338701000.0,1480542000,774275000.0,-1227663000.0,497179000.0,33474000.0,1514016000,FMSA,2014-12-31
645665,USD,2015,Q1,2015-05-15,2015-05-15,32189800.0,33266200.0,118372000.0,177444000.0,115748000.0,444696000.0,859930000.0,,215662000.0,1075592000.0,1520288000,101435000.0,17277000.0,118712000.0,1233544000.0,1340596000.0,1459308000,776820000.0,-1227663000.0,527938000.0,60980000.0,1520288000,FMSA,2015-03-31
645665,USD,2015,Q2,2015-08-14,2015-08-14,32273600.0,33373400.0,175488000.0,122038000.0,90625000.0,415681000.0,865784000.0,,215226000.0,1081010000.0,1496691000,77502000.0,16797000.0,94299000.0,1229646000.0,1323557000.0,1417856000,780556000.0,-1227663000.0,542075000.0,78835000.0,1496691000,FMSA,2015-06-30
645665,USD,2015,Q3,2015-11-13,2015-11-13,32282600.0,32282600.0,179480000.0,87866000.0,75146000.0,381335000.0,871241000.0,,213434000.0,1084675000.0,1466010000,80287000.0,17197000.0,99540000.0,1224311000.0,1336085000.0,1435625000,783254000.0,-1227663000.0,495875000.0,30385000.0,1466010000,FMSA,2015-09-30
645665,USD,2015,Q4,2016-05-27,2018-03-01,32291600.0,30115400.0,171486000.0,73566000.0,70494000.0,359674000.0,870997000.0,,123578000.0,994575000.0,1354249000,67206000.0,17385000.0,85525000.0,1205721000.0,1329092000.0,1414617000,779096000.0,-1227663000.0,405044000.0,-60368000.0,1354249000,FMSA,2015-12-31
645665,USD,2016,Q1,2016-05-10,2016-05-10,32289200.0,32289200.0,143872000.0,82619000.0,69392000.0,331963000.0,862224000.0,,121783000.0,984007000.0,1315970000,59420000.0,100307000.0,160183000.0,1119597000.0,1229426000.0,1389609000,780112000.0,-1227663000.0,393268000.0,-73639000.0,1315970000,FMSA,2016-03-31
645665,USD,2016,Q2,2016-08-04,2016-08-04,32329400.0,32329400.0,61635000.0,63930000.0,56693000.0,232432000.0,756683000.0,,119936000.0,876619000.0,1109051000,54440000.0,30677000.0,85117000.0,1115877000.0,1183531000.0,1268648000,785373000.0,-1227663000.0,305382000.0,-159597000.0,1109051000,FMSA,2016-06-30
645665,USD,2016,Q3,2016-11-03,2016-11-03,36724000.0,36724000.0,213434000.0,78798000.0,53154000.0,375229000.0,743999000.0,,119786000.0,863785000.0,1239014000,60806000.0,30394000.0,91200000.0,1113688000.0,1161161000.0,1252361000,496686000.0,-773126000.0,284757000.0,-13347000.0,1239014000,FMSA,2016-09-30
645665,USD,2016,Q4,2018-03-01,2018-03-13,42200600.0,42200600.0,194069000.0,78942000.0,52650000.0,353803000.0,727735000.0,,121372000.0,849107000.0,1202910000,63373000.0,10707000.0,74155000.0,832306000.0,877635000.0,951790000,300071000.0,-294874000.0,264852000.0,251120000.0,1202910000,FMSA,2016-12-31
645665,USD,2017,Q1,2017-05-04,2017-05-04,44747800.0,44747800.0,210664000.0,95345000.0,61688000.0,393069000.0,722461000.0,,119754000.0,842215000.0,1235284000,96980000.0,11617000.0,108597000.0,833492000.0,883490000.0,992087000,299612000.0,-290813000.0,252831000.0,243197000.0,1235284000,FMSA,2017-03-31
645665,USD,2017,Q2,2017-08-09,2017-08-09,44803000.0,45636800.0,178527000.0,123753000.0,60807000.0,371202000.0,716362000.0,,117275000.0,833637000.0,1204839000,100566000.0,12172000.0,112738000.0,783946000.0,835096000.0,947834000,300461000.0,-288849000.0,263314000.0,257005000.0,1204839000,FMSA,2017-06-30
645665,USD,2017,Q3,2017-11-09,2017-11-09,44816400.0,45280000.0,188257000.0,155070000.0,68304000.0,419297000.0,767408000.0,,119519000.0,886927000.0,1306224000,154833000.0,11772000.0,166605000.0,782735000.0,843763000.0,1010368000,302704000.0,-288662000.0,298258000.0,295856000.0,1306224000,FMSA,2017-09-30
645665,USD,2017,Q4,2018-04-23,2018-05-10,44827200.0,47602600.0,127967000.0,156916000.0,70528000.0,363176000.0,756288000.0,,116630000.0,872918000.0,1236094000,144640000.0,19189000.0,169489000.0,729741000.0,774359000.0,943848000,302335000.0,-285520000.0,290159000.0,292246000.0,1236094000,FMSA,2017-12-31
