SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
986860,USD,2017,Q4,2018-03-09,2019-03-14,13533000.0,13533267.0,4948000.0,,,7719000.0,6845000.0,,2142000.0,8987000.0,16706000,3727000.0,500000.0,5767000.0,52072000.0,52072000.0,57839000,-41133000.0,,0.0,-41133000.0,16706000,GSHD,2017-12-31
986860,USD,2018,Q1,2018-06-07,2018-06-07,13533000.0,13533267.0,6331916.0,,,13242392.0,6866621.0,,2094431.0,8961052.0,22203444,5535576.0,500000.0,7271300.0,52297282.0,52297282.0,59568582,-37365138.0,,,-37365138.0,22203444,GSHD,2018-03-31
986860,USD,2018,Q2,2018-08-08,2018-08-08,13533000.0,13533267.0,18938455.0,,,22848156.0,6934029.0,,2232936.0,9166965.0,32015121,4921800.0,500000.0,6352650.0,52256054.0,52346586.0,58699236,89396492.0,,-7558112.0,-26684115.0,32015121,GSHD,2018-06-30
986860,USD,2018,Q3,2018-11-06,2018-11-06,13533000.0,14614000.0,18067000.0,,,21943000.0,6943000.0,,2313000.0,9256000.0,31199000,3548000.0,2250000.0,6844000.0,50840000.0,50876000.0,57720000,89621000.0,,-6668000.0,-26521000.0,31199000,GSHD,2018-09-30
986860,USD,2018,Q4,2019-03-14,2020-03-16,13617000.0,13617000.0,18635000.0,,,22839000.0,7575000.0,,4384000.0,11959000.0,34798000,4354000.0,2500000.0,7812000.0,50495000.0,52189000.0,60001000,12261000.0,,-20761000.0,-25203000.0,34798000,GSHD,2018-12-31
986860,USD,2019,Q1,2019-05-03,2019-05-03,14211000.0,15289000.0,18417000.0,,5962000.0,29270000.0,8435000.0,,10697000.0,19132000.0,48402000,19105000.0,2750000.0,22674000.0,50725000.0,57579000.0,80253000,86845000.0,,-10068000.0,-31851000.0,48402000,GSHD,2019-03-31
986860,USD,2019,Q2,2019-08-02,2019-08-02,14876000.0,16065000.0,8427000.0,,,14048000.0,8417000.0,,15627000.0,24044000.0,38092000,3756000.0,3000000.0,7753000.0,50070000.0,60887000.0,68640000,85583000.0,,-9165000.0,-30548000.0,38092000,GSHD,2019-06-30
986860,USD,2019,Q3,2019-11-04,2019-11-04,15140000.0,16451000.0,10820000.0,,,17101000.0,9610000.0,,17710000.0,27320000.0,44421000,5083000.0,3500000.0,9545000.0,50067000.0,62726000.0,72271000,14154000.0,,-22350000.0,-27850000.0,44421000,GSHD,2019-09-30
986860,USD,2019,Q4,2020-03-16,2021-02-26,15229000.0,16595000.0,14337000.0,,,26733000.0,9542000.0,,28353000.0,37895000.0,64628000,5956000.0,4000000.0,13410000.0,42161000.0,82225000.0,95635000,14804000.0,,-23811000.0,-31007000.0,64628000,GSHD,2019-12-31
986860,USD,2020,Q1,2020-05-04,2020-05-04,15564000.0,15564000.0,10831000.0,,,25219000.0,9999000.0,,40670000.0,50669000.0,75888000,5634000.0,2000000.0,11343000.0,51115000.0,94533000.0,105876000,16253000.0,,-23967000.0,-29988000.0,75888000,GSHD,2020-03-31
