SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
37120,USD,2012,Q2,2012-03-14,2012-03-14,18433369.0,25610201.0,169633000.0,34602000.0,,215232000.0,4264000.0,,25356000.0,29620000.0,244852000,20668000.0,,70845000.0,,15233000.0,86078000,189041000.0,,-29868000.0,158774000.0,244852000,GWRE,2012-01-31
37120,USD,2012,Q3,2012-06-07,2012-06-07,52519909.0,60127430.0,201850000.0,35468000.0,,247825000.0,5614000.0,,22632000.0,28246000.0,276071000,23546000.0,,81683000.0,,7337000.0,89020000,214156000.0,,-26719000.0,187051000.0,276071000,GWRE,2012-04-30
37120,USD,2012,Q4,2012-09-25,2013-09-27,53592226.0,60146281.0,205718000.0,32313000.0,,262465000.0,11924000.0,0.0,9858000.0,21782000.0,284247000,36283000.0,,93187000.0,,7098000.0,100285000,207629000.0,,-23171000.0,183962000.0,284247000,GWRE,2012-07-31
37120,USD,2013,Q1,2012-12-04,2012-12-04,54814044.0,61185270.0,185472000.0,38132000.0,,246359000.0,11535000.0,,9847000.0,21382000.0,267741000,21212000.0,,66703000.0,,7419000.0,74122000,216855000.0,,-22724000.0,193619000.0,267741000,GWRE,2012-10-31
37120,USD,2013,Q2,2013-03-01,2013-03-01,55868308.0,61706457.0,165849000.0,41779000.0,,229862000.0,11608000.0,37394000.0,9824000.0,58826000.0,288688000,25192000.0,,74083000.0,,7569000.0,81652000,224736000.0,,-17223000.0,207036000.0,288688000,GWRE,2013-01-31
37120,USD,2013,Q3,2013-06-03,2013-06-03,57017856.0,57017856.0,154121000.0,48137000.0,,227566000.0,12348000.0,49471000.0,9780000.0,71599000.0,299165000,28135000.0,,81281000.0,,8410000.0,89691000,230019000.0,,-19893000.0,209474000.0,299165000,GWRE,2013-04-30
37120,USD,2013,Q4,2013-09-27,2014-09-17,57623864.0,66367197.0,156699000.0,40885000.0,,210093000.0,12914000.0,51040000.0,31626000.0,95580000.0,305673000,32819000.0,,74784000.0,,9057000.0,83841000,215157000.0,,8249000.0,221832000.0,305673000,GWRE,2013-07-31
37120,USD,2014,Q1,2013-12-04,2013-12-04,58649353.0,58649353.0,528706000.0,47093000.0,,587131000.0,12434000.0,48192000.0,45291000.0,105917000.0,693048000,23439000.0,,66977000.0,,8715000.0,75692000,636911000.0,,-18403000.0,617356000.0,693048000,GWRE,2013-10-31
37120,USD,2014,Q2,2014-03-04,2014-03-04,67360775.0,70904255.0,444192000.0,56471000.0,,512279000.0,12651000.0,144203000.0,47158000.0,204012000.0,716291000,27031000.0,,77291000.0,,10111000.0,87402000,650155000.0,,-19295000.0,628889000.0,716291000,GWRE,2014-01-31
37120,USD,2014,Q3,2014-06-03,2014-06-03,68261964.0,68261964.0,430369000.0,58319000.0,,503194000.0,12459000.0,169780000.0,48275000.0,230514000.0,733708000,30632000.0,,88466000.0,,10247000.0,98713000,657034000.0,,-20653000.0,634995000.0,733708000,GWRE,2014-04-30
37120,USD,2014,Q4,2014-09-17,2015-09-17,68723492.0,78635360.0,444332000.0,49839000.0,,516430000.0,12607000.0,203449000.0,24741000.0,240797000.0,757227000,41942000.0,,95386000.0,,11155000.0,106541000,629083000.0,,22970000.0,650686000.0,757227000,GWRE,2014-07-31
37120,USD,2015,Q1,2014-12-03,2014-12-03,69316700.0,69316700.0,500235000.0,40118000.0,,563328000.0,12401000.0,130769000.0,25284000.0,168454000.0,731782000,24377000.0,,73891000.0,,6578000.0,80469000,633946000.0,,19973000.0,651313000.0,731782000,GWRE,2014-10-31
37120,USD,2015,Q2,2015-03-03,2015-03-03,69883622.0,72056861.0,545385000.0,61797000.0,,628517000.0,12372000.0,81779000.0,26352000.0,120503000.0,749020000,27883000.0,,84149000.0,,5800000.0,89949000,640580000.0,,23949000.0,659071000.0,749020000,GWRE,2015-01-31
37120,USD,2015,Q3,2015-06-03,2015-06-03,70348356.0,70348356.0,549993000.0,59554000.0,,634332000.0,12427000.0,93824000.0,30317000.0,136568000.0,770900000,35614000.0,,103360000.0,,6193000.0,109553000,645356000.0,,20962000.0,661347000.0,770900000,GWRE,2015-04-30
37120,USD,2015,Q4,2015-09-17,2016-09-15,70754954.0,77535815.0,571635000.0,62062000.0,,661644000.0,12160000.0,106117000.0,20026000.0,138303000.0,799947000,46051000.0,,104409000.0,,6150000.0,110559000,662876000.0,,32855000.0,689388000.0,799947000,GWRE,2015-07-31
37120,USD,2016,Q1,2015-12-02,2015-12-02,71242897.0,71242897.0,536531000.0,54303000.0,,619082000.0,13418000.0,127118000.0,27314000.0,167850000.0,786932000,23261000.0,,76711000.0,,6609000.0,83320000,679087000.0,,31225000.0,703612000.0,786932000,GWRE,2015-10-31
37120,USD,2016,Q2,2016-03-02,2016-03-02,71779496.0,73402064.0,590944000.0,59392000.0,,663822000.0,13040000.0,109820000.0,37595000.0,160455000.0,824277000,29249000.0,,94456000.0,,7929000.0,102385000,697635000.0,,32138000.0,721892000.0,824277000,GWRE,2016-01-31
37120,USD,2016,Q3,2016-06-02,2016-06-02,72297934.0,72297934.0,578686000.0,61222000.0,,654365000.0,13251000.0,102161000.0,88644000.0,204056000.0,858421000,37947000.0,,108104000.0,,9110000.0,117214000,715260000.0,,31734000.0,741207000.0,858421000,GWRE,2016-04-30
37120,USD,2016,Q4,2016-09-15,2017-03-03,72786449.0,78120945.0,628237000.0,62792000.0,,707672000.0,12955000.0,107565000.0,87986000.0,208506000.0,916178000,51196000.0,,119083000.0,,13160000.0,132243000,742697000.0,,47831000.0,783935000.0,916178000,GWRE,2016-07-31
37120,USD,2017,Q1,2016-11-30,2016-11-30,73293467.0,73293467.0,530342000.0,55132000.0,,605493000.0,13010000.0,155856000.0,129035000.0,297901000.0,903394000,30160000.0,,100070000.0,,9105000.0,109175000,761913000.0,,39973000.0,794219000.0,903394000,GWRE,2016-10-31
37120,USD,2017,Q2,2017-03-03,2017-03-03,73738810.0,74793240.0,582805000.0,64626000.0,,671299000.0,11738000.0,146125000.0,122752000.0,280615000.0,951914000,34031000.0,,128575000.0,,5640000.0,134215000,781642000.0,,43947000.0,817699000.0,951914000,GWRE,2017-01-31
37120,USD,2017,Q3,2017-06-02,2017-06-02,74175603.0,74175603.0,477473000.0,94955000.0,,603171000.0,11896000.0,113913000.0,274234000.0,400043000.0,1003214000,49219000.0,,164065000.0,,5241000.0,169306000,799498000.0,,42128000.0,833908000.0,1003214000,GWRE,2017-04-30
37120,USD,2017,Q4,2017-09-20,2017-11-30,74770428.0,79051062.0,573203000.0,79433000.0,,679240000.0,14376000.0,114585000.0,270700000.0,399661000.0,1078901000,62298000.0,,163616000.0,,22004000.0,185620000,830022000.0,,69055000.0,893281000.0,1078901000,GWRE,2017-07-31
37120,USD,2018,Q1,2017-11-30,2017-11-30,75187430.0,75187430.0,561084000.0,78408000.0,,667634000.0,13806000.0,92388000.0,376320000.0,482514000.0,1150148000,38812000.0,,135432000.0,,26315000.0,161747000,850713000.0,,144255000.0,988401000.0,1150148000,GWRE,2017-10-31
37120,USD,2018,Q2,2018-03-07,2018-03-07,76859040.0,76859040.0,505178000.0,100046000.0,,638938000.0,16205000.0,64273000.0,564278000.0,644756000.0,1283694000,52251000.0,,172729000.0,,23476000.0,196205000,993567000.0,,98700000.0,1087489000.0,1283694000,GWRE,2018-01-31
37120,USD,2018,Q3,2018-06-06,2018-06-06,78777484.0,78777484.0,994252000.0,101146000.0,,1126627000.0,15929000.0,164206000.0,525771000.0,705906000.0,1832533000,62784000.0,,188694000.0,302184000.0,323972000.0,512666000,1276387000.0,,50078000.0,1319867000.0,1832533000,GWRE,2018-04-30
37120,USD,2018,Q4,2019-06-03,2019-06-03,80014414.0,80014414.0,1067148000.0,124849000.0,,1222507000.0,18595000.0,190952000.0,546538000.0,756085000.0,1978592000,90770000.0,,225188000.0,305128000.0,329660000.0,554848000,1297987000.0,,133505000.0,1423744000.0,1978592000,GWRE,2018-07-31
37120,USD,2019,Q1,2018-12-06,2018-12-06,80821227.0,82209988.0,1084587000.0,84928000.0,,1251962000.0,19031000.0,144359000.0,553441000.0,716831000.0,1968793000,53260000.0,,149118000.0,308114000.0,331952000.0,481070000,1321886000.0,,174550000.0,1487723000.0,1968793000,GWRE,2018-10-31
37120,USD,2019,Q2,2019-03-07,2019-03-07,81217511.0,82191668.0,1066372000.0,119699000.0,,1263798000.0,30017000.0,171873000.0,552625000.0,754515000.0,2018313000,65415000.0,,169670000.0,311141000.0,334261000.0,503931000,1346628000.0,,175308000.0,1514382000.0,2018313000,GWRE,2019-01-31
37120,USD,2019,Q3,2019-06-10,2019-06-10,81606088.0,81606088.0,1005202000.0,108844000.0,,1209235000.0,55375000.0,242994000.0,551095000.0,849464000.0,2058699000,87517000.0,,189404000.0,314210000.0,343294000.0,532698000,1366907000.0,,167038000.0,1526001000.0,2058699000,GWRE,2019-04-30
37120,USD,2019,Q4,2019-10-01,2019-12-06,82147166.0,84717112.0,1124237000.0,138443000.0,,1334974000.0,65809000.0,213524000.0,552656000.0,831989000.0,2166963000,107620000.0,,232272000.0,317322000.0,360490000.0,592762000,1391912000.0,,190047000.0,1574201000.0,2166963000,GWRE,2019-07-31
37120,USD,2020,Q1,2019-12-06,2019-12-06,82360891.0,82360891.0,1011216000.0,79480000.0,,1189725000.0,67440000.0,300797000.0,641062000.0,1009299000.0,2199024000,59160000.0,,164686000.0,320477000.0,448813000.0,613499000,1417045000.0,,175163000.0,1585525000.0,2199024000,GWRE,2019-10-31
37120,USD,2020,Q2,2020-03-05,2020-03-05,82725641.0,82725641.0,1055402000.0,101171000.0,,1247984000.0,66673000.0,274563000.0,632370000.0,973606000.0,2221590000,70413000.0,,182586000.0,323676000.0,446439000.0,629025000,1444605000.0,,155219000.0,1592565000.0,2221590000,GWRE,2020-01-31
