SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
250487,USD,2016,Q3,2016-11-14,2016-11-14,13004000.0,13004000.0,3803000.0,8854000.0,6062000.0,26849000.0,3088000.0,1408000.0,11033000.0,15529000.0,42378000,7722000.0,586000.0,15167000.0,,9514000.0,24681000,111764000.0,-4340000.0,-89415000.0,17697000.0,42378000,IDSY,2016-09-30
250487,USD,2016,Q4,2017-03-29,2017-11-14,13099000.0,13099000.0,5087000.0,9585000.0,3920000.0,27908000.0,3075000.0,1499000.0,11764000.0,16338000.0,44246000,7622000.0,2993000.0,17812000.0,,10432000.0,28244000,111973000.0,-4370000.0,-91498000.0,16002000.0,44246000,IDSY,2016-12-31
250487,USD,2017,Q1,2017-05-12,2017-05-12,13261000.0,13261000.0,6803000.0,9453000.0,3096000.0,29043000.0,3021000.0,1467000.0,10469000.0,14957000.0,44000000,6452000.0,1267000.0,18814000.0,,9424000.0,28238000,113851000.0,-4586000.0,-93384000.0,15762000.0,44000000,IDSY,2017-03-31
250487,USD,2017,Q2,2017-08-11,2017-08-11,13450000.0,13450000.0,8470000.0,8123000.0,2584000.0,29680000.0,2936000.0,1539000.0,9601000.0,14076000.0,43756000,8539000.0,0.0,19538000.0,,8626000.0,28164000,114484000.0,-4627000.0,-93908000.0,15592000.0,43756000,IDSY,2017-06-30
250487,USD,2017,Q3,2017-11-14,2017-11-14,16190000.0,16190000.0,6832000.0,9379000.0,4723000.0,30730000.0,2770000.0,10238000.0,19481000.0,32489000.0,63219000,8637000.0,0.0,20304000.0,,9534000.0,29838000,133145000.0,-4799000.0,-94494000.0,33381000.0,63219000,IDSY,2017-09-30
250487,USD,2017,Q4,2018-03-30,2018-05-14,16943000.0,16943000.0,6298000.0,8746000.0,4586000.0,29154000.0,2747000.0,10278000.0,18753000.0,31778000.0,60932000,7440000.0,,19074000.0,,8887000.0,27961000,133752000.0,-4835000.0,-95368000.0,32971000.0,60932000,IDSY,2017-12-31
250487,USD,2018,Q1,2018-05-14,2018-05-14,16981000.0,16981000.0,5306000.0,9505000.0,4737000.0,30727000.0,2613000.0,8674000.0,18354000.0,29641000.0,60368000,8596000.0,,19206000.0,,9105000.0,28311000,134671000.0,-5481000.0,-96358000.0,32057000.0,60368000,IDSY,2018-03-31
250487,USD,2018,Q2,2018-08-13,2018-08-13,17066000.0,17066000.0,3818000.0,11928000.0,3864000.0,30065000.0,2471000.0,8983000.0,18354000.0,29808000.0,59873000,7739000.0,,18566000.0,,9639000.0,28205000,135269000.0,-5529000.0,-97474000.0,31668000.0,59873000,IDSY,2018-06-30
250487,USD,2018,Q3,2018-11-13,2018-11-13,17312000.0,17312000.0,11725000.0,9544000.0,3954000.0,35334000.0,2262000.0,4246000.0,18290000.0,24798000.0,60132000,8608000.0,,17850000.0,,8793000.0,26643000,138020000.0,-5705000.0,-98371000.0,33489000.0,60132000,IDSY,2018-09-30
250487,USD,2018,Q4,2019-04-01,2019-08-14,17573000.0,17573000.0,10553000.0,9247000.0,4649000.0,32660000.0,2149000.0,4131000.0,18863000.0,25143000.0,57803000,8027000.0,,16875000.0,0.0,9394000.0,26269000,138885000.0,-5736000.0,-101180000.0,31534000.0,57803000,IDSY,2018-12-31
250487,USD,2019,Q1,2019-05-15,2019-05-15,17621000.0,17621000.0,9515000.0,13295000.0,5058000.0,36223000.0,2194000.0,0.0,24112000.0,26306000.0,62529000,9680000.0,,21321000.0,1542000.0,11476000.0,32797000,139468000.0,-5962000.0,-103374000.0,29732000.0,62529000,IDSY,2019-03-31
