SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
165913,USD,2011,Q2,2011-08-09,2011-08-15,1098600.0,1164000.0,4477000.0,9435000.0,16353000.0,32138000.0,12470000.0,,2990000.0,15460000.0,47598000,11889000.0,1089000.0,23738000.0,7470000.0,8566000.0,32304000,19989000.0,,-6556000.0,15294000.0,47598000,JAN,2011-06-30
165913,USD,2011,Q3,2011-11-10,2011-11-10,1098600.0,1164200.0,4700000.0,8243000.0,19033000.0,33875000.0,12612000.0,,2712000.0,15324000.0,49199000,14002000.0,1082000.0,23919000.0,7411000.0,8385000.0,32304000,20109000.0,,-4800000.0,16895000.0,49199000,JAN,2011-09-30
165913,USD,2011,Q4,2012-02-09,2013-03-22,1101800.0,1174800.0,4401000.0,7445000.0,18456000.0,31895000.0,12535000.0,,2379000.0,14914000.0,46809000,8776000.0,989000.0,20450000.0,7251000.0,8979000.0,29429000,20338000.0,,-4797000.0,17380000.0,46809000,JAN,2011-12-31
165913,USD,2012,Q1,2012-05-10,2012-05-10,1107400.0,1107400.0,4036000.0,6144000.0,20263000.0,32267000.0,12604000.0,,2347000.0,14951000.0,47218000,11188000.0,968000.0,21116000.0,7015000.0,8621000.0,29737000,20456000.0,,-4863000.0,17481000.0,47218000,JAN,2012-03-31
165913,USD,2012,Q2,2012-08-10,2012-08-10,1111000.0,1111000.0,3734000.0,6181000.0,21112000.0,33681000.0,12614000.0,,2274000.0,14888000.0,48569000,10502000.0,955000.0,23360000.0,6830000.0,8314000.0,31674000,20492000.0,,-5504000.0,16895000.0,48569000,JAN,2012-06-30
165913,USD,2012,Q3,2012-11-09,2012-11-09,1111200.0,1111200.0,2777000.0,7305000.0,20516000.0,32928000.0,12469000.0,,2210000.0,14679000.0,47607000,10203000.0,2800000.0,25460000.0,4754000.0,6229000.0,31689000,20554000.0,,-6586000.0,15918000.0,47607000,JAN,2012-09-30
165913,USD,2012,Q4,2013-03-22,2014-03-14,1111200.0,1111200.0,3174000.0,6256000.0,17274000.0,28558000.0,12248000.0,,998000.0,13246000.0,41804000,9267000.0,955000.0,20781000.0,6357000.0,7789000.0,28570000,20577000.0,,-8649000.0,13234000.0,41804000,JAN,2012-12-31
165913,USD,2013,Q1,2013-05-09,2013-05-09,1111200.0,1111200.0,3925000.0,6826000.0,14395000.0,26665000.0,11946000.0,,1593000.0,13539000.0,40204000,10628000.0,1037000.0,19434000.0,6150000.0,7461000.0,26895000,20581000.0,,-8465000.0,13309000.0,40204000,JAN,2013-03-31
165913,USD,2013,Q2,2013-08-08,2013-08-08,1111200.0,1141800.0,2659000.0,9337000.0,14040000.0,27848000.0,11728000.0,,1557000.0,13285000.0,41133000,10730000.0,1204000.0,19992000.0,5940000.0,7129000.0,27121000,20636000.0,,-7697000.0,14012000.0,41133000,JAN,2013-06-30
165913,USD,2013,Q3,2013-11-07,2013-11-07,1112800.0,1155400.0,2131000.0,10796000.0,15249000.0,29912000.0,11686000.0,,1500000.0,13186000.0,43098000,12834000.0,1217000.0,20874000.0,5706000.0,6773000.0,27647000,20773000.0,,-6563000.0,15451000.0,43098000,JAN,2013-09-30
