SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
73743,USD,2014,Q2,2014-08-14,2014-08-14,7890029.0,7890029.0,203397000.0,,,204193000.0,1200000.0,,211000.0,1411000.0,205604000,4048000.0,,4865000.0,,1822000.0,6687000,234851000.0,,-35934000.0,198917000.0,205604000,KITE,2014-06-30
73743,USD,2014,Q3,2014-11-14,2014-11-14,38330026.0,38330026.0,195393000.0,,,196530000.0,1612000.0,,190000.0,1802000.0,198332000,2509000.0,,3588000.0,,1573000.0,5161000,238265000.0,,-44986000.0,193172000.0,198333000,KITE,2014-09-30
73743,USD,2014,Q4,2015-03-26,2016-02-29,39497262.0,39497262.0,367040000.0,,,368370000.0,2275000.0,,108000.0,2383000.0,370753000,6725000.0,,6725000.0,,1439000.0,8164000,420890000.0,,-58004000.0,362589000.0,370753000,KITE,2014-12-31
73743,USD,2015,Q1,2015-05-15,2015-05-15,42465737.0,42465737.0,428526000.0,,,434962000.0,4330000.0,,51389000.0,55719000.0,490681000,11438000.0,,40238000.0,,64272000.0,104510000,459470000.0,,-73092000.0,386171000.0,490681000,KITE,2015-03-31
73743,USD,2015,Q2,2015-08-10,2015-08-10,43249349.0,43249349.0,392888000.0,,,403294000.0,11321000.0,,50114000.0,61435000.0,464729000,12000000.0,,27000000.0,,61555000.0,88555000,469817000.0,,-93983000.0,376174000.0,464729000,KITE,2015-06-30
73743,USD,2015,Q3,2015-11-12,2015-11-12,43817798.0,43817798.0,368561000.0,,,381472000.0,20329000.0,,49013000.0,69342000.0,450814000,13937000.0,,29270000.0,,59133000.0,88403000,483365000.0,,-121426000.0,362411000.0,450814000,KITE,2015-09-30
73743,USD,2015,Q4,2016-03-29,2017-02-28,45013724.0,45013724.0,614722000.0,,,631093000.0,30116000.0,,46754000.0,76870000.0,707963000,19836000.0,,36169000.0,,56034000.0,92203000,775637000.0,,-159657000.0,615760000.0,707963000,KITE,2015-12-31
73743,USD,2016,Q1,2016-06-28,2016-06-28,48831797.0,48831797.0,577421000.0,,,592487000.0,40462000.0,,46302000.0,86764000.0,679251000,20886000.0,,37136000.0,,52719000.0,89855000,791944000.0,,-203573000.0,589396000.0,679251000,KITE,2016-03-31
73743,USD,2016,Q2,2016-08-08,2016-08-08,49156705.0,49156705.0,531126000.0,,,541598000.0,42466000.0,,51611000.0,94077000.0,635675000,26852000.0,,43019000.0,,47200000.0,90219000,812540000.0,,-267846000.0,545456000.0,635675000,KITE,2016-06-30
73743,USD,2016,Q3,2016-11-09,2016-11-09,49624622.0,49624622.0,477119000.0,,,491107000.0,43548000.0,,49862000.0,93410000.0,584517000,32272000.0,,47355000.0,,42809000.0,90164000,835470000.0,,-341792000.0,494353000.0,584517000,KITE,2016-09-30
73743,USD,2016,Q4,2017-02-28,2017-08-08,48148036.0,48148036.0,414422000.0,,,427396000.0,44409000.0,,52499000.0,96908000.0,524304000,40142000.0,,55142000.0,,41192000.0,96334000,855614000.0,,-426727000.0,427970000.0,524304000,KITE,2016-12-31
73743,USD,2017,Q1,2017-05-08,2017-05-08,51839500.0,51839500.0,804028000.0,,,819228000.0,46241000.0,,58274000.0,104515000.0,923743000,39706000.0,,79592000.0,,64053000.0,143645000,1297910000.0,,-517126000.0,780098000.0,923743000,KITE,2017-03-31
