SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
182473,USD,2014,Q1,2014-06-12,2014-06-12,31957000.0,31957000.0,21755000.0,27819000.0,345606000.0,426697000.0,104993000.0,,644039000.0,749032000.0,1175729000,70967000.0,,172164000.0,0.0,198665000.0,370829000,0.0,,0.0,804900000.0,1175729000,LE,2014-04-30
182473,USD,2014,Q2,2014-09-10,2014-09-10,31957000.0,31957000.0,28299000.0,18046000.0,415208000.0,492235000.0,101276000.0,,643326000.0,744602000.0,1236837000,139614000.0,,221665000.0,0.0,198500000.0,420165000,0.0,,0.0,816672000.0,1236837000,LE,2014-07-31
182473,USD,2014,Q3,2014-12-10,2014-12-10,31957000.0,31957000.0,16331000.0,38648000.0,463957000.0,559838000.0,99162000.0,,642616000.0,741778000.0,1301616000,139393000.0,,244433000.0,0.0,198199000.0,442632000,0.0,,0.0,858984000.0,1301616000,LE,2014-10-31
182473,USD,2014,Q4,2015-04-17,2015-04-17,31957000.0,31957000.0,22411000.0,33617000.0,369928000.0,451249000.0,101096000.0,,641930000.0,743026000.0,1194275000,115387000.0,,203361000.0,0.0,198600000.0,401961000,0.0,,0.0,792314000.0,1194275000,LE,2015-01-31
182473,USD,2015,Q1,2015-06-09,2015-06-09,31957000.0,31957000.0,64976000.0,39800000.0,326973000.0,464712000.0,98656000.0,,664386000.0,763042000.0,1227754000,76091000.0,,188599000.0,509850000.0,693829000.0,882428000,340496000.0,,5946000.0,345326000.0,1227754000,LE,2015-04-30
182473,USD,2015,Q2,2015-09-03,2015-09-03,31957000.0,31962000.0,132837000.0,24818000.0,366192000.0,555207000.0,98574000.0,,663313000.0,761887000.0,1317094000,163249000.0,,264775000.0,508563000.0,694863000.0,959638000,341278000.0,,17791000.0,357456000.0,1317094000,LE,2015-07-31
182473,USD,2015,Q3,2015-12-03,2016-12-01,31957000.0,31971000.0,104986000.0,37875000.0,436712000.0,623706000.0,105661000.0,,652652000.0,758313000.0,1382019000,151429000.0,,259025000.0,494788000.0,696104000.0,955129000,344476000.0,,88787000.0,426890000.0,1382019000,LE,2015-10-31
182473,USD,2015,Q4,2016-04-01,2017-03-31,31957000.0,32174000.0,228368000.0,32061000.0,329203000.0,616550000.0,109831000.0,,555145000.0,664976000.0,1281526000,146097000.0,,230089000.0,493838000.0,666928000.0,897017000,344564000.0,,49329000.0,384509000.0,1281526000,LE,2016-01-31
182473,USD,2016,Q1,2016-06-02,2017-06-06,31957000.0,32060000.0,169073000.0,31127000.0,309855000.0,545473000.0,111208000.0,,555386000.0,666594000.0,1212067000,76038000.0,,162845000.0,492890000.0,667605000.0,830450000,345116000.0,,43570000.0,381617000.0,1212067000,LE,2016-04-30
182473,USD,2016,Q2,2016-09-01,2017-09-01,31978000.0,32047000.0,210736000.0,29287000.0,354739000.0,629843000.0,112682000.0,,555913000.0,668595000.0,1298438000,174940000.0,,257152000.0,491941000.0,663931000.0,921083000,345918000.0,,41590000.0,377355000.0,1298438000,LE,2016-07-31
