SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
781663,USD,2014,Q2,2014-08-13,2014-10-07,271317.0,271317.0,51304000.0,,,51955000.0,7000.0,,950000.0,957000.0,52912000,1233000.0,,1233000.0,,0.0,1233000,727000.0,,-17097000.0,51679000.0,52912000,LOXO,2014-06-30
781663,USD,2014,Q3,2014-11-14,2014-11-14,9947321.0,9947321.0,118621000.0,,,120036000.0,13000.0,,23000.0,36000.0,120072000,727000.0,,727000.0,,0.0,727000,143185000.0,,-23840000.0,119345000.0,120072000,LOXO,2014-09-30
781663,USD,2014,Q4,2015-02-13,2016-03-15,16671247.0,16671247.0,106292000.0,,,107776000.0,12000.0,6648000.0,23000.0,6683000.0,114459000,1787000.0,,1787000.0,,0.0,1787000,143662000.0,,-30962000.0,112672000.0,114459000,LOXO,2014-12-31
781663,USD,2015,Q1,2015-05-14,2015-05-14,16474269.0,16474269.0,97952000.0,,,99165000.0,31000.0,9650000.0,23000.0,9704000.0,108869000,1309000.0,,1309000.0,,0.0,1309000,144711000.0,,-37144000.0,107560000.0,108869000,LOXO,2015-03-31
781663,USD,2015,Q2,2015-08-05,2015-08-05,16540764.0,16540764.0,101800000.0,,,103182000.0,78000.0,,23000.0,101000.0,103283000,1818000.0,,1818000.0,,0.0,1818000,146662000.0,,-45200000.0,101465000.0,103283000,LOXO,2015-06-30
781663,USD,2015,Q3,2015-11-10,2015-11-10,16560610.0,16560610.0,93422000.0,,,96406000.0,74000.0,,222000.0,296000.0,96702000,2839000.0,,2839000.0,,0.0,2839000,147827000.0,,-53971000.0,93863000.0,96702000,LOXO,2015-09-30
781663,USD,2015,Q4,2016-03-15,2017-03-07,18002553.0,18002553.0,153892000.0,,,156644000.0,88000.0,0.0,726000.0,814000.0,157458000,2853000.0,,2853000.0,,0.0,2853000,221459000.0,,-66838000.0,154605000.0,157458000,LOXO,2015-12-31
781663,USD,2016,Q1,2016-05-04,2016-05-04,19544748.0,19544748.0,144843000.0,,,147254000.0,303000.0,,496000.0,799000.0,148053000,2905000.0,,2905000.0,,0.0,2905000,223542000.0,,-78435000.0,145148000.0,148053000,LOXO,2016-03-31
781663,USD,2016,Q2,2016-08-03,2016-08-03,20587848.0,20587848.0,171737000.0,,,174490000.0,291000.0,,440000.0,731000.0,175221000,5796000.0,,5796000.0,,0.0,5796000,263682000.0,,-94351000.0,169425000.0,175221000,LOXO,2016-06-30
781663,USD,2016,Q3,2016-11-02,2016-11-02,21609424.0,21609424.0,155537000.0,,,159631000.0,269000.0,1002000.0,566000.0,1837000.0,161468000,6654000.0,,6654000.0,,0.0,6654000,266800000.0,,-112042000.0,154814000.0,161468000,LOXO,2016-09-30
781663,USD,2016,Q4,2017-03-07,2018-03-01,21879772.0,21879772.0,139311000.0,,,141794000.0,248000.0,2499000.0,771000.0,3518000.0,145312000,15144000.0,,15144000.0,,0.0,15144000,269425000.0,,-139236000.0,130168000.0,145312000,LOXO,2016-12-31
781663,USD,2017,Q1,2017-05-09,2017-05-09,25668052.0,25668052.0,240315000.0,,,244399000.0,328000.0,3984000.0,653000.0,4965000.0,249364000,10408000.0,,10408000.0,,0.0,10408000,402885000.0,,-163764000.0,238956000.0,249364000,LOXO,2017-03-31
781663,USD,2017,Q2,2017-08-08,2017-08-08,26586610.0,26586610.0,467585000.0,,,471416000.0,364000.0,,657000.0,1021000.0,472437000,11183000.0,,11183000.0,,0.0,11183000,655584000.0,,-194165000.0,461254000.0,472437000,LOXO,2017-06-30
781663,USD,2017,Q3,2017-11-02,2017-11-02,29872198.0,29872198.0,371669000.0,,,376611000.0,566000.0,33606000.0,723000.0,34895000.0,411506000,17470000.0,,17470000.0,,0.0,17470000,661616000.0,,-267484000.0,394036000.0,411506000,LOXO,2017-09-30
781663,USD,2017,Q4,2018-03-01,2018-11-08,30015928.0,30015928.0,626200000.0,,,781807000.0,912000.0,,723000.0,1635000.0,783442000,26533000.0,,221570000.0,,183662000.0,405232000,666894000.0,,-288112000.0,378210000.0,783442000,LOXO,2017-12-31
781663,USD,2018,Q1,2018-05-08,2018-05-08,30025461.0,30025461.0,710229000.0,,,720649000.0,1578000.0,25355000.0,1027000.0,27960000.0,748609000,28342000.0,,204499000.0,,159689000.0,364188000,676774000.0,,-291670000.0,384421000.0,748609000,LOXO,2018-03-31
781663,USD,2018,Q2,2018-08-09,2018-08-09,30156986.0,30156986.0,670988000.0,,,676737000.0,3333000.0,35413000.0,1027000.0,39773000.0,716510000,39175000.0,,185907000.0,,138479000.0,324386000,695999000.0,,-303396000.0,392124000.0,716510000,LOXO,2018-06-30
