SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
816577,USD,2011,Q2,2011-08-12,2011-08-12,13636993.0,13636993.0,8066006.0,6675480.0,3772483.0,19247030.0,3144099.0,,928178.0,4072277.0,23319307,5708579.0,1549446.0,8943765.0,4583864.0,4583864.0,13527629,58227133.0,,-48436777.0,9791678.0,23319307,LUNA,2011-06-30
816577,USD,2011,Q3,2011-11-14,2011-11-14,13669724.0,15898639.0,6833450.0,7908792.0,3570266.0,19197315.0,3010999.0,,898885.0,3909884.0,23107199,5375890.0,1550192.0,8334644.0,4196033.0,4196033.0,12530677,58790093.0,,-48214893.0,10576522.0,23107199,LUNA,2011-09-30
816577,USD,2011,Q4,2012-03-29,2013-03-29,13798858.0,20485607.0,8939127.0,5958086.0,3330773.0,19335141.0,2816674.0,,767606.0,3584280.0,22919421,5268795.0,1675949.0,8407347.0,3808008.0,3808008.0,12215355,59303485.0,,-48600741.0,10704066.0,22919421,LUNA,2011-12-31
816577,USD,2012,Q1,2012-05-10,2012-05-10,13850667.0,16322294.0,7879363.0,6824530.0,3273384.0,18944762.0,2711445.0,,722908.0,3434353.0,22379115,5219758.0,1551717.0,7983447.0,3544787.0,3544787.0,11528234,59819144.0,,-48969585.0,10850881.0,22379115,LUNA,2012-03-31
816577,USD,2012,Q2,2012-08-10,2012-08-10,13892816.0,16314620.0,6639519.0,7170950.0,3395620.0,18162955.0,2556583.0,,645920.0,3202503.0,21365458,4433487.0,1552496.0,7120095.0,3156367.0,3156367.0,10276462,60326563.0,,-49238889.0,11088996.0,21365458,LUNA,2012-06-30
816577,USD,2012,Q3,2012-11-08,2012-11-08,13939938.0,16312622.0,6722311.0,7729108.0,3569999.0,19020747.0,2470723.0,,621145.0,3091868.0,22112615,5285468.0,1678288.0,8067109.0,2642745.0,2642745.0,10709854,60894631.0,,-49493192.0,11402761.0,22112615,LUNA,2012-09-30
816577,USD,2012,Q4,2013-03-29,2014-04-10,14037647.0,16298656.0,6340461.0,7059635.0,3336916.0,17440414.0,2426638.0,,590716.0,3017354.0,20457768,4544746.0,1554091.0,6931659.0,2253917.0,2253917.0,9185576,61375750.0,,-50104880.0,11272192.0,20457768,LUNA,2012-12-31
816577,USD,2013,Q1,2013-05-09,2013-05-09,14011814.0,14011814.0,10266998.0,5625212.0,3521920.0,20131298.0,2268109.0,,458048.0,2726157.0,22857455,4366286.0,1679906.0,6619587.0,1864881.0,1864881.0,8484468,61714577.0,,-47342912.0,14372987.0,22857455,LUNA,2013-03-31
816577,USD,2013,Q2,2013-08-08,2013-08-08,14362494.0,14362494.0,8742869.0,6702987.0,3646133.0,19722471.0,2141390.0,,457931.0,2599321.0,22321792,4770016.0,1680734.0,7062019.0,1475633.0,1475633.0,8537652,62104178.0,,-48321360.0,13784140.0,22321792,LUNA,2013-06-30
816577,USD,2013,Q3,2013-11-07,2013-11-07,14441707.0,14441707.0,8184665.0,5656564.0,3775508.0,18179641.0,2155032.0,,388794.0,2543826.0,20723467,3987750.0,1565627.0,6111453.0,1127337.0,1127337.0,7238790,62444793.0,,-48961438.0,13484677.0,20723467,LUNA,2013-09-30
816577,USD,2013,Q4,2014-04-15,2015-03-16,14528525.0,14528525.0,7778541.0,5408281.0,3346177.0,17312181.0,2060709.0,,331185.0,2391894.0,19704075,4948349.0,1566617.0,7206390.0,735307.0,735307.0,7941697,62771413.0,0.0,-51010357.0,11762378.0,19704075,LUNA,2013-12-31
816577,USD,2014,Q1,2014-05-13,2014-05-13,14653262.0,14653262.0,10886015.0,10512087.0,3294498.0,25305596.0,1960095.0,,247284.0,2207379.0,27512975,4318817.0,1567621.0,6439269.0,343021.0,343021.0,6782290,63229032.0,,-42499669.0,20730685.0,27512975,LUNA,2014-03-31
