SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
884834,USD,2010,Q2,2010-08-06,2010-08-06,44121087.0,44145255.0,42848340.0,12403569.0,,67284399.0,7689100.0,66112729.0,67555502.0,141357331.0,208641730,56963830.0,,65524136.0,161008.0,9396082.0,74920218,120419307.0,,38951100.0,133721512.0,208641730,MELI,2010-06-30
884834,USD,2010,Q3,2010-11-05,2010-11-05,44129762.0,44151367.0,51036353.0,15821176.0,,85435169.0,19062411.0,65852573.0,70382499.0,155297483.0,240732652,63968076.0,,73895695.0,280228.0,10677260.0,84572955,120410487.0,,57742063.0,156159697.0,240732652,MELI,2010-09-30
884834,USD,2010,Q4,2011-02-25,2012-02-28,44131628.0,44141110.0,62173232.0,18769691.0,,101635208.0,20817712.0,78846281.0,68383822.0,168047815.0,269683023,76906893.0,,88394467.0,188846.0,9570286.0,97964753,120435753.0,,73681556.0,171718270.0,269683023,MELI,2010-12-31
884834,USD,2011,Q1,2011-05-06,2011-05-06,44131383.0,44147667.0,54147463.0,19080174.0,,94224463.0,22672952.0,101824319.0,68011440.0,192508711.0,286733174,84115434.0,,93892486.0,166592.0,9735552.0,103628038,120470348.0,,84208680.0,183105136.0,286733174,MELI,2011-03-31
884834,USD,2011,Q2,2011-08-09,2011-08-09,44138105.0,44152296.0,116634151.0,22894570.0,,159221716.0,31316388.0,50201025.0,67786847.0,149304260.0,308525976,92692333.0,,100753412.0,125721.0,10143394.0,110896806,120473452.0,,95498168.0,197629170.0,308525976,MELI,2011-06-30
884834,USD,2011,Q3,2011-11-04,2011-11-04,44141925.0,44151218.0,126661911.0,28673498.0,,174490947.0,31351966.0,41002762.0,78497915.0,150852643.0,325343590,94266655.0,,104264446.0,178543.0,13225101.0,117489547,120485048.0,,118262734.0,207854043.0,325343590,MELI,2011-09-30
884834,USD,2011,Q4,2012-02-28,2013-02-28,44142175.0,44154567.0,142310297.0,40670776.0,,200245555.0,30877719.0,43933316.0,80874846.0,155685881.0,355931436,106670347.0,,118303525.0,136227.0,14448895.0,132752420,120496174.0,,135726188.0,223179016.0,355931436,MELI,2011-12-31
884834,USD,2012,Q1,2012-05-09,2012-05-09,44142076.0,44147796.0,158597088.0,40302502.0,,217199163.0,33117055.0,43084473.0,83168765.0,159370293.0,376569456,110314315.0,,120203112.0,101249.0,14686528.0,134889640,120507210.0,,150867488.0,241679816.0,376569456,MELI,2012-03-31
884834,USD,2012,Q2,2012-08-03,2012-08-03,44147999.0,44152133.0,170611906.0,44581635.0,,233544404.0,35103153.0,49571882.0,80332294.0,165007329.0,398551733,121683769.0,,132030580.0,94093.0,14680099.0,146710679,120509610.0,,171253118.0,251841054.0,398551733,MELI,2012-06-30
884834,USD,2012,Q3,2012-11-05,2012-11-05,44150387.0,44157321.0,177562344.0,56246485.0,,254911722.0,35217386.0,59418012.0,81077432.0,175712830.0,430624552,130817153.0,,143416022.0,74937.0,15102774.0,158518796,120512910.0,,192668273.0,272105756.0,430624552,MELI,2012-09-30
