SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
968242,USD,2012,Q1,2012-05-10,2012-05-10,16916304.0,16919308.0,,35788000.0,34318000.0,84872000.0,74893000.0,8049000.0,1774000.0,84716000.0,169588000,31598000.0,1684000.0,36447000.0,28217000.0,47223000.0,83670000,13993000.0,,72783000.0,85918000.0,169588000,MGPI,2012-03-31
968242,USD,2012,Q2,2012-08-09,2012-08-09,16916304.0,16916304.0,,35364000.0,36525000.0,81533000.0,76415000.0,7889000.0,1675000.0,85979000.0,167512000,32199000.0,1697000.0,35660000.0,29376000.0,46790000.0,82450000,13975000.0,,71933000.0,85062000.0,167512000,MGPI,2012-06-30
968242,USD,2012,Q3,2012-11-09,2012-11-09,16976054.0,16976120.0,,30294000.0,34505000.0,72448000.0,76716000.0,7762000.0,1715000.0,86193000.0,158641000,23084000.0,1710000.0,24942000.0,31932000.0,47185000.0,72127000,14184000.0,,72351000.0,86514000.0,158641000,MGPI,2012-09-30
968242,USD,2012,Q4,2013-03-12,2014-03-13,16996010.0,16992940.0,0.0,35325000.0,36532000.0,78091000.0,75391000.0,7301000.0,2388000.0,85080000.0,163171000,28088000.0,1683000.0,29771000.0,31061000.0,46573000.0,76344000,14525000.0,,72531000.0,86827000.0,163171000,MGPI,2012-12-31
968242,USD,2013,Q1,2013-05-06,2013-05-06,16999146.0,16999146.0,,34345000.0,38998000.0,80018000.0,72537000.0,6347000.0,2312000.0,81196000.0,161214000,30375000.0,1642000.0,32017000.0,26549000.0,41620000.0,73637000,14863000.0,,73092000.0,87577000.0,161214000,MGPI,2013-03-31
968242,USD,2013,Q2,2013-08-12,2013-08-12,17006922.0,17007056.0,0.0,31157000.0,41034000.0,79183000.0,70650000.0,6424000.0,2263000.0,79337000.0,158520000,25369000.0,1601000.0,26970000.0,29058000.0,43859000.0,70829000,14838000.0,,73372000.0,87691000.0,158520000,MGPI,2013-06-30
968242,USD,2013,Q3,2013-11-13,2013-11-13,17127523.0,17127523.0,0.0,31796000.0,36801000.0,76410000.0,70300000.0,6352000.0,2153000.0,78805000.0,155215000,27351000.0,1558000.0,28909000.0,28872000.0,44844000.0,73753000,15045000.0,,67047000.0,81462000.0,155215000,MGPI,2013-09-30
968242,USD,2013,Q4,2014-03-13,2015-03-12,17144229.0,17144095.0,2857000.0,27821000.0,34917000.0,71886000.0,70244000.0,7123000.0,2076000.0,79443000.0,151329000,32593000.0,1557000.0,34150000.0,21611000.0,35576000.0,69726000,14917000.0,,66686000.0,81603000.0,151329000,MGPI,2013-12-31
968242,USD,2014,Q1,2014-05-08,2014-05-08,17246251.0,17246251.0,0.0,31871000.0,30875000.0,69201000.0,68258000.0,10458000.0,1985000.0,80701000.0,149902000,28355000.0,1570000.0,29925000.0,21669000.0,34626000.0,64551000,14962000.0,,70564000.0,85351000.0,149902000,MGPI,2014-03-31
968242,USD,2014,Q2,2014-08-07,2014-08-07,17277225.0,17277225.0,883000.0,34737000.0,31947000.0,73143000.0,66454000.0,12786000.0,2391000.0,81631000.0,154774000,28924000.0,1583000.0,30507000.0,21823000.0,33628000.0,64135000,14651000.0,,75663000.0,90639000.0,154774000,MGPI,2014-06-30
