SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
59265,USD,2004,Q3,2004-05-03,2004-05-03,9328000000.0,9470000000.0,56407000000.0,4937000000.0,542000000.0,65270000000.0,2258000000.0,15155000000.0,7084000000.0,24497000000.0,89767000000,2636000000.0,,15984000000.0,,3203000000.0,19187000000,53975000000.0,,16605000000.0,70580000000.0,89767000000,MSFT,2004-03-31
59265,USD,2004,Q4,2004-09-01,2005-04-28,9328000000.0,9470000000.0,60592000000.0,5890000000.0,421000000.0,70566000000.0,2326000000.0,12210000000.0,7287000000.0,21823000000.0,92389000000,3056000000.0,,14969000000.0,,2595000000.0,17564000000,56396000000.0,,18429000000.0,74825000000.0,92389000000,MSFT,2004-06-30
59265,USD,2005,Q1,2004-11-09,2004-11-09,9328000000.0,9470000000.0,64415000000.0,5106000000.0,608000000.0,72896000000.0,2317000000.0,12185000000.0,6870000000.0,21372000000.0,94268000000,2357000000.0,,15811000000.0,,2511000000.0,18322000000,57147000000.0,,18799000000.0,75946000000.0,94268000000,MSFT,2004-09-30
59265,USD,2005,Q2,2005-01-27,2005-01-27,9328000000.0,9470000000.0,34504000000.0,6646000000.0,304000000.0,44399000000.0,2336000000.0,12160000000.0,6046000000.0,20542000000.0,64941000000,2671000000.0,,15045000000.0,,2664000000.0,17709000000,58403000000.0,,-11171000000.0,47232000000.0,64941000000,MSFT,2004-12-31
59265,USD,2005,Q3,2005-04-28,2005-04-28,9328000000.0,9470000000.0,37594000000.0,5610000000.0,340000000.0,46593000000.0,2321000000.0,11772000000.0,5589000000.0,19682000000.0,66275000000,2925000000.0,,16139000000.0,,2763000000.0,18902000000,58829000000.0,,-11456000000.0,47373000000.0,66275000000,MSFT,2005-03-31
59265,USD,2005,Q4,2005-08-26,2006-01-26,9328000000.0,9470000000.0,37751000000.0,7180000000.0,491000000.0,48737000000.0,2346000000.0,11004000000.0,8728000000.0,22078000000.0,70815000000,3748000000.0,,16877000000.0,,5823000000.0,22700000000,60413000000.0,,-12298000000.0,48115000000.0,70815000000,MSFT,2005-06-30
59265,USD,2006,Q1,2005-10-27,2005-10-27,9328000000.0,9470000000.0,40056000000.0,5799000000.0,726000000.0,49831000000.0,2351000000.0,10062000000.0,9218000000.0,21631000000.0,71462000000,3048000000.0,,17022000000.0,,6113000000.0,23135000000,60862000000.0,,-12535000000.0,48327000000.0,71462000000,MSFT,2005-09-30
59265,USD,2006,Q2,2006-03-03,2006-03-03,9328000000.0,9470000000.0,34701000000.0,7758000000.0,1003000000.0,46694000000.0,2452000000.0,9095000000.0,9016000000.0,20563000000.0,67257000000,3726000000.0,,16747000000.0,,6302000000.0,23049000000,60140000000.0,,-15932000000.0,44208000000.0,67257000000,MSFT,2005-12-31
59265,USD,2006,Q3,2006-04-27,2006-04-27,9328000000.0,9470000000.0,34816000000.0,6818000000.0,1113000000.0,46628000000.0,2543000000.0,8888000000.0,8795000000.0,20226000000.0,66854000000,3870000000.0,,18367000000.0,,6449000000.0,24816000000,59850000000.0,,-17812000000.0,42038000000.0,66854000000,MSFT,2006-03-31
59265,USD,2006,Q4,2006-08-25,2007-04-26,9328000000.0,9470000000.0,34161000000.0,9316000000.0,1478000000.0,49010000000.0,3044000000.0,9232000000.0,8311000000.0,20587000000.0,69597000000,4847000000.0,,22442000000.0,,7051000000.0,29493000000,59005000000.0,,-18901000000.0,40104000000.0,69597000000,MSFT,2006-06-30
59265,USD,2007,Q1,2006-10-26,2006-10-26,9328000000.0,9470000000.0,31832000000.0,6879000000.0,2521000000.0,45358000000.0,3193000000.0,8762000000.0,8041000000.0,19996000000.0,65354000000,3807000000.0,,21972000000.0,,7281000000.0,29253000000,57657000000.0,,-21556000000.0,36101000000.0,65354000000,MSFT,2006-09-30
59265,USD,2007,Q2,2007-01-25,2007-01-25,9328000000.0,9470000000.0,28873000000.0,9895000000.0,1725000000.0,45180000000.0,3686000000.0,9631000000.0,7874000000.0,21191000000.0,66371000000,4503000000.0,,22215000000.0,,7522000000.0,29737000000,61152000000.0,,-24518000000.0,36634000000.0,66371000000,MSFT,2006-12-31
59265,USD,2007,Q3,2007-04-26,2007-04-26,9328000000.0,9470000000.0,28236000000.0,8454000000.0,1750000000.0,42783000000.0,3923000000.0,9624000000.0,7561000000.0,21108000000.0,63891000000,4721000000.0,,21627000000.0,,7291000000.0,28918000000,60827000000.0,,-25854000000.0,34973000000.0,63891000000,MSFT,2007-03-31
59265,USD,2007,Q4,2007-08-03,2008-07-31,9328000000.0,9470000000.0,23411000000.0,11338000000.0,1127000000.0,40168000000.0,4350000000.0,10117000000.0,8536000000.0,23003000000.0,63171000000,5572000000.0,,23754000000.0,,8320000000.0,32074000000,60557000000.0,,-29460000000.0,31097000000.0,63171000000,MSFT,2007-06-30
59265,USD,2008,Q1,2007-10-25,2007-10-25,9328000000.0,9470000000.0,21574000000.0,8982000000.0,1178000000.0,35853000000.0,4615000000.0,9707000000.0,15470000000.0,29792000000.0,65645000000,5002000000.0,,22744000000.0,,10766000000.0,33510000000,60699000000.0,,-28564000000.0,32135000000.0,65645000000,MSFT,2007-09-30
59265,USD,2008,Q2,2008-01-24,2008-01-24,9328000000.0,9470000000.0,21076000000.0,11621000000.0,755000000.0,37775000000.0,4965000000.0,9413000000.0,15186000000.0,29564000000.0,67339000000,5589000000.0,,22058000000.0,,10850000000.0,32908000000,62528000000.0,,-28097000000.0,34431000000.0,67339000000,MSFT,2007-12-31
59265,USD,2008,Q3,2008-04-24,2008-04-24,9328000000.0,9470000000.0,26341000000.0,9871000000.0,774000000.0,41489000000.0,5516000000.0,8659000000.0,15083000000.0,29258000000.0,70747000000,6027000000.0,,27028000000.0,,6165000000.0,33193000000,63375000000.0,,-25821000000.0,37554000000.0,70747000000,MSFT,2008-03-31
