SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
979804,USD,2015,Q4,2016-02-16,2017-03-02,42102396.0,42104000.0,32000000.0,95200000.0,148900000.0,296300000.0,437500000.0,,44900000.0,482400000.0,778700000,90400000.0,9400000.0,629900000.0,80000000.0,161500000.0,791400000,0.0,0.0,0.0,-12700000.0,778700000,NGVT,2015-12-31
979804,USD,2016,Q1,2016-05-17,2016-05-17,42102000.0,42102000.0,22700000.0,95800000.0,171500000.0,311300000.0,441200000.0,,41000000.0,482200000.0,793500000,93900000.0,8900000.0,648300000.0,80000000.0,157000000.0,805300000,,,,-11800000.0,793500000,NGVT,2016-03-31
979804,USD,2016,Q2,2016-08-04,2016-08-04,42102000.0,42126000.0,55700000.0,116700000.0,156800000.0,352700000.0,442800000.0,,112100000.0,554900000.0,907600000,126200000.0,0.0,126200000.0,566600000.0,644800000.0,771000000,128500000.0,,13900000.0,136600000.0,907600000,NGVT,2016-06-30
979804,USD,2016,Q3,2016-11-03,2016-11-03,42103000.0,42103000.0,27100000.0,108000000.0,154700000.0,313300000.0,419900000.0,,112200000.0,532100000.0,845400000,114000000.0,5000000.0,119000000.0,513500000.0,594000000.0,713000000,130700000.0,,6800000.0,132400000.0,845400000,NGVT,2016-09-30
979804,USD,2016,Q4,2017-03-02,2018-02-28,42125000.0,42753000.0,30500000.0,89800000.0,151200000.0,295200000.0,422800000.0,,114800000.0,537600000.0,832800000,129400000.0,7500000.0,136900000.0,481300000.0,561300000.0,698200000,16400000.0,-300000.0,129900000.0,134600000.0,832800000,NGVT,2016-12-31
979804,USD,2017,Q1,2017-05-04,2017-05-04,42127000.0,42400000.0,29700000.0,107000000.0,160100000.0,322600000.0,422400000.0,,116500000.0,538900000.0,861500000,116100000.0,11300000.0,127400000.0,490800000.0,575300000.0,702700000,132700000.0,-800000.0,35000000.0,158800000.0,861500000,NGVT,2017-03-31
979804,USD,2017,Q2,2017-08-03,2017-08-03,42145000.0,42400000.0,40600000.0,113100000.0,154600000.0,332300000.0,424100000.0,,117700000.0,541800000.0,874100000,118500000.0,15000000.0,133500000.0,463500000.0,544500000.0,678000000,135200000.0,-1500000.0,67100000.0,196100000.0,874100000,NGVT,2017-06-30
979804,USD,2017,Q3,2017-11-02,2017-11-02,42139000.0,42500000.0,70200000.0,109600000.0,154500000.0,356800000.0,431900000.0,,121100000.0,553000000.0,909800000,146200000.0,4700000.0,150900000.0,448700000.0,525300000.0,676200000,137700000.0,-3800000.0,100900000.0,233600000.0,909800000,NGVT,2017-09-30
979804,USD,2017,Q4,2018-02-28,2019-02-20,42109000.0,42816000.0,87900000.0,100000000.0,160000000.0,368700000.0,438500000.0,,122400000.0,560900000.0,929600000,143800000.0,9400000.0,153200000.0,444000000.0,498500000.0,651700000,140500000.0,-7700000.0,142800000.0,277900000.0,929600000,NGVT,2017-12-31
979804,USD,2018,Q1,2018-05-03,2018-05-03,42091000.0,42600000.0,55000000.0,130400000.0,192100000.0,400700000.0,483100000.0,,370500000.0,853600000.0,1254300000,136000000.0,14100000.0,150100000.0,733900000.0,791200000.0,941300000,143700000.0,-11900000.0,175200000.0,313000000.0,1254300000,NGVT,2018-03-31
