SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
149288,USD,2015,Q2,2015-08-13,2015-08-13,5494000.0,5494000.0,62243000.0,5273000.0,14633000.0,85831000.0,15047000.0,,5874000.0,20921000.0,106752000,29984000.0,2340000.0,38515000.0,2340000.0,25426000.0,63941000,11720000.0,,-209494000.0,42811000.0,106752000,NTRA,2015-06-30
149288,USD,2015,Q3,2015-11-13,2015-11-13,44944000.0,44944000.0,222581000.0,5820000.0,12724000.0,246293000.0,13992000.0,,2082000.0,16074000.0,262367000,31182000.0,,35028000.0,,21276000.0,56304000,433150000.0,,-227123000.0,206063000.0,262367000,NTRA,2015-09-30
149288,USD,2015,Q4,2016-03-24,2017-03-16,49089000.0,49089000.0,230533000.0,5862000.0,8093000.0,250726000.0,12710000.0,,1804000.0,14514000.0,265240000,34592000.0,42090000.0,80475000.0,,0.0,80475000,436264000.0,,-250083000.0,184765000.0,265240000,NTRA,2015-12-31
149288,USD,2016,Q1,2016-05-13,2016-05-13,50439000.0,50439000.0,230582000.0,6105000.0,6689000.0,248625000.0,15098000.0,,2025000.0,17123000.0,265748000,38594000.0,42205000.0,84153000.0,,0.0,84153000,439968000.0,,-258769000.0,181595000.0,265748000,NTRA,2016-03-31
149288,USD,2016,Q2,2016-08-11,2016-08-11,51445000.0,51445000.0,215204000.0,6171000.0,8893000.0,237175000.0,19096000.0,,4996000.0,24092000.0,261267000,41875000.0,49327000.0,95488000.0,,1964000.0,97452000,444796000.0,,-281924000.0,163815000.0,261267000,NTRA,2016-06-30
149288,USD,2016,Q3,2016-11-14,2016-11-14,52012000.0,52012000.0,183039000.0,9408000.0,9249000.0,212278000.0,25616000.0,,4491000.0,30107000.0,242385000,42372000.0,49473000.0,95979000.0,,6092000.0,102071000,447921000.0,,-307941000.0,140314000.0,242385000,NTRA,2016-09-30
149288,USD,2016,Q4,2017-03-16,2018-03-15,52408000.0,52408000.0,146116000.0,13396000.0,6414000.0,174115000.0,32289000.0,,4276000.0,36565000.0,210680000,42425000.0,49624000.0,96415000.0,,7789000.0,104204000,453049000.0,,-345848000.0,106476000.0,210680000,NTRA,2016-12-31
149288,USD,2017,Q1,2017-05-10,2017-05-10,52758000.0,53043000.0,115778000.0,7478000.0,8223000.0,140161000.0,31752000.0,,4111000.0,35863000.0,176024000,39866000.0,49807000.0,93015000.0,,9337000.0,102352000,456006000.0,,-381809000.0,73672000.0,176024000,NTRA,2017-03-31
149288,USD,2017,Q2,2017-08-09,2017-08-09,53088000.0,53088000.0,102126000.0,7107000.0,7359000.0,123104000.0,31268000.0,,4053000.0,35321000.0,158425000,44107000.0,50022000.0,98270000.0,,9247000.0,107517000,460912000.0,,-409541000.0,50908000.0,158425000,NTRA,2017-06-30
149288,USD,2017,Q3,2017-12-20,2017-12-20,53447000.0,53447000.0,146228000.0,7342000.0,9188000.0,169240000.0,30417000.0,,4399000.0,34816000.0,204056000,36203000.0,50097000.0,91530000.0,73202000.0,82342000.0,173872000,467240000.0,,-436660000.0,30184000.0,204056000,NTRA,2017-09-30
149288,USD,2017,Q4,2018-03-15,2018-08-09,53955000.0,54838000.0,118867000.0,44089000.0,8998000.0,180625000.0,29667000.0,,4321000.0,33988000.0,214613000,51385000.0,50112000.0,105561000.0,73065000.0,83635000.0,189196000,472558000.0,,-446375000.0,25417000.0,214613000,NTRA,2017-12-31
149288,USD,2018,Q1,2018-11-07,2018-11-07,54132000.0,54132000.0,113697000.0,50326000.0,11911000.0,187523000.0,26878000.0,,4254000.0,31132000.0,218655000,50064000.0,50125000.0,104383000.0,73138000.0,118148000.0,222531000,476276000.0,,-479248000.0,-3876000.0,218655000,NTRA,2018-03-31
149288,USD,2018,Q2,2018-08-09,2018-08-09,54551000.0,54551000.0,83207000.0,57002000.0,12324000.0,165370000.0,25313000.0,,3678000.0,28991000.0,194361000,46824000.0,50132000.0,98130000.0,73211000.0,118268000.0,216398000,491893000.0,,-513072000.0,-22037000.0,194361000,NTRA,2018-06-30
149288,USD,2018,Q3,2018-11-09,2018-11-09,60570000.0,60570000.0,165426000.0,60397000.0,12244000.0,248688000.0,24833000.0,,3788000.0,28621000.0,277309000,50538000.0,50135000.0,101829000.0,73284000.0,118909000.0,220738000,600153000.0,,-542688000.0,56571000.0,277309000,NTRA,2018-09-30
149288,USD,2018,Q4,2019-03-15,2019-08-09,62139000.0,62139000.0,153868000.0,62223000.0,13633000.0,240518000.0,24336000.0,,3317000.0,27653000.0,268171000,59697000.0,50153000.0,113981000.0,81970000.0,122028000.0,236009000,607243000.0,,-574529000.0,32162000.0,268171000,NTRA,2018-12-31
149288,USD,2019,Q1,2019-05-10,2019-05-10,62831000.0,62831000.0,128086000.0,60293000.0,13748000.0,208081000.0,23302000.0,,30062000.0,53364000.0,261445000,57574000.0,50154000.0,112656000.0,73431000.0,143803000.0,256459000,613687000.0,,-608435000.0,4986000.0,261445000,NTRA,2019-03-31
149288,USD,2019,Q2,2019-08-09,2019-08-09,68224000.0,68224000.0,237981000.0,62974000.0,15236000.0,321967000.0,22039000.0,,39320000.0,61359000.0,383326000,57625000.0,50146000.0,126925000.0,73511000.0,163313000.0,290238000,733144000.0,,-640851000.0,93088000.0,383326000,NTRA,2019-06-30
149288,USD,2019,Q3,2019-11-08,2019-11-08,70456000.0,70456000.0,238309000.0,58905000.0,12514000.0,323737000.0,19027000.0,,37486000.0,56513000.0,380250000,62176000.0,50131000.0,137974000.0,73583000.0,157582000.0,295556000,747824000.0,,-663988000.0,84694000.0,380250000,NTRA,2019-09-30
149288,USD,2019,Q4,2020-03-02,2021-02-26,76709000.0,76709000.0,440991000.0,53351000.0,12394000.0,523167000.0,23283000.0,,36206000.0,59489000.0,582656000,73735000.0,50123000.0,179874000.0,73656000.0,124071000.0,303945000,976963000.0,,-699171000.0,278711000.0,582656000,NTRA,2019-12-31
149288,USD,2020,Q1,2020-05-08,2020-05-08,78287000.0,78287000.0,405825000.0,61577000.0,14161000.0,497208000.0,26718000.0,,34713000.0,61431000.0,558639000,74715000.0,50087000.0,176642000.0,72881000.0,123070000.0,299712000,988207000.0,,-734946000.0,258927000.0,558639000,NTRA,2020-03-31
