SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
81605,USD,2010,Q2,2010-07-29,2010-07-29,103612454.0,103765828.0,872000.0,10123000.0,,18745000.0,3048323000.0,,76087000.0,3124410000.0,3143155000,1655405000.0,26900000.0,1694060000.0,,,1694060000,1630974000.0,,,1449095000.0,3143155000,O,2010-06-30
81605,USD,2010,Q3,2010-10-28,2010-10-28,103830029.0,103977023.0,155582000.0,10398000.0,,175619000.0,3030083000.0,,79832000.0,3109915000.0,3285534000,1644800000.0,0.0,1658550000.0,,,1658550000,1829223000.0,,,1626984000.0,3285534000,O,2010-09-30
81605,USD,2010,Q4,2011-02-10,2012-02-13,112429824.0,112341593.0,17607000.0,11301000.0,,32539000.0,3401247000.0,,101804000.0,3503051000.0,3535590000,1666070000.0,0.0,1688625000.0,,0.0,1688625000,2066287000.0,,,1846965000.0,3535590000,O,2010-12-31
81605,USD,2011,Q1,2011-04-28,2011-04-28,118960878.0,119109044.0,129707000.0,10506000.0,,144277000.0,3492909000.0,,133370000.0,3626279000.0,3770556000,1644160000.0,0.0,1660408000.0,,,1660408000,2351962000.0,,,2110148000.0,3770556000,O,2011-03-31
81605,USD,2011,Q2,2011-08-01,2011-08-01,125999323.0,126202047.0,155671000.0,10899000.0,,172924000.0,3626709000.0,,191420000.0,3818129000.0,3991053000,1881970000.0,0.0,1900060000.0,,0.0,1900060000,2354676000.0,,,2090993000.0,3991053000,O,2011-06-30
81605,USD,2011,Q3,2011-10-28,2011-10-28,126376201.0,126582609.0,5543000.0,12065000.0,,21766000.0,4013918000.0,,239090000.0,4253008000.0,4274774000,1874048000.0,96600000.0,1999232000.0,,0.0,1999232000,2560612000.0,,,2275542000.0,4274774000,O,2011-09-30
81605,USD,2011,Q4,2012-02-13,2013-02-14,133234382.0,132863896.0,4165000.0,15375000.0,,21693000.0,4157855000.0,,239841000.0,4397696000.0,4419389000,1897956000.0,237400000.0,2164535000.0,,0.0,2164535000,2563048000.0,,,2254854000.0,4419389000,O,2011-12-31
81605,USD,2012,Q1,2012-04-27,2012-04-27,132577100.0,132703954.0,5194000.0,17567000.0,,31341000.0,4129203000.0,,237889000.0,4367092000.0,4398433000,1864050000.0,43000000.0,1937494000.0,,0.0,1937494000,2564184000.0,,,2460939000.0,4398433000,O,2012-03-31
81605,USD,2012,Q2,2012-07-26,2012-07-26,132592939.0,132828540.0,6064000.0,17600000.0,,42629000.0,4285216000.0,,248714000.0,4533930000.0,4576559000,1889151000.0,183600000.0,2103676000.0,,0.0,2103676000,2567148000.0,,,2472883000.0,4576559000,O,2012-06-30
81605,USD,2012,Q3,2012-10-25,2012-10-25,132764877.0,132931813.0,2794000.0,17187000.0,,27091000.0,4727578000.0,,281657000.0,5009235000.0,5036326000,1945124000.0,609000000.0,2593623000.0,,0.0,2593623000,2569871000.0,,,2442703000.0,5036326000,O,2012-09-30
