SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
176064,USD,2011,Q2,2011-07-28,2011-07-28,23265000.0,23265000.0,82680000.0,6642000.0,22747000.0,130413000.0,27645000.0,,4748000.0,32393000.0,162806000,71060000.0,29941000.0,122455000.0,14034000.0,17366000.0,139821000,351918000.0,-78364000.0,-250569000.0,22985000.0,162806000,OSTK,2011-06-30
176064,USD,2011,Q3,2011-10-27,2011-10-27,23276000.0,23276000.0,79138000.0,8445000.0,20625000.0,125845000.0,27085000.0,,5045000.0,32130000.0,157975000,80236000.0,6029000.0,107445000.0,31488000.0,34522000.0,141967000,352730000.0,-78366000.0,-258356000.0,16008000.0,157975000,OSTK,2011-09-30
176064,USD,2011,Q4,2012-03-02,2013-02-21,23280000.0,23280000.0,96985000.0,13501000.0,24020000.0,149193000.0,25322000.0,,5044000.0,30366000.0,179559000,118234000.0,110000.0,163322000.0,2000.0,3000000.0,166322000,353370000.0,-78368000.0,-261765000.0,13237000.0,179559000,OSTK,2011-12-31
176064,USD,2012,Q1,2012-04-26,2012-04-26,23392000.0,23414000.0,72105000.0,11941000.0,18555000.0,113794000.0,23345000.0,,4576000.0,27921000.0,141715000,78931000.0,33000.0,122778000.0,2000.0,2632000.0,125410000,354183000.0,-78832000.0,-259046000.0,16305000.0,141715000,OSTK,2012-03-31
176064,USD,2012,Q2,2012-07-26,2012-07-26,23437000.0,23464000.0,59998000.0,10084000.0,22828000.0,110051000.0,23250000.0,,4432000.0,27682000.0,137733000,76434000.0,,117697000.0,,2431000.0,120128000,355013000.0,-78832000.0,-258576000.0,17605000.0,137733000,OSTK,2012-06-30
176064,USD,2012,Q3,2012-10-25,2012-10-25,23447000.0,23754000.0,72469000.0,14020000.0,23058000.0,125157000.0,23084000.0,,5427000.0,28511000.0,153668000,83810000.0,,129624000.0,,2765000.0,132389000,355994000.0,-78832000.0,-255883000.0,21279000.0,153668000,OSTK,2012-09-30
176064,USD,2012,Q4,2013-02-21,2014-02-27,23272000.0,24056000.0,93547000.0,19273000.0,28376000.0,155998000.0,21037000.0,0.0,4950000.0,25987000.0,181985000,110090000.0,,148501000.0,,2522000.0,151023000,356897000.0,-78839000.0,-247096000.0,30962000.0,181985000,OSTK,2012-12-31
176064,USD,2013,Q1,2013-04-25,2013-04-25,23594000.0,24016000.0,81895000.0,15851000.0,23523000.0,133638000.0,25937000.0,,5651000.0,31588000.0,165226000,93624000.0,,125155000.0,,2049000.0,127204000,357649000.0,-80228000.0,-239399000.0,38022000.0,165226000,OSTK,2013-03-31
176064,USD,2013,Q2,2013-07-25,2013-07-25,23714000.0,24283000.0,84737000.0,14582000.0,22641000.0,140525000.0,25541000.0,,5260000.0,30801000.0,171326000,96562000.0,,126421000.0,,1383000.0,127804000,359451000.0,-80228000.0,-235701000.0,43522000.0,171326000,OSTK,2013-06-30
176064,USD,2013,Q3,2013-10-24,2013-10-24,23766000.0,24446000.0,84862000.0,14672000.0,24659000.0,139035000.0,26892000.0,8560000.0,4951000.0,40403000.0,179438000,100097000.0,,129955000.0,,1147000.0,131102000,360732000.0,-80228000.0,-232168000.0,48336000.0,179438000,OSTK,2013-09-30
176064,USD,2013,Q4,2014-02-27,2015-03-12,23782000.0,24431000.0,148665000.0,16047000.0,28847000.0,219007000.0,27194000.0,9678000.0,59757000.0,96629000.0,315636000,156261000.0,,193582000.0,,3294000.0,196876000,361708000.0,-80230000.0,-162718000.0,118760000.0,315636000,OSTK,2013-12-31
176064,USD,2014,Q1,2014-04-29,2014-04-29,23926000.0,24339000.0,110647000.0,15836000.0,24438000.0,176390000.0,33417000.0,9678000.0,61093000.0,104188000.0,280578000,114073000.0,,150916000.0,,3997000.0,154913000,362802000.0,-82520000.0,-154617000.0,125665000.0,280578000,OSTK,2014-03-31
176064,USD,2014,Q2,2014-07-29,2014-07-29,24009000.0,24247000.0,101878000.0,15628000.0,22070000.0,171100000.0,35002000.0,9678000.0,60749000.0,105429000.0,276529000,107583000.0,,143811000.0,,3950000.0,147761000,364001000.0,-82525000.0,-152708000.0,128768000.0,276529000,OSTK,2014-06-30
176064,USD,2014,Q3,2014-10-28,2014-10-28,24027000.0,24283000.0,112740000.0,14941000.0,27006000.0,184143000.0,47622000.0,8926000.0,57679000.0,114227000.0,298370000,125511000.0,,166162000.0,,3888000.0,170050000,364999000.0,-82531000.0,-154148000.0,128320000.0,298370000,OSTK,2014-09-30
176064,USD,2014,Q4,2015-03-12,2016-03-08,24034000.0,24399000.0,181641000.0,18963000.0,29422000.0,258062000.0,52071000.0,10905000.0,55827000.0,118803000.0,376865000,194351000.0,0.0,242802000.0,0.0,4843000.0,247645000,366254000.0,-82531000.0,-153864000.0,129220000.0,376865000,OSTK,2014-12-31
176064,USD,2015,Q1,2015-04-29,2015-04-29,24213000.0,24390000.0,124322000.0,15651000.0,28641000.0,195066000.0,54947000.0,10905000.0,59480000.0,125332000.0,320398000,139991000.0,,183733000.0,,6888000.0,190621000,367225000.0,-84885000.0,-151125000.0,129777000.0,320398000,OSTK,2015-03-31
176064,USD,2015,Q2,2015-08-07,2015-08-07,24306000.0,24398000.0,105471000.0,15843000.0,29976000.0,184434000.0,65956000.0,10853000.0,59527000.0,136336000.0,320770000,135308000.0,500000.0,181648000.0,,6207000.0,187855000,368262000.0,-84893000.0,-149457000.0,132915000.0,320770000,OSTK,2015-06-30
176064,USD,2015,Q3,2015-11-09,2015-11-09,24681000.0,24681000.0,81268000.0,16951000.0,24484000.0,151727000.0,78807000.0,10243000.0,91029000.0,180079000.0,331806000,129813000.0,1123000.0,176089000.0,,7380000.0,183469000,369102000.0,-51747000.0,-166530000.0,148337000.0,331806000,OSTK,2015-09-30
176064,USD,2015,Q4,2016-03-08,2017-03-03,25248000.0,25343000.0,170262000.0,16128000.0,21353000.0,248368000.0,93696000.0,9722000.0,76603000.0,180021000.0,428389000,206092000.0,1640000.0,258676000.0,13378000.0,20352000.0,279028000,370050000.0,-51747000.0,-166420000.0,149361000.0,428389000,OSTK,2015-12-31
176064,USD,2016,Q1,2016-05-05,2016-05-05,25280000.0,25290000.0,128189000.0,19025000.0,20641000.0,196876000.0,106869000.0,9722000.0,78591000.0,195182000.0,392058000,148889000.0,2705000.0,194406000.0,26633000.0,35557000.0,229963000,371018000.0,-52055000.0,-152991000.0,162095000.0,392058000,OSTK,2016-03-31
176064,USD,2016,Q2,2016-08-04,2016-08-04,25341000.0,25341000.0,122566000.0,19305000.0,18736000.0,194370000.0,126344000.0,9722000.0,84386000.0,220452000.0,414822000,155244000.0,3589000.0,202903000.0,40611000.0,50126000.0,253029000,372765000.0,-52349000.0,-153895000.0,161793000.0,414822000,OSTK,2016-06-30
