SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
919132,USD,2011,Q2,2011-08-09,2011-11-09,17355000.0,17355000.0,59099000.0,13807000.0,12655000.0,90628000.0,13246000.0,9135000.0,20313000.0,42694000.0,133322000,11886000.0,,11886000.0,,3169000.0,15055000,137786000.0,,-21327000.0,118267000.0,133322000,PCTI,2011-06-30
919132,USD,2011,Q3,2011-11-09,2011-11-09,17238000.0,17640000.0,63225000.0,13724000.0,13636000.0,93717000.0,13309000.0,5388000.0,19478000.0,38175000.0,131892000,11706000.0,,11706000.0,,2967000.0,14673000,136479000.0,,-20942000.0,117219000.0,131892000,PCTI,2011-09-30
919132,USD,2011,Q4,2012-03-15,2013-04-02,16952000.0,18762000.0,61628000.0,14342000.0,13911000.0,93054000.0,13590000.0,7177000.0,19643000.0,40410000.0,133464000,12743000.0,,12743000.0,,3875000.0,16618000,137135000.0,,-20941000.0,116846000.0,133464000,PCTI,2011-12-31
919132,USD,2012,Q1,2012-05-09,2012-05-09,17264000.0,17264000.0,64407000.0,12788000.0,13246000.0,92696000.0,13696000.0,3497000.0,19147000.0,36340000.0,129036000,9869000.0,,9869000.0,,4105000.0,13974000,136967000.0,,-22368000.0,115062000.0,129036000,PCTI,2012-03-31
919132,USD,2012,Q2,2012-09-05,2012-09-05,17404000.0,17404000.0,64964000.0,14578000.0,13728000.0,95454000.0,14116000.0,1054000.0,18335000.0,33505000.0,128959000,10478000.0,,10478000.0,,3209000.0,13687000,137883000.0,,-23251000.0,115272000.0,128959000,PCTI,2012-06-30
919132,USD,2012,Q3,2012-11-09,2012-11-09,17493000.0,17779000.0,47766000.0,21210000.0,16060000.0,87486000.0,14702000.0,261000.0,32025000.0,46988000.0,134474000,14602000.0,,14602000.0,,3842000.0,18444000,139434000.0,,-23533000.0,116030000.0,134474000,PCTI,2012-09-30
919132,USD,2012,Q4,2013-04-02,2014-03-13,17447000.0,17161000.0,51139000.0,18586000.0,17573000.0,90942000.0,14775000.0,,22853000.0,37628000.0,128570000,16456000.0,,16456000.0,,3969000.0,20425000,140407000.0,,-32410000.0,108145000.0,128570000,PCTI,2012-12-31
919132,USD,2013,Q1,2013-05-15,2013-05-15,17684000.0,17911000.0,52001000.0,17843000.0,16848000.0,89396000.0,14702000.0,,21289000.0,35991000.0,125387000,13161000.0,,13161000.0,,2782000.0,15943000,140495000.0,,-31194000.0,109444000.0,125387000,PCTI,2013-03-31
919132,USD,2013,Q2,2013-08-09,2013-08-09,17790000.0,18075000.0,51481000.0,18337000.0,16108000.0,88574000.0,14671000.0,,20672000.0,35343000.0,123917000,11503000.0,,11503000.0,,2781000.0,14284000,141140000.0,,-31675000.0,109633000.0,123917000,PCTI,2013-06-30
919132,USD,2013,Q3,2013-11-12,2013-11-12,17841000.0,18354000.0,54936000.0,17275000.0,15238000.0,90237000.0,14619000.0,,19597000.0,34216000.0,124453000,10419000.0,,10419000.0,,2905000.0,13324000,142515000.0,,-31570000.0,111129000.0,124453000,PCTI,2013-09-30
919132,USD,2013,Q4,2014-03-13,2015-03-13,17873000.0,18396000.0,57895000.0,18603000.0,14535000.0,95828000.0,14971000.0,,16633000.0,31604000.0,127432000,12243000.0,,12243000.0,,3137000.0,15380000,143591000.0,,-31748000.0,112052000.0,127432000,PCTI,2013-12-31
919132,USD,2014,Q1,2014-05-08,2014-05-08,18176000.0,18176000.0,56169000.0,17541000.0,15961000.0,92964000.0,14892000.0,,16146000.0,31038000.0,124002000,11492000.0,,11492000.0,,1226000.0,12718000,143761000.0,,-32635000.0,111284000.0,124002000,PCTI,2014-03-31
919132,USD,2014,Q2,2014-08-11,2014-08-11,18165000.0,18291000.0,53894000.0,20253000.0,16862000.0,93980000.0,14961000.0,,15456000.0,30417000.0,124397000,12461000.0,,12461000.0,,1345000.0,13806000,143262000.0,,-32835000.0,110591000.0,124397000,PCTI,2014-06-30
919132,USD,2014,Q3,2014-11-07,2014-11-07,18112000.0,18271000.0,58891000.0,20236000.0,16367000.0,99241000.0,14898000.0,,13987000.0,28885000.0,128126000,13931000.0,,13931000.0,,551000.0,14482000,144823000.0,,-31355000.0,113644000.0,128126000,PCTI,2014-09-30
919132,USD,2014,Q4,2015-03-13,2016-03-15,18183000.0,18818000.0,60009000.0,23874000.0,16358000.0,104279000.0,14842000.0,,12548000.0,27390000.0,131669000,15706000.0,,15706000.0,,448000.0,16154000,145481000.0,,-30101000.0,115515000.0,131669000,PCTI,2014-12-31
