SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
1145424,USD,2016,Q4,2017-02-11,2018-03-27,51684000.0,51684000.0,133596000.0,115179000.0,4713000.0,264780000.0,263862000.0,,12780000.0,276642000.0,541422000,142821000.0,16920000.0,159741000.0,159407000.0,160672000.0,320413000,265408000.0,,-206910000.0,221009000.0,541422000,PUMP,2016-12-31
1145424,USD,2017,Q1,2017-05-12,2017-05-12,55996000.0,55996000.0,85625000.0,109866000.0,5154000.0,209001000.0,298382000.0,,13819000.0,312201000.0,521202000,127936000.0,6087000.0,134023000.0,11687000.0,13011000.0,147034000,605429000.0,,-231261000.0,374168000.0,521202000,PUMP,2017-03-31
1145424,USD,2017,Q2,2017-08-11,2017-08-11,83040000.0,86279000.0,25108000.0,147820000.0,4819000.0,188369000.0,360308000.0,,13239000.0,373547000.0,561916000,164291000.0,6337000.0,170628000.0,10210000.0,11591000.0,182219000,606038000.0,,-226341000.0,379697000.0,561916000,PUMP,2017-06-30
1145424,USD,2017,Q3,2017-11-02,2017-11-02,83040000.0,86264000.0,51008000.0,160047000.0,9148000.0,226721000.0,399268000.0,,12602000.0,411870000.0,638591000,192820000.0,7441000.0,200261000.0,34476000.0,35915000.0,236176000,606790000.0,,-204375000.0,402415000.0,638591000,PUMP,2017-09-30
1145424,USD,2017,Q4,2018-03-27,2019-03-01,83408000.0,89793000.0,23949000.0,199656000.0,6184000.0,235660000.0,470910000.0,,12462000.0,483372000.0,719032000,227832000.0,15764000.0,243596000.0,57178000.0,62184000.0,305780000,607549000.0,,-194297000.0,413252000.0,719032000,PUMP,2017-12-31
1145424,USD,2018,Q1,2018-05-09,2018-05-09,83081000.0,86848000.0,46413000.0,253117000.0,7512000.0,313835000.0,524154000.0,,12358000.0,536512000.0,850347000,267234000.0,15032000.0,282266000.0,102301000.0,117363000.0,399629000,608307000.0,,-157589000.0,450718000.0,850347000,PUMP,2018-03-31
1145424,USD,2018,Q2,2018-08-09,2018-08-09,83447000.0,86878000.0,27103000.0,316498000.0,7744000.0,355927000.0,551253000.0,,11835000.0,563088000.0,919015000,295397000.0,10716000.0,306113000.0,95000000.0,121599000.0,427712000,609801000.0,,-118498000.0,491303000.0,919015000,PUMP,2018-06-30
1145424,USD,2018,Q3,2018-11-08,2018-11-08,83544000.0,86878000.0,78164000.0,252390000.0,6681000.0,341325000.0,586218000.0,,12175000.0,598393000.0,939718000,271328000.0,9088000.0,280416000.0,80000000.0,120083000.0,400499000,611432000.0,,-72213000.0,539219000.0,939718000,PUMP,2018-09-30
1145424,USD,2018,Q4,2019-03-01,2020-06-22,83768000.0,87580000.0,132700000.0,202956000.0,6353000.0,349257000.0,912846000.0,,12419000.0,925265000.0,1274522000,352760000.0,,352760000.0,70000000.0,124407000.0,477167000,817790000.0,,-20435000.0,797355000.0,1274522000,PUMP,2018-12-31
1145424,USD,2019,Q1,2019-05-08,2019-05-08,100232000.0,104123000.0,79518000.0,357472000.0,5870000.0,449655000.0,945089000.0,,14261000.0,959350000.0,1409005000,299199000.0,3042000.0,302657000.0,160000000.0,236807000.0,539464000,820171000.0,,49370000.0,869541000.0,1409005000,PUMP,2019-03-31
1145424,USD,2019,Q2,2019-12-21,2020-06-22,100425000.0,104379000.0,36279000.0,371478000.0,4948000.0,417967000.0,1038557000.0,,14033000.0,1052590000.0,1470557000,321564000.0,2980000.0,324969000.0,150000000.0,236551000.0,561520000,823534000.0,,85503000.0,909037000.0,1470557000,PUMP,2019-06-30
1145424,USD,2019,Q3,2020-03-22,2020-06-22,100606000.0,103652000.0,109191000.0,275749000.0,1850000.0,392728000.0,1050039000.0,,13276000.0,1063315000.0,1456043000,280949000.0,2917000.0,284160000.0,130000000.0,227783000.0,511943000,824200000.0,,119900000.0,944100000.0,1456043000,PUMP,2019-09-30
1145424,USD,2019,Q4,2020-06-22,2021-03-05,100625000.0,102846000.0,149036000.0,212183000.0,2436000.0,375591000.0,1047535000.0,,12985000.0,1060520000.0,1436111000,229833000.0,2831000.0,232966000.0,130000000.0,233840000.0,466806000,826730000.0,,142575000.0,969305000.0,1436111000,PUMP,2019-12-31
1145424,USD,2020,Q1,2020-07-02,2020-07-02,100687000.0,100687000.0,143717000.0,222378000.0,3296000.0,377962000.0,1018660000.0,,3268000.0,1021928000.0,1399890000,225616000.0,,225925000.0,110000000.0,212449000.0,438374000,826745000.0,,134771000.0,961516000.0,1399890000,PUMP,2020-03-31
