SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
727073,USD,2011,Q2,2011-08-11,2011-08-11,10818170.0,10818170.0,1114000.0,2006000.0,4578000.0,8228000.0,3613000.0,,1058000.0,4671000.0,12899000,3438000.0,106000.0,5931000.0,2385000.0,2385000.0,8316000,22646000.0,,-19348000.0,4583000.0,12899000,REED,2011-06-30
727073,USD,2011,Q3,2011-11-14,2011-11-14,10835858.0,10835858.0,554000.0,2164000.0,6121000.0,9308000.0,3606000.0,,1084000.0,4690000.0,13998000,4162000.0,121000.0,7072000.0,2422000.0,2422000.0,9494000,22767000.0,,-19533000.0,4504000.0,13998000,REED,2011-09-30
727073,USD,2011,Q4,2012-03-26,2013-03-25,10869606.0,10869606.0,713000.0,1626000.0,6099000.0,8729000.0,3512000.0,,1114000.0,4626000.0,13355000,2852000.0,127000.0,6074000.0,2400000.0,2976000.0,9050000,22925000.0,,-19890000.0,4305000.0,13355000,REED,2011-12-31
727073,USD,2012,Q1,2012-05-14,2012-05-14,10921076.0,10921076.0,101000.0,2090000.0,6212000.0,8791000.0,3470000.0,,1096000.0,4566000.0,13357000,3068000.0,134000.0,6223000.0,2377000.0,2912000.0,9135000,23056000.0,,-20023000.0,4222000.0,13357000,REED,2012-03-31
727073,USD,2012,Q2,2012-08-13,2012-09-04,11501152.0,12288503.0,1391000.0,2543000.0,5046000.0,9369000.0,3418000.0,,1081000.0,4499000.0,13868000,3203000.0,141000.0,6295000.0,2352000.0,2842000.0,9137000,23479000.0,,-19602000.0,4731000.0,13868000,REED,2012-06-30
727073,USD,2012,Q3,2012-11-14,2012-11-14,11501152.0,12288503.0,1429000.0,2899000.0,5963000.0,10764000.0,3385000.0,,1061000.0,4446000.0,15210000,3820000.0,149000.0,7543000.0,2323000.0,2768000.0,10311000,23742000.0,,-19587000.0,4899000.0,15210000,REED,2012-09-30
727073,USD,2012,Q4,2013-03-25,2014-03-25,11520832.0,11520832.0,1163000.0,1961000.0,5794000.0,9331000.0,3422000.0,,1083000.0,4505000.0,13836000,3851000.0,159000.0,7033000.0,2306000.0,2705000.0,9738000,23997000.0,,-20459000.0,4098000.0,13836000,REED,2012-12-31
727073,USD,2013,Q1,2013-05-14,2013-05-14,12320516.0,12320516.0,726000.0,2228000.0,6301000.0,9696000.0,3400000.0,,1071000.0,4471000.0,14167000,3788000.0,167000.0,7620000.0,2274000.0,2624000.0,10244000,24681000.0,,-20862000.0,3923000.0,14167000,REED,2013-03-31
727073,USD,2013,Q2,2013-08-14,2013-08-14,12543983.0,12543983.0,816000.0,3235000.0,6385000.0,11061000.0,3472000.0,,1060000.0,4532000.0,15593000,5044000.0,180000.0,9296000.0,2248000.0,2804000.0,12100000,24750000.0,,-21361000.0,3493000.0,15593000,REED,2013-06-30
727073,USD,2013,Q3,2013-11-14,2013-11-14,12627864.0,13496714.0,1046000.0,3185000.0,6705000.0,11783000.0,3571000.0,,1066000.0,4637000.0,16420000,5508000.0,180000.0,10001000.0,2218000.0,2743000.0,12744000,24909000.0,,-21327000.0,3676000.0,16420000,REED,2013-09-30
