SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
241093,USD,2011,Q3,2011-09-16,2011-09-16,6486577.0,7463169.0,1169352.0,2868390.0,6295128.0,16454669.0,2429038.0,1695871.0,5692398.0,9817307.0,26271976,4123307.0,38090.0,4161397.0,,2705988.0,6867385,11052250.0,,8134752.0,19404591.0,26271976,RFIL,2011-07-31
241093,USD,2011,Q4,2012-01-27,2013-01-22,7135548.0,7854143.0,1760816.0,2605965.0,6189601.0,16413206.0,2442738.0,,5522002.0,7964740.0,24377946,2100619.0,1394230.0,3494849.0,,1205069.0,4699918,11453710.0,,8010701.0,19678028.0,24377946,RFIL,2011-10-31
241093,USD,2012,Q1,2012-03-15,2012-03-15,7002929.0,7720534.0,1596973.0,2888453.0,6281622.0,15772200.0,1079945.0,,5377531.0,6457476.0,22229676,2466240.0,,2466240.0,,1197213.0,3663453,11541479.0,,7024744.0,18566223.0,22229676,RFIL,2012-01-31
241093,USD,2012,Q2,2012-06-14,2012-06-14,6872439.0,7623805.0,3812724.0,3107941.0,6448990.0,15491172.0,1247416.0,,5322479.0,6569895.0,22061067,2291574.0,,2291574.0,,1187669.0,3479243,11630168.0,,6951656.0,18581824.0,22061067,RFIL,2012-04-30
241093,USD,2012,Q3,2012-09-14,2012-09-14,6867073.0,7625085.0,5630000.0,3140107.0,6756169.0,16731427.0,1205535.0,,5267427.0,6472962.0,23204389,3011508.0,,3011508.0,,1098064.0,4109572,11751049.0,,7343768.0,19094817.0,23204389,RFIL,2012-07-31
241093,USD,2012,Q4,2013-01-22,2014-01-17,6893119.0,7753548.0,5492000.0,5167000.0,6984000.0,19044000.0,1204000.0,,5215000.0,6419000.0,25463000,4141000.0,,4141000.0,,1092000.0,5233000,12077000.0,,8153000.0,20230000.0,25463000,RFIL,2012-10-31
241093,USD,2013,Q1,2013-03-12,2013-03-12,7074095.0,8004166.0,6948965.0,5778979.0,6737372.0,21176246.0,1142527.0,,5159823.0,6302350.0,27478596,3749640.0,50957.0,3800597.0,,1082254.0,4882851,13660473.0,,8935272.0,22595745.0,27478596,RFIL,2013-01-31
241093,USD,2013,Q2,2013-06-12,2013-06-12,7610309.0,8461544.0,8486000.0,4990000.0,7311000.0,22194000.0,1057000.0,,5102000.0,6159000.0,28353000,2915000.0,,2966000.0,,1082000.0,4048000,14736000.0,,9569000.0,24305000.0,28353000,RFIL,2013-04-30
241093,USD,2013,Q3,2013-09-12,2013-09-12,7798608.0,8559635.0,10782000.0,3542000.0,7310000.0,22900000.0,1033000.0,,5045000.0,6078000.0,28978000,2965000.0,,3016000.0,,1077000.0,4093000,14945000.0,,9940000.0,24885000.0,28978000,RFIL,2013-07-31
241093,USD,2013,Q4,2014-01-17,2015-01-29,7917104.0,8797179.0,11881000.0,3160000.0,5924000.0,23047000.0,1053000.0,,4990000.0,6043000.0,29090000,2553000.0,,2604000.0,,950000.0,3554000,16130000.0,,9406000.0,25536000.0,29090000,RFIL,2013-10-31
