SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
328011,USD,2010,Q4,2010-07-27,2011-07-26,46340000.0,46340000.0,140905000.0,73936000.0,,231221000.0,29354000.0,,212625000.0,241979000.0,473200000,52555000.0,,57749000.0,,62210000.0,119959000,306956000.0,-181165000.0,232034000.0,353241000.0,473200000,RGP,2010-05-31
328011,USD,2011,Q1,2010-10-07,2010-10-07,46263000.0,46411000.0,144530000.0,73235000.0,,231199000.0,28077000.0,,212495000.0,240572000.0,471771000,48532000.0,,54451000.0,,63406000.0,117857000,312101000.0,-187244000.0,231415000.0,353914000.0,471771000,RGP,2010-08-31
328011,USD,2011,Q2,2011-01-06,2011-01-06,46048000.0,46283000.0,146674000.0,80262000.0,,242698000.0,27207000.0,,202256000.0,229463000.0,472161000,52192000.0,,58738000.0,,39616000.0,98354000,315577000.0,-188513000.0,247047000.0,373807000.0,472161000,RGP,2010-11-30
328011,USD,2011,Q3,2011-04-07,2011-04-07,46226000.0,46938000.0,150894000.0,85195000.0,,255655000.0,26858000.0,,203407000.0,230265000.0,485920000,58608000.0,,65986000.0,,39611000.0,105597000,322818000.0,-189861000.0,245467000.0,380323000.0,485920000,RGP,2011-02-28
328011,USD,2011,Q4,2011-07-26,2012-07-24,45959000.0,46324000.0,144873000.0,87162000.0,,249874000.0,26389000.0,,200134000.0,226523000.0,476397000,60507000.0,,67199000.0,,36472000.0,103671000,325042000.0,-204741000.0,248983000.0,372726000.0,476397000,RGP,2011-05-31
328011,USD,2012,Q1,2011-10-06,2011-10-06,45173000.0,45224000.0,129817000.0,85628000.0,,231113000.0,25848000.0,,199929000.0,225777000.0,456890000,51829000.0,,58855000.0,,36593000.0,95448000,329059000.0,-221367000.0,249372000.0,361442000.0,456890000,RGP,2011-08-31
328011,USD,2012,Q2,2012-01-05,2012-01-05,43760000.0,43797000.0,120663000.0,87924000.0,,227668000.0,24800000.0,,182377000.0,207177000.0,434845000,54056000.0,,60882000.0,,3050000.0,63932000,330541000.0,-232274000.0,272535000.0,370913000.0,434845000,RGP,2011-11-30
328011,USD,2012,Q3,2012-04-05,2012-04-05,42943000.0,43002000.0,121402000.0,90606000.0,,228868000.0,24102000.0,,182532000.0,206634000.0,435502000,58242000.0,,66029000.0,,2708000.0,68737000,334334000.0,-242255000.0,273853000.0,366765000.0,435502000,RGP,2012-02-29
328011,USD,2012,Q4,2012-07-24,2013-07-22,42288000.0,42373000.0,128115000.0,84192000.0,,228235000.0,22651000.0,,179833000.0,202484000.0,430719000,55213000.0,,61651000.0,,3200000.0,64851000,336346000.0,-249238000.0,280650000.0,365868000.0,430719000,RGP,2012-05-31
328011,USD,2013,Q1,2012-10-04,2012-10-04,41720000.0,41774000.0,122869000.0,86208000.0,,222227000.0,22079000.0,,181491000.0,203570000.0,425797000,49128000.0,,56596000.0,,5250000.0,61846000,340242000.0,-258164000.0,282990000.0,363951000.0,425797000,RGP,2012-08-31
328011,USD,2013,Q2,2013-01-03,2013-01-03,41292000.0,41359000.0,113928000.0,93538000.0,,221598000.0,21756000.0,,181746000.0,203502000.0,425100000,51935000.0,,57868000.0,,4206000.0,62074000,342586000.0,-265128000.0,286394000.0,363026000.0,425100000,RGP,2012-11-30
328011,USD,2013,Q3,2013-04-03,2013-04-03,40939000.0,40978000.0,118876000.0,90164000.0,,223997000.0,21652000.0,,181983000.0,203635000.0,427632000,55648000.0,,61458000.0,,4062000.0,65520000,346739000.0,-270361000.0,287624000.0,362112000.0,427632000,RGP,2013-02-28
328011,USD,2013,Q4,2013-07-22,2014-07-28,40481000.0,40493000.0,119012000.0,84194000.0,,217177000.0,21087000.0,,179376000.0,200463000.0,417640000,55002000.0,,61333000.0,,3980000.0,65313000,348351000.0,-282615000.0,290549000.0,352327000.0,417640000,RGP,2013-05-31
328011,USD,2014,Q1,2013-10-03,2013-10-03,39826000.0,39844000.0,121387000.0,81354000.0,,215645000.0,21558000.0,,180444000.0,202002000.0,417647000,50649000.0,,57233000.0,,3966000.0,61199000,354913000.0,-286777000.0,291414000.0,356448000.0,417647000,RGP,2013-08-31
328011,USD,2014,Q2,2014-01-02,2014-01-02,39481000.0,39555000.0,110452000.0,93120000.0,,216142000.0,23673000.0,,180232000.0,203905000.0,420047000,54390000.0,,62390000.0,,5119000.0,67509000,356341000.0,-296862000.0,295776000.0,352538000.0,420047000,RGP,2013-11-30
328011,USD,2014,Q3,2014-04-03,2014-04-03,39027000.0,39158000.0,107323000.0,88969000.0,,211054000.0,23258000.0,,180285000.0,203543000.0,414597000,54675000.0,,61352000.0,,4956000.0,66308000,359745000.0,-303552000.0,294648000.0,348289000.0,414597000,RGP,2014-02-28
328011,USD,2014,Q4,2014-07-28,2015-07-27,38530000.0,38671000.0,114277000.0,90334000.0,,217462000.0,23158000.0,,179458000.0,202616000.0,420078000,59598000.0,,67175000.0,,7142000.0,74317000,361012000.0,-311508000.0,298830000.0,345761000.0,420078000,RGP,2014-05-31
328011,USD,2015,Q1,2014-10-09,2014-10-09,38180000.0,38335000.0,100115000.0,91715000.0,,204417000.0,22626000.0,,178105000.0,200731000.0,405148000,42864000.0,,52319000.0,,6670000.0,58989000,365971000.0,-317192000.0,301179000.0,346159000.0,405148000,RGP,2014-08-31
328011,USD,2015,Q2,2015-01-08,2015-01-08,37910000.0,38278000.0,103257000.0,97403000.0,,213894000.0,22258000.0,,176343000.0,198601000.0,412495000,55991000.0,,62798000.0,,6472000.0,69270000,368420000.0,-324799000.0,306184000.0,343225000.0,412495000,RGP,2014-11-30
