SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
447285,USD,2011,Q2,2011-08-03,2011-08-03,8000000.0,8000000.0,154000000.0,149000000.0,,922000000.0,174000000.0,,6884000000.0,7058000000.0,7980000000,718000000.0,294000000.0,1420000000.0,6839000000.0,7876000000.0,9296000000,2030000000.0,,-3329000000.0,-1316000000.0,7980000000,RLGY,2011-06-30
447285,USD,2011,Q3,2011-11-01,2011-11-01,8000000.0,8000000.0,102000000.0,142000000.0,,867000000.0,169000000.0,,6861000000.0,7030000000.0,7897000000,776000000.0,200000000.0,1386000000.0,6827000000.0,7855000000.0,9241000000,2031000000.0,,-3357000000.0,-1344000000.0,7897000000,RLGY,2011-09-30
447285,USD,2011,Q4,2012-04-10,2013-02-25,8000000.0,8000000.0,143000000.0,120000000.0,,806000000.0,165000000.0,,6379000000.0,6544000000.0,7350000000,704000000.0,325000000.0,1436000000.0,6825000000.0,7413000000.0,8849000000,2033000000.0,,-3502000000.0,-1499000000.0,7350000000,RLGY,2011-12-31
447285,USD,2012,Q1,2012-07-10,2012-10-09,8000000.0,8000000.0,148000000.0,122000000.0,,825000000.0,155000000.0,,6357000000.0,6512000000.0,7337000000,821000000.0,111000000.0,1310000000.0,7121000000.0,7716000000.0,9026000000,2034000000.0,,-3694000000.0,-1689000000.0,7337000000,RLGY,2012-03-31
447285,USD,2012,Q2,2012-10-09,2012-10-09,8017080.0,8017080.0,138000000.0,147000000.0,,870000000.0,151000000.0,,6341000000.0,6492000000.0,7362000000,797000000.0,214000000.0,1354000000.0,7121000000.0,7720000000.0,9074000000,2035000000.0,,-3719000000.0,-1712000000.0,7362000000,RLGY,2012-06-30
447285,USD,2012,Q3,2012-11-01,2012-11-01,8018311.0,8018311.0,141000000.0,145000000.0,,868000000.0,161000000.0,,6322000000.0,6483000000.0,7351000000,848000000.0,120000000.0,1352000000.0,7121000000.0,7741000000.0,9093000000,2035000000.0,,-3753000000.0,-1742000000.0,7351000000,RLGY,2012-09-30
447285,USD,2012,Q4,2013-02-25,2014-02-27,126764609.0,126764609.0,376000000.0,122000000.0,,978000000.0,188000000.0,,6279000000.0,6467000000.0,7445000000,575000000.0,110000000.0,1015000000.0,4256000000.0,4911000000.0,5926000000,5592000000.0,,-4045000000.0,1519000000.0,7445000000,RLGY,2012-12-31
447285,USD,2013,Q1,2013-05-01,2013-05-01,145100000.0,145100000.0,366000000.0,118000000.0,,962000000.0,190000000.0,,6263000000.0,6453000000.0,7415000000,528000000.0,154000000.0,991000000.0,4317000000.0,4981000000.0,5972000000,5595000000.0,,-4120000000.0,1443000000.0,7415000000,RLGY,2013-03-31
447285,USD,2013,Q2,2013-08-05,2013-08-05,145400000.0,146600000.0,187000000.0,134000000.0,,879000000.0,187000000.0,,6233000000.0,6420000000.0,7299000000,609000000.0,161000000.0,1097000000.0,3995000000.0,4656000000.0,5753000000,5614000000.0,,-4036000000.0,1546000000.0,7299000000,RLGY,2013-06-30
447285,USD,2013,Q3,2013-11-04,2013-11-04,145600000.0,146800000.0,173000000.0,137000000.0,,787000000.0,191000000.0,,6204000000.0,6395000000.0,7182000000,563000000.0,64000000.0,942000000.0,3891000000.0,4567000000.0,5509000000,5628000000.0,,-3927000000.0,1673000000.0,7182000000,RLGY,2013-09-30
