SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
243720,USD,2011,Q4,2012-02-24,2013-02-27,69655000.0,66316000.0,51273000.0,43883000.0,,124758000.0,27974000.0,,247333000.0,275307000.0,400065000,38034000.0,,114376000.0,50312000.0,62808000.0,177184000,317037000.0,-3138000.0,-90961000.0,222881000.0,400065000,RP,2011-12-31
243720,USD,2012,Q1,2012-05-07,2012-05-07,70590000.0,73170000.0,49575000.0,42648000.0,,125074000.0,28224000.0,,248855000.0,277079000.0,402153000,37072000.0,,114625000.0,45000000.0,58228000.0,172853000,322786000.0,-4184000.0,-89241000.0,229300000.0,402153000,RP,2012-03-31
243720,USD,2012,Q2,2012-08-07,2012-08-07,71102000.0,71102000.0,45837000.0,43750000.0,,125063000.0,31453000.0,,245277000.0,276730000.0,401793000,40558000.0,,121680000.0,35000000.0,48206000.0,169886000,328344000.0,-4762000.0,-91613000.0,231907000.0,401793000,RP,2012-06-30
243720,USD,2012,Q3,2012-11-09,2012-11-09,72178000.0,74282000.0,36220000.0,45351000.0,,111391000.0,36163000.0,,247259000.0,283422000.0,394813000,30963000.0,,109652000.0,25000000.0,38090000.0,147742000,342154000.0,-5526000.0,-89500000.0,247071000.0,394813000,RP,2012-09-30
243720,USD,2012,Q4,2013-02-27,2014-03-03,73482000.0,77454000.0,33804000.0,51937000.0,,127484000.0,32487000.0,,242226000.0,274713000.0,402197000,29051000.0,,124857000.0,10000000.0,22269000.0,147126000,347280000.0,-6323000.0,-85778000.0,255071000.0,402197000,RP,2012-12-31
243720,USD,2013,Q1,2013-05-07,2013-05-07,74011000.0,75454000.0,22761000.0,54652000.0,,116179000.0,40845000.0,,249399000.0,290244000.0,406423000,35471000.0,,123566000.0,,16048000.0,139614000,358955000.0,-7256000.0,-84760000.0,266809000.0,406423000,RP,2013-03-31
243720,USD,2013,Q2,2013-08-06,2013-08-06,74541000.0,75781000.0,34319000.0,58929000.0,,129999000.0,42603000.0,,249210000.0,291813000.0,421812000,35087000.0,,125915000.0,,18106000.0,144021000,366485000.0,-8388000.0,-80150000.0,277791000.0,421812000,RP,2013-06-30
243720,USD,2013,Q3,2013-11-12,2013-11-12,75234000.0,76347000.0,43980000.0,58430000.0,,163903000.0,48191000.0,,244659000.0,292850000.0,456753000,33627000.0,,139388000.0,0.0,15733000.0,155121000,378526000.0,-9486000.0,-67264000.0,301632000.0,456753000,RP,2013-09-30
243720,USD,2013,Q4,2014-03-03,2015-03-02,76062000.0,77166000.0,34502000.0,66635000.0,,183815000.0,54775000.0,,264623000.0,319398000.0,503213000,35100000.0,,173095000.0,0.0,15614000.0,188709000,390935000.0,-11183000.0,-65086000.0,314504000.0,503213000,RP,2013-12-31
243720,USD,2014,Q1,2014-05-12,2014-05-12,76722000.0,76722000.0,42096000.0,62588000.0,,167492000.0,58422000.0,,272993000.0,331415000.0,498907000,42859000.0,,155717000.0,,21029000.0,176746000,401435000.0,-13176000.0,-65922000.0,322161000.0,498907000,RP,2014-03-31
