SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
985520,USD,2011,Q2,2011-08-08,2011-08-08,20716000.0,20716000.0,115131000.0,40008000.0,9726000.0,190974000.0,22142000.0,,55155000.0,77297000.0,268271000,21478000.0,,97233000.0,,2983000.0,100216000,142108000.0,,,168055000.0,268271000,RST,2011-06-30
985520,USD,2011,Q3,2011-11-08,2011-11-08,20780000.0,20780000.0,111278000.0,35202000.0,8538000.0,185653000.0,21880000.0,,55162000.0,77042000.0,262695000,17439000.0,,90186000.0,,3318000.0,93504000,144610000.0,,,169191000.0,262695000,RST,2011-09-30
985520,USD,2011,Q4,2012-03-14,2013-03-07,20921000.0,20921000.0,116227000.0,51997000.0,6723000.0,200765000.0,20869000.0,,55547000.0,76416000.0,277181000,18994000.0,,103280000.0,,2696000.0,105976000,151825000.0,,,171205000.0,277181000,RST,2011-12-31
985520,USD,2012,Q1,2012-05-09,2012-05-09,20942000.0,20942000.0,118477000.0,34315000.0,7440000.0,186676000.0,19713000.0,,57827000.0,77540000.0,264216000,16360000.0,,88773000.0,,4328000.0,93101000,153336000.0,,,171115000.0,264216000,RST,2012-03-31
985520,USD,2012,Q2,2012-08-09,2012-08-09,20995000.0,20995000.0,120374000.0,35088000.0,6238000.0,190491000.0,17936000.0,,56447000.0,74383000.0,264874000,17901000.0,,90884000.0,,5757000.0,96641000,155307000.0,,,168233000.0,264874000,RST,2012-06-30
985520,USD,2012,Q3,2012-11-08,2012-11-08,21073000.0,21073000.0,126046000.0,39685000.0,6765000.0,188623000.0,16983000.0,,47709000.0,64692000.0,253315000,20170000.0,,102364000.0,,12317000.0,114681000,158863000.0,,,138634000.0,253315000,RST,2012-09-30
985520,USD,2012,Q4,2013-03-07,2014-03-03,21170000.0,21170000.0,148190000.0,49946000.0,6581000.0,214575000.0,17213000.0,,47658000.0,64871000.0,279446000,22894000.0,,118476000.0,,12776000.0,131252000,160695000.0,0.0,,148194000.0,279446000,RST,2012-12-31
985520,USD,2013,Q1,2013-05-08,2013-05-08,21360000.0,21360000.0,139311000.0,38783000.0,7267000.0,193869000.0,17099000.0,,47322000.0,64421000.0,258290000,16095000.0,,103308000.0,,13542000.0,116850000,162713000.0,,,141440000.0,258290000,RST,2013-03-31
985520,USD,2013,Q2,2013-08-07,2013-08-07,21569000.0,21569000.0,132070000.0,41735000.0,5939000.0,187986000.0,17134000.0,,57215000.0,74349000.0,262335000,24742000.0,,107057000.0,,15004000.0,122061000,164984000.0,,,140274000.0,262335000,RST,2013-06-30
985520,USD,2013,Q3,2013-11-07,2013-11-07,21827000.0,21827000.0,113104000.0,46339000.0,7038000.0,177681000.0,18029000.0,,83216000.0,101245000.0,278926000,20682000.0,,113332000.0,,22341000.0,135673000,168028000.0,,,143253000.0,278926000,RST,2013-09-30
985520,USD,2013,Q4,2014-03-03,2015-03-16,21356000.0,21356000.0,98825000.0,60342000.0,6639000.0,190721000.0,17766000.0,,82289000.0,100055000.0,290776000,26706000.0,,136071000.0,217000.0,23462000.0,159533000,171125000.0,-11435000.0,,131243000.0,290776000,RST,2013-12-31
985520,USD,2014,Q1,2014-05-08,2014-05-08,21125000.0,21125000.0,55974000.0,44932000.0,8416000.0,123576000.0,23350000.0,,121487000.0,144837000.0,268413000,23201000.0,,126226000.0,4092000.0,29690000.0,155916000,172984000.0,-11435000.0,,112497000.0,268413000,RST,2014-03-31
985520,USD,2014,Q2,2014-08-08,2014-08-08,21252000.0,21252000.0,46839000.0,49643000.0,7552000.0,119758000.0,24651000.0,,121506000.0,146157000.0,265915000,26472000.0,,132888000.0,3769000.0,33876000.0,166764000,175126000.0,-11435000.0,,99151000.0,265915000,RST,2014-06-30
985520,USD,2014,Q3,2014-11-05,2014-11-05,21305000.0,21305000.0,49361000.0,61222000.0,6490000.0,133981000.0,25116000.0,,118369000.0,143485000.0,277466000,30426000.0,,151782000.0,3400000.0,41591000.0,193373000,177240000.0,-11435000.0,,84093000.0,277466000,RST,2014-09-30
985520,USD,2014,Q4,2015-04-30,2016-03-14,21330000.0,21330000.0,64657000.0,76757000.0,6500000.0,164083000.0,25277000.0,,98813000.0,124090000.0,288173000,34018000.0,,183110000.0,3154000.0,41618000.0,224728000,178556000.0,-11435000.0,,63445000.0,288173000,RST,2014-12-31
985520,USD,2015,Q1,2015-05-06,2015-05-06,21018000.0,21018000.0,45924000.0,50909000.0,8408000.0,123178000.0,25019000.0,,94710000.0,119729000.0,242907000,28052000.0,,161916000.0,2722000.0,37253000.0,199169000,179880000.0,-11435000.0,,43738000.0,242907000,RST,2015-03-31
985520,USD,2015,Q2,2015-08-06,2015-08-06,21689000.0,21689000.0,29803000.0,43530000.0,7636000.0,100067000.0,25231000.0,,94959000.0,120190000.0,220257000,18910000.0,,141658000.0,2696000.0,40174000.0,181832000,181988000.0,-11435000.0,,38425000.0,220257000,RST,2015-06-30
985520,USD,2015,Q3,2015-11-04,2015-11-04,21771000.0,21771000.0,34367000.0,47541000.0,7720000.0,110930000.0,22915000.0,,93998000.0,116913000.0,227843000,19264000.0,,153227000.0,2628000.0,42256000.0,195483000,184038000.0,-11435000.0,,32360000.0,227843000,RST,2015-09-30
985520,USD,2015,Q4,2016-03-14,2017-03-14,21806000.0,21806000.0,47782000.0,47327000.0,7333000.0,119660000.0,22532000.0,,86351000.0,108883000.0,228543000,19100000.0,,161807000.0,2622000.0,44326000.0,206133000,185865000.0,-11435000.0,,22410000.0,228543000,RST,2015-12-31
985520,USD,2016,Q1,2016-05-04,2016-05-04,21867000.0,21867000.0,42995000.0,29803000.0,7229000.0,97438000.0,23269000.0,,85164000.0,108433000.0,205871000,22403000.0,,149628000.0,2483000.0,41367000.0,190995000,186315000.0,-11435000.0,,14876000.0,205871000,RST,2016-03-31
985520,USD,2016,Q2,2016-08-03,2016-08-03,21948000.0,21948000.0,29705000.0,35104000.0,7952000.0,91951000.0,24693000.0,,80275000.0,104968000.0,196919000,19005000.0,,148689000.0,2332000.0,41658000.0,190347000,187721000.0,-11435000.0,,6572000.0,196919000,RST,2016-06-30
985520,USD,2016,Q3,2016-11-07,2016-11-07,21993000.0,21993000.0,32221000.0,38096000.0,8046000.0,97203000.0,25020000.0,,79165000.0,104185000.0,201388000,21646000.0,,160646000.0,2255000.0,38287000.0,198933000,189369000.0,-11435000.0,,2455000.0,201388000,RST,2016-09-30
985520,USD,2016,Q4,2017-03-14,2018-03-07,22068000.0,22068000.0,36195000.0,31788000.0,6767000.0,93050000.0,24795000.0,,76465000.0,101260000.0,194310000,22246000.0,,158749000.0,2027000.0,37220000.0,195969000,190829000.0,-11435000.0,,-1659000.0,194310000,RST,2016-12-31
985520,USD,2017,Q1,2017-05-09,2017-05-09,22125000.0,22590000.0,39713000.0,21072000.0,6412000.0,85151000.0,25363000.0,,75338000.0,100701000.0,185852000,21796000.0,,143277000.0,1961000.0,43563000.0,186840000,191089000.0,-11435000.0,,-988000.0,185852000,RST,2017-03-31
985520,USD,2017,Q2,2017-08-08,2017-08-08,22248000.0,22248000.0,26367000.0,27980000.0,5851000.0,77496000.0,26670000.0,,74736000.0,101406000.0,178902000,17484000.0,,133431000.0,1975000.0,45530000.0,178961000,192776000.0,-11435000.0,,-59000.0,178902000,RST,2017-06-30
985520,USD,2017,Q3,2017-11-02,2017-11-02,22285000.0,22285000.0,40147000.0,29801000.0,4194000.0,93504000.0,28822000.0,,74432000.0,103254000.0,196758000,20507000.0,,151634000.0,1934000.0,46551000.0,198185000,194350000.0,-11435000.0,,-1427000.0,196758000,RST,2017-09-30
985520,USD,2017,Q4,2018-03-07,2019-03-06,22318000.0,21853000.0,42964000.0,24517000.0,3536000.0,90098000.0,30649000.0,,74008000.0,104657000.0,194755000,20316000.0,,147890000.0,1850000.0,44442000.0,192332000,195646000.0,-11435000.0,,2423000.0,194755000,RST,2017-12-31
985520,USD,2018,Q1,2018-05-09,2018-05-09,22425000.0,22425000.0,39158000.0,13703000.0,2078000.0,69441000.0,32243000.0,,77141000.0,109384000.0,178825000,21816000.0,,132624000.0,1801000.0,47830000.0,180454000,196696000.0,-11435000.0,,-1629000.0,178825000,RST,2018-03-31
985520,USD,2018,Q2,2018-08-02,2018-08-02,22663000.0,22663000.0,20925000.0,23253000.0,2114000.0,60217000.0,33550000.0,,75481000.0,109031000.0,169248000,16941000.0,,123551000.0,1589000.0,49892000.0,173443000,198898000.0,-11435000.0,,-4195000.0,169248000,RST,2018-06-30
985520,USD,2018,Q3,2018-11-06,2018-11-06,22814000.0,22814000.0,31802000.0,32597000.0,1681000.0,81432000.0,34765000.0,,75258000.0,110023000.0,191455000,18853000.0,,149648000.0,1469000.0,50952000.0,200600000,200581000.0,-11435000.0,,-9145000.0,191455000,RST,2018-09-30
985520,USD,2018,Q4,2019-03-06,2020-03-11,22918000.0,22918000.0,38092000.0,21950000.0,933000.0,76695000.0,36405000.0,,74158000.0,110563000.0,187258000,18312000.0,,145615000.0,,53651000.0,199266000,202357000.0,-11435000.0,,-12008000.0,187258000,RST,2018-12-31
985520,USD,2019,Q1,2019-05-07,2019-05-07,23036000.0,23036000.0,28287000.0,13738000.0,1763000.0,59167000.0,37693000.0,,77942000.0,115635000.0,174802000,18854000.0,,130794000.0,,53807000.0,184601000,204897000.0,-11435000.0,,-9799000.0,174802000,RST,2019-03-31
985520,USD,2019,Q2,2019-08-06,2019-08-06,23455000.0,23455000.0,20773000.0,25660000.0,1652000.0,62994000.0,39891000.0,,78581000.0,118472000.0,181466000,16199000.0,,124258000.0,9900000.0,66578000.0,190836000,208398000.0,-11435000.0,,-9370000.0,181466000,RST,2019-06-30
985520,USD,2019,Q3,2019-11-06,2019-11-06,23609000.0,23609000.0,36205000.0,33093000.0,1523000.0,87660000.0,40206000.0,,79029000.0,119235000.0,206895000,17851000.0,,154091000.0,,63383000.0,217474000,210477000.0,-11435000.0,,-10579000.0,206895000,RST,2019-09-30
985520,USD,2019,Q4,2020-03-11,2020-03-11,23676000.0,23676000.0,43010000.0,22919000.0,1545000.0,83258000.0,39251000.0,,78598000.0,117849000.0,201107000,17466000.0,,151862000.0,,65437000.0,217299000,210848000.0,-11435000.0,,-16192000.0,201107000,RST,2019-12-31
985520,USD,2020,Q1,2020-05-06,2020-05-06,23803000.0,23803000.0,35122000.0,15391000.0,1377000.0,66108000.0,39124000.0,,77376000.0,116500000.0,182608000,17936000.0,,88376000.0,,113221000.0,201597000,214210000.0,-11435000.0,,-18989000.0,182608000,RST,2020-03-31
