SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
148978,USD,2015,Q2,2015-08-12,2015-09-15,26215000.0,26215000.0,116610000.0,49619000.0,37804000.0,229054000.0,27229000.0,,1984467000.0,2011696000.0,2240750000,112399000.0,19754000.0,193866000.0,343108000.0,1425001000.0,1618867000,411892000.0,,-69458000.0,621883000.0,2240750000,RUN,2015-06-30
148978,USD,2015,Q3,2015-11-13,2015-11-13,67732000.0,67732000.0,263006000.0,53717000.0,51907000.0,398911000.0,34743000.0,,2149372000.0,2184115000.0,2583026000,143544000.0,25191000.0,231386000.0,475452000.0,1528692000.0,1760078000,636527000.0,,-72226000.0,822948000.0,2583026000,RUN,2015-09-30
148978,USD,2015,Q4,2016-02-12,2017-03-08,101990000.0,101990000.0,203864000.0,60275000.0,71258000.0,359715000.0,44866000.0,,2330011000.0,2374877000.0,2734592000,153279000.0,27622000.0,252481000.0,545084000.0,1675412000.0,1927893000,642239000.0,,-87249000.0,806699000.0,2734592000,RUN,2015-12-31
148978,USD,2016,Q1,2016-05-13,2016-05-13,101273000.0,104219000.0,208313000.0,56774000.0,94682000.0,382918000.0,51897000.0,,2506765000.0,2558662000.0,2941580000,147527000.0,30880000.0,256135000.0,644350000.0,1812225000.0,2068360000,646102000.0,,-74115000.0,873220000.0,2941580000,RUN,2016-03-31
148978,USD,2016,Q2,2016-08-11,2016-08-11,101969000.0,104768000.0,207220000.0,56572000.0,88207000.0,374416000.0,53348000.0,,2709080000.0,2762428000.0,3136844000,145696000.0,32122000.0,256379000.0,765234000.0,1988291000.0,2244670000,654239000.0,,-41472000.0,892174000.0,3136844000,RUN,2016-06-30
148978,USD,2016,Q3,2016-11-10,2016-11-10,102707000.0,105092000.0,207477000.0,51031000.0,85941000.0,368982000.0,52861000.0,,2934325000.0,2987186000.0,3356168000,146032000.0,38074000.0,266653000.0,818482000.0,2093314000.0,2359967000,660720000.0,,-24594000.0,996201000.0,3356168000,RUN,2016-09-30
148978,USD,2016,Q4,2017-03-08,2017-11-08,103519000.0,105777000.0,206364000.0,60258000.0,67326000.0,369345000.0,48471000.0,,3155002000.0,3203473000.0,3572818000,125279000.0,32179000.0,244784000.0,896835000.0,2265941000.0,2510725000,668086000.0,,4438000.0,1062093000.0,3572818000,RUN,2016-12-31
148978,USD,2017,Q1,2017-05-10,2017-05-10,104038000.0,106469000.0,203791000.0,54065000.0,59603000.0,341074000.0,44925000.0,,2933029000.0,2977954000.0,3319028000,114195000.0,33389000.0,238897000.0,944179000.0,1931585000.0,2170482000,672906000.0,,20161000.0,1148546000.0,3319028000,RUN,2017-03-31
148978,USD,2017,Q2,2017-09-28,2017-09-28,105093000.0,107347000.0,211321000.0,64030000.0,52744000.0,356342000.0,41774000.0,,3090986000.0,3132760000.0,3489102000,128297000.0,282771000.0,500750000.0,770094000.0,1775069000.0,2275819000,679077000.0,,45282000.0,1213283000.0,3489102000,RUN,2017-06-30
148978,USD,2017,Q3,2017-11-08,2017-11-08,105783000.0,109598000.0,216142000.0,73031000.0,63323000.0,391524000.0,38819000.0,,3287410000.0,3326229000.0,3717753000,163222000.0,285248000.0,544091000.0,853317000.0,1883561000.0,2427652000,684409000.0,,73064000.0,1290101000.0,3717753000,RUN,2017-09-30
148978,USD,2017,Q4,2018-03-06,2018-08-09,106814000.0,109410000.0,202525000.0,112069000.0,94427000.0,468573000.0,36402000.0,,3458161000.0,3494563000.0,3963136000,212423000.0,37143000.0,311145000.0,1279227000.0,2287674000.0,2598819000,682961000.0,,202734000.0,1364317000.0,3963136000,RUN,2017-12-31
148978,USD,2018,Q1,2018-05-09,2018-05-09,107449000.0,110781000.0,203189000.0,111012000.0,87902000.0,459815000.0,33291000.0,,3608125000.0,3641416000.0,4101231000,192488000.0,43568000.0,300288000.0,1359821000.0,2376191000.0,2676479000,693088000.0,,230766000.0,1424752000.0,4101231000,RUN,2018-03-31
148978,USD,2018,Q2,2018-08-09,2018-08-09,109559000.0,117067000.0,215706000.0,123334000.0,81304000.0,484007000.0,32816000.0,,3782545000.0,3815361000.0,4299368000,183398000.0,40076000.0,322493000.0,1478723000.0,2601625000.0,2924118000,704157000.0,,238175000.0,1375250000.0,4299368000,RUN,2018-06-30
148978,USD,2018,Q3,2018-11-07,2018-11-07,111134000.0,120396000.0,242936000.0,65354000.0,95978000.0,446016000.0,33522000.0,,4053661000.0,4087183000.0,4533199000,221961000.0,44587000.0,383861000.0,1544403000.0,2747853000.0,3131714000,712657000.0,,235279000.0,1401485000.0,4533199000,RUN,2018-09-30
148978,USD,2018,Q4,2019-03-05,2019-05-08,112214000.0,120204000.0,226625000.0,66435000.0,79467000.0,461413000.0,34893000.0,,4253481000.0,4288374000.0,4749787000,229914000.0,52562000.0,372191000.0,2060712000.0,2968512000.0,3340703000,722440000.0,,229391000.0,1409084000.0,4749787000,RUN,2018-12-31
148978,USD,2019,Q1,2019-05-08,2019-05-08,113912000.0,113912000.0,245604000.0,67522000.0,76184000.0,463060000.0,35281000.0,,4441341000.0,4476622000.0,4939682000,209741000.0,44357000.0,336802000.0,2137032000.0,3163153000.0,3499955000,730137000.0,,216269000.0,1439727000.0,4939682000,RUN,2019-03-31
148978,USD,2019,Q2,2019-08-07,2019-08-07,115765000.0,115765000.0,299537000.0,77846000.0,89829000.0,530086000.0,50419000.0,,4626875000.0,4677294000.0,5207380000,257534000.0,293428000.0,637890000.0,1703352000.0,3081864000.0,3719754000,748523000.0,,214976000.0,1487626000.0,5207380000,RUN,2019-06-30
148978,USD,2019,Q3,2019-11-12,2019-11-12,117652000.0,125151000.0,324698000.0,75352000.0,109777000.0,567240000.0,56804000.0,,4847974000.0,4904778000.0,5472018000,291613000.0,48511000.0,429012000.0,2030729000.0,3460818000.0,3889830000,755783000.0,,243966000.0,1582188000.0,5472018000,RUN,2019-09-30
148978,USD,2019,Q4,2020-02-27,2021-02-25,118259000.0,140676000.0,269577000.0,77728000.0,260571000.0,733830000.0,56708000.0,,5015803000.0,5072511000.0,5806341000,371853000.0,53505000.0,530094000.0,2232487000.0,3638250000.0,4168344000,766018000.0,,251466000.0,1637997000.0,5806341000,RUN,2019-12-31
