SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
773304,USD,2011,Q2,2011-08-05,2011-08-05,51500000.0,51500000.0,91487000.0,1381000.0,,94030000.0,1550000.0,,41000.0,1591000.0,95621000,3651000.0,,4009000.0,,0.0,4009000,328927000.0,,-237332000.0,91612000.0,95621000,SGMO,2011-06-30
773304,USD,2011,Q3,2011-11-04,2011-11-04,52464000.0,52464000.0,84448000.0,1153000.0,,86704000.0,1565000.0,,41000.0,1606000.0,88310000,3823000.0,,4144000.0,,0.0,4144000,331054000.0,,-246886000.0,84166000.0,88310000,SGMO,2011-09-30
773304,USD,2011,Q4,2012-02-23,2013-02-26,52498000.0,52498000.0,84132000.0,919000.0,,85692000.0,1603000.0,,41000.0,1644000.0,87336000,7187000.0,,7204000.0,,0.0,7204000,333365000.0,,-253245000.0,80132000.0,87336000,SGMO,2011-12-31
773304,USD,2012,Q1,2012-05-07,2012-05-07,52567000.0,52567000.0,79696000.0,1508000.0,,81824000.0,1653000.0,6906000.0,41000.0,8600000.0,90424000,3441000.0,,5612000.0,,10472000.0,16084000,334856000.0,,-260513000.0,74340000.0,90424000,SGMO,2012-03-31
773304,USD,2012,Q2,2012-08-03,2012-08-03,52657000.0,52657000.0,59643000.0,3241000.0,,63662000.0,1532000.0,21077000.0,41000.0,22650000.0,86312000,3944000.0,,6152000.0,,9931000.0,16083000,336477000.0,,-266241000.0,70229000.0,86312000,SGMO,2012-06-30
773304,USD,2012,Q3,2012-11-02,2012-11-02,52768000.0,52768000.0,57902000.0,3504000.0,,62391000.0,1467000.0,17914000.0,41000.0,19422000.0,81813000,3576000.0,,6022000.0,,9389000.0,15411000,338418000.0,,-272031000.0,66402000.0,81813000,SGMO,2012-09-30
773304,USD,2012,Q4,2013-02-26,2014-02-24,52972000.0,52972000.0,63547000.0,4129000.0,,68365000.0,1543000.0,12584000.0,41000.0,14168000.0,82533000,6486000.0,,8790000.0,,8847000.0,17637000,340379000.0,,-275509000.0,64896000.0,82533000,SGMO,2012-12-31
773304,USD,2013,Q1,2013-05-09,2013-05-09,53377000.0,53377000.0,57265000.0,3667000.0,,61546000.0,1464000.0,12795000.0,39000.0,14298000.0,75844000,3667000.0,,5953000.0,,8305000.0,14258000,343955000.0,,-282394000.0,61586000.0,75844000,SGMO,2013-03-31
773304,USD,2013,Q2,2013-08-02,2013-08-02,53786000.0,53786000.0,47276000.0,4918000.0,,53721000.0,1587000.0,18849000.0,39000.0,20475000.0,74196000,4737000.0,,7055000.0,,7763000.0,14818000,347223000.0,,-287844000.0,59378000.0,74196000,SGMO,2013-06-30
773304,USD,2013,Q3,2013-11-04,2013-11-04,54786000.0,54786000.0,120222000.0,4880000.0,,126143000.0,1494000.0,12690000.0,39000.0,14223000.0,140366000,4704000.0,,7004000.0,,7221000.0,14225000,420104000.0,,-293989000.0,126141000.0,140366000,SGMO,2013-09-30
