SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
81812,USD,2014,Q2,2014-08-12,2014-08-14,67784000.0,67784000.0,111845000.0,24829000.0,,146696000.0,17104000.0,,83793000.0,100897000.0,247593000,30246000.0,,30246000.0,,2625000.0,32871000,402237000.0,,-187515000.0,214722000.0,247593000,TRUE,2014-06-30
81812,USD,2014,Q3,2014-11-14,2014-11-14,76880000.0,76880000.0,112999000.0,28953000.0,,150398000.0,28688000.0,,82681000.0,111369000.0,261767000,33424000.0,,38424000.0,5970000.0,8666000.0,47090000,415832000.0,,-201155000.0,214677000.0,261767000,TRUE,2014-09-30
81812,USD,2014,Q4,2015-02-12,2016-03-10,78582000.0,78582000.0,147539000.0,28748000.0,,184520000.0,30731000.0,,81701000.0,112432000.0,296952000,38854000.0,,38854000.0,6093000.0,8900000.0,47754000,460187000.0,,-210989000.0,249198000.0,296952000,TRUE,2014-12-31
81812,USD,2015,Q1,2015-05-13,2015-05-13,80461000.0,80461000.0,143069000.0,28939000.0,,177674000.0,56127000.0,,80872000.0,136999000.0,314673000,34302000.0,,34302000.0,26554000.0,29628000.0,63930000,473355000.0,,-222612000.0,250743000.0,314673000,TRUE,2015-03-31
81812,USD,2015,Q2,2015-08-12,2015-08-12,82012000.0,82012000.0,125969000.0,30627000.0,,168235000.0,60362000.0,,79842000.0,140204000.0,308439000,32589000.0,,32589000.0,26535000.0,29603000.0,62192000,483598000.0,,-237351000.0,246247000.0,308439000,TRUE,2015-06-30
81812,USD,2015,Q3,2015-11-12,2015-11-12,82417000.0,82417000.0,123706000.0,37392000.0,,168022000.0,67978000.0,,79107000.0,147085000.0,315107000,41840000.0,,41840000.0,27020000.0,30226000.0,72066000,491497000.0,,-248456000.0,243041000.0,315107000,TRUE,2015-09-30
81812,USD,2015,Q4,2016-03-10,2017-03-01,82766000.0,82766000.0,112371000.0,33761000.0,,152959000.0,71390000.0,,78025000.0,149415000.0,302374000,39104000.0,,39104000.0,26987000.0,30578000.0,69682000,508592000.0,,-275900000.0,232692000.0,302374000,TRUE,2015-12-31
81812,USD,2016,Q1,2016-05-10,2016-05-10,83462000.0,83462000.0,105971000.0,29906000.0,,141619000.0,70101000.0,,76994000.0,147095000.0,288714000,30242000.0,,30242000.0,27142000.0,30812000.0,61054000,515227000.0,,-287567000.0,227660000.0,288714000,TRUE,2016-03-31
81812,USD,2016,Q2,2016-08-09,2016-08-09,83931000.0,83931000.0,103120000.0,32708000.0,,144197000.0,68736000.0,,76275000.0,145011000.0,289208000,35521000.0,,35521000.0,28704000.0,33877000.0,69398000,522032000.0,,-302222000.0,219810000.0,289208000,TRUE,2016-06-30
81812,USD,2016,Q3,2016-11-09,2016-11-09,84822000.0,84822000.0,102973000.0,35872000.0,,147467000.0,67238000.0,,75261000.0,142499000.0,289966000,33373000.0,,33373000.0,28774000.0,34198000.0,67571000,532680000.0,,-310285000.0,222395000.0,289966000,TRUE,2016-09-30
