SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
825691,USD,2016,Q3,2016-11-04,2016-11-10,30000000.0,30000000.0,2821281.0,17886657.0,4056726.0,54845093.0,228383220.0,,115408396.0,343791616.0,398636709,32003318.0,,32003318.0,72000000.0,73768938.0,105772256,297207828.0,,,292864453.0,398636709,TUSK,2016-09-30
825691,USD,2016,Q4,2017-02-04,2018-02-28,36000000.0,36000000.0,29239000.0,21169000.0,6124000.0,88939000.0,297487000.0,,115936000.0,413423000.0,502362000,29246000.0,,29246000.0,0.0,50335000.0,79581000,482320000.0,,-56323000.0,422781000.0,502362000,TUSK,2016-12-31
825691,USD,2017,Q1,2017-05-15,2017-05-15,37500000.0,37500000.0,12278120.0,24973332.0,4922627.0,79899458.0,244021697.0,,110581809.0,354603506.0,434502964,50984982.0,,50984982.0,0.0,46614875.0,97599857,401150752.0,,-61259392.0,336903107.0,434502964,TUSK,2017-03-31
825691,USD,2017,Q2,2017-08-04,2017-08-04,39500000.0,39500000.0,8549290.0,30414421.0,10316700.0,98956178.0,402972988.0,,124988409.0,527961397.0,626917575,64174937.0,,64174937.0,65000000.0,122332379.0,186507316,505690742.0,,-62473672.0,440410259.0,626917575,TUSK,2017-06-30
825691,USD,2017,Q3,2017-11-14,2017-11-14,44502000.0,44502000.0,14278328.0,65490189.0,12164225.0,139794716.0,422528173.0,,122812891.0,545341064.0,685135780,91997243.0,,91997243.0,94000000.0,151873272.0,243870515,506719060.0,,-63274499.0,441265265.0,685135780,TUSK,2017-09-30
825691,USD,2017,Q4,2018-02-28,2018-11-02,44690000.0,45054000.0,5637000.0,243746000.0,17814000.0,314423000.0,425786000.0,,127034000.0,552820000.0,867243000,219988000.0,,219988000.0,99900000.0,139459000.0,359447000,508456000.0,,2001000.0,507796000.0,867243000,TUSK,2017-12-31
825691,USD,2018,Q1,2018-05-04,2018-05-04,44650133.0,44884000.0,10447000.0,243913000.0,12189000.0,326029000.0,440439000.0,,134617000.0,575056000.0,901085000,258928000.0,,258928000.0,39000000.0,78020000.0,336948000,509712000.0,,57547000.0,564137000.0,901085000,TUSK,2018-03-31
825691,USD,2018,Q2,2018-08-08,2018-08-08,44737000.0,45059000.0,10702000.0,312850000.0,12717000.0,381570000.0,497074000.0,,150479000.0,647553000.0,1029123000,365180000.0,,365180000.0,0.0,38274000.0,403454000,528869000.0,,100247000.0,625669000.0,1029123000,TUSK,2018-06-30
825691,USD,2018,Q3,2018-11-02,2018-11-02,44756000.0,45082000.0,19692000.0,390824000.0,19185000.0,466657000.0,506992000.0,,111509000.0,618501000.0,1085158000,355381000.0,,355381000.0,0.0,38459000.0,393840000,530273000.0,,164165000.0,691318000.0,1085158000,TUSK,2018-09-30
825691,USD,2018,Q4,2019-03-18,2019-03-18,44856867.0,45059000.0,67625000.0,337460000.0,21302000.0,449556000.0,508407000.0,,115128000.0,623535000.0,1073091000,233823000.0,,233823000.0,0.0,85216000.0,319039000,531368000.0,,226765000.0,754052000.0,1073091000,TUSK,2018-12-31
825691,USD,2019,Q1,2019-05-03,2019-05-03,44929000.0,45063000.0,21343000.0,404389000.0,18913000.0,499296000.0,499776000.0,,171435000.0,671211000.0,1170507000,183681000.0,,201214000.0,82037000.0,190873000.0,392087000,532657000.0,,249488000.0,778420000.0,1170507000,TUSK,2019-03-31
825691,USD,2019,Q2,2019-08-05,2019-08-05,45003000.0,45003000.0,7245000.0,385626000.0,22114000.0,463280000.0,478170000.0,,167460000.0,645630000.0,1108910000,147129000.0,,164467000.0,82036000.0,181227000.0,345694000,533601000.0,,232990000.0,763216000.0,1108910000,TUSK,2019-06-30
825691,USD,2019,Q3,2019-11-12,2019-11-12,45020000.0,45020000.0,9598000.0,369313000.0,17303000.0,413051000.0,450079000.0,,159959000.0,610038000.0,1023089000,110389000.0,,127531000.0,80000000.0,167131000.0,294662000,534734000.0,,197281000.0,728427000.0,1023089000,TUSK,2019-09-30
825691,USD,2019,Q4,2020-03-02,2021-03-01,45092000.0,44958000.0,5872000.0,363053000.0,17483000.0,406980000.0,421123000.0,,124282000.0,545405000.0,952385000,113965000.0,,130397000.0,80000000.0,153247000.0,283644000,535545000.0,,136502000.0,668741000.0,952385000,TUSK,2019-12-31
825691,USD,2020,Q1,2020-05-11,2020-05-11,45314000.0,45314000.0,13180000.0,371755000.0,13193000.0,425034000.0,384419000.0,,64558000.0,448977000.0,874011000,111501000.0,,126985000.0,88350000.0,162618000.0,289603000,536597000.0,,52531000.0,584408000.0,874011000,TUSK,2020-03-31
