SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
344785,USD,2011,Q2,2011-08-02,2011-08-02,35308941.0,36772515.0,53060000.0,6080000.0,,62313000.0,1925000.0,,227039000.0,228964000.0,291277000,10355000.0,10000000.0,31655000.0,,75712000.0,107367000,161525000.0,-86000.0,19355000.0,183910000.0,291277000,TYPE,2011-06-30
344785,USD,2011,Q3,2011-11-01,2011-11-01,35447484.0,36829518.0,51478000.0,6680000.0,,61510000.0,2290000.0,,221939000.0,224229000.0,285739000,10771000.0,10000000.0,31663000.0,,64071000.0,95734000,163839000.0,-86000.0,25347000.0,190005000.0,285739000,TYPE,2011-09-30
344785,USD,2011,Q4,2012-03-01,2013-03-01,35632200.0,37264647.0,53850000.0,6588000.0,,64905000.0,2404000.0,,216513000.0,218917000.0,283822000,14638000.0,10000000.0,32380000.0,,53081000.0,85461000,167484000.0,-86000.0,30986000.0,198361000.0,283822000,TYPE,2011-12-31
344785,USD,2012,Q1,2012-05-01,2012-05-01,36282428.0,37607047.0,28077000.0,6631000.0,,40546000.0,2420000.0,,276157000.0,278577000.0,319123000,15727000.0,10000000.0,34232000.0,,77582000.0,111814000,170162000.0,-86000.0,36706000.0,207309000.0,319123000,TYPE,2012-03-31
344785,USD,2012,Q2,2012-07-27,2012-07-27,36046725.0,37423532.0,32918000.0,6952000.0,,46198000.0,2661000.0,,264970000.0,267631000.0,313829000,14993000.0,10000000.0,34696000.0,,63482000.0,98178000,172351000.0,-86000.0,44121000.0,215651000.0,313829000,TYPE,2012-06-30
344785,USD,2012,Q3,2012-10-30,2012-10-30,36323556.0,37620269.0,37988000.0,6383000.0,,50578000.0,2510000.0,,262108000.0,264618000.0,315196000,17882000.0,10000000.0,34736000.0,,54461000.0,89197000,175760000.0,-86000.0,50631000.0,225999000.0,315196000,TYPE,2012-09-30
344785,USD,2012,Q4,2013-03-01,2014-03-11,36594631.0,37596964.0,39340000.0,6996000.0,,53217000.0,2587000.0,,264262000.0,266849000.0,320066000,20548000.0,10000000.0,39273000.0,,45687000.0,84960000,178718000.0,-86000.0,56980000.0,235106000.0,320066000,TYPE,2012-12-31
344785,USD,2013,Q1,2013-05-01,2013-05-01,37102507.0,38484522.0,42983000.0,8507000.0,,59428000.0,2579000.0,,260005000.0,262584000.0,322012000,15798000.0,12321000.0,36368000.0,,34748000.0,71116000,189234000.0,-86000.0,63297000.0,250896000.0,322012000,TYPE,2013-03-31
344785,USD,2013,Q2,2013-07-26,2013-07-26,37725082.0,39029653.0,51669000.0,7697000.0,,67722000.0,2422000.0,,257934000.0,260356000.0,328078000,17397000.0,,27567000.0,,36529000.0,64096000,196960000.0,-86000.0,68283000.0,263982000.0,328078000,TYPE,2013-06-30
344785,USD,2013,Q3,2013-10-31,2013-10-31,38276890.0,39657474.0,64335000.0,7781000.0,,80898000.0,2779000.0,,257586000.0,260365000.0,341263000,18595000.0,,26244000.0,,38756000.0,65000000,203215000.0,-86000.0,73004000.0,276263000.0,341263000,TYPE,2013-09-30
