SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
739637,USD,2011,Q2,2011-08-11,2011-08-11,17296000.0,17308000.0,3551000.0,25162000.0,32056000.0,64237000.0,13649000.0,,24553000.0,38202000.0,102439000,14127000.0,3757000.0,27870000.0,1000.0,5187000.0,33057000,173470000.0,-7658000.0,-95451000.0,69382000.0,102439000,ULBI,2011-06-30
739637,USD,2011,Q3,2011-11-08,2011-11-08,17313000.0,17341000.0,4493000.0,26308000.0,29482000.0,63992000.0,12963000.0,,24392000.0,37355000.0,101347000,13423000.0,2483000.0,25030000.0,0.0,5223000.0,30253000,173824000.0,-7658000.0,-94063000.0,71094000.0,101347000,ULBI,2011-09-30
739637,USD,2011,Q4,2012-03-13,2013-03-15,17331000.0,17419000.0,5320000.0,19903000.0,34967000.0,64072000.0,12588000.0,,24155000.0,36743000.0,100815000,16576000.0,,23158000.0,,4431000.0,27589000,174183000.0,-7658000.0,-92280000.0,73226000.0,100815000,ULBI,2011-12-31
739637,USD,2012,Q1,2012-05-10,2012-05-10,17358000.0,17358000.0,4136000.0,18469000.0,31788000.0,58415000.0,12200000.0,,24049000.0,36249000.0,94664000,9005000.0,19000.0,17922000.0,,4430000.0,22352000,174623000.0,-7658000.0,-93782000.0,72312000.0,94664000,ULBI,2012-03-31
739637,USD,2012,Q2,2012-08-09,2012-08-09,17396000.0,17396000.0,4016000.0,15611000.0,33692000.0,56345000.0,12714000.0,,23932000.0,36646000.0,92991000,10750000.0,357000.0,19029000.0,,4517000.0,23546000,174968000.0,-7658000.0,-96949000.0,69445000.0,92991000,ULBI,2012-06-30
739637,USD,2012,Q3,2012-11-08,2012-11-08,17418000.0,17418000.0,4959000.0,20254000.0,33092000.0,61200000.0,12375000.0,,21754000.0,34129000.0,95329000,11932000.0,,19659000.0,,4431000.0,24090000,175299000.0,-7658000.0,-95271000.0,71239000.0,95329000,ULBI,2012-09-30
739637,USD,2012,Q4,2013-03-15,2014-03-14,17440000.0,17440000.0,9656000.0,20913000.0,30370000.0,63702000.0,12415000.0,,21601000.0,34016000.0,97718000,14011000.0,0.0,19892000.0,0.0,4370000.0,24262000,175677000.0,-7658000.0,-93878000.0,73456000.0,97718000,ULBI,2012-12-31
739637,USD,2013,Q1,2013-05-09,2013-05-09,17457000.0,17478000.0,8486000.0,17280000.0,28281000.0,56858000.0,11778000.0,,23606000.0,35384000.0,92242000,8712000.0,,13782000.0,,4506000.0,18288000,175879000.0,-7658000.0,-93449000.0,73954000.0,92242000,ULBI,2013-03-31
739637,USD,2013,Q2,2013-08-09,2013-08-09,17459000.0,17459000.0,11158000.0,12401000.0,31021000.0,57020000.0,11249000.0,,22866000.0,34115000.0,91135000,9402000.0,,14376000.0,,4493000.0,18869000,176119000.0,-7658000.0,-95522000.0,72266000.0,91135000,ULBI,2013-06-30
739637,USD,2013,Q3,2013-11-08,2013-11-08,17467000.0,17532000.0,10365000.0,15571000.0,27829000.0,55983000.0,10836000.0,,21856000.0,32692000.0,88675000,6059000.0,,11083000.0,,4357000.0,15440000,176429000.0,-7658000.0,-94873000.0,73235000.0,88675000,ULBI,2013-09-30
739637,USD,2013,Q4,2014-03-14,2015-03-11,17477000.0,17391000.0,16066000.0,14238000.0,26053000.0,58567000.0,10202000.0,,21425000.0,31627000.0,90194000,9055000.0,,12024000.0,,4525000.0,16549000,176820000.0,-7658000.0,-94804000.0,73645000.0,90194000,ULBI,2013-12-31
739637,USD,2014,Q1,2014-05-09,2014-05-09,17513000.0,17513000.0,18899000.0,10036000.0,26662000.0,57277000.0,9786000.0,,21306000.0,31092000.0,88369000,8689000.0,,11314000.0,,4394000.0,15708000,177089000.0,-7697000.0,-96090000.0,72661000.0,88369000,ULBI,2014-03-31
739637,USD,2014,Q2,2014-08-06,2014-08-06,17533000.0,17533000.0,17160000.0,10095000.0,27079000.0,55804000.0,9916000.0,,21211000.0,31127000.0,86931000,8988000.0,,10862000.0,,4450000.0,15312000,177354000.0,-7697000.0,-97450000.0,71619000.0,86931000,ULBI,2014-06-30
739637,USD,2014,Q3,2014-11-04,2014-11-04,17490000.0,17490000.0,15571000.0,10470000.0,28500000.0,56484000.0,9897000.0,,21159000.0,31056000.0,87540000,8747000.0,,12034000.0,,4496000.0,16530000,177592000.0,-8247000.0,-97773000.0,71010000.0,87540000,ULBI,2014-09-30
739637,USD,2014,Q4,2015-03-11,2016-03-02,17364000.0,17364000.0,17711000.0,11295000.0,26086000.0,56744000.0,9812000.0,,21086000.0,30898000.0,87642000,8790000.0,,11211000.0,,4518000.0,15729000,177834000.0,-8420000.0,-96920000.0,71913000.0,87642000,ULBI,2014-12-31
739637,USD,2015,Q1,2015-04-30,2015-04-30,17346000.0,17354000.0,20133000.0,11698000.0,24775000.0,58443000.0,9643000.0,,20969000.0,30612000.0,89055000,9873000.0,,12208000.0,,4573000.0,16781000,177986000.0,-8756000.0,-96387000.0,72274000.0,89055000,ULBI,2015-03-31
739637,USD,2015,Q2,2015-07-30,2015-07-30,16557000.0,16597000.0,15789000.0,11293000.0,24000000.0,52531000.0,9501000.0,,20903000.0,30404000.0,82935000,8868000.0,,10606000.0,,4628000.0,15234000,178146000.0,-14307000.0,-95599000.0,67701000.0,82935000,ULBI,2015-06-30
739637,USD,2015,Q3,2015-10-29,2015-10-29,15633000.0,15740000.0,14585000.0,11242000.0,23352000.0,51442000.0,9191000.0,,20719000.0,29910000.0,81352000,9328000.0,,11498000.0,,4679000.0,16177000,178301000.0,-17686000.0,-94553000.0,65175000.0,81352000,ULBI,2015-09-30
739637,USD,2015,Q4,2016-03-02,2017-02-09,15192000.0,16141000.0,14393000.0,11430000.0,23814000.0,51854000.0,9038000.0,,20630000.0,29668000.0,81522000,9098000.0,,10847000.0,,4659000.0,15506000,178925000.0,-17808000.0,-94051000.0,66016000.0,81522000,ULBI,2015-12-31
