SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
109798,USD,2011,Q2,2011-08-03,2011-08-03,68087000.0,68444000.0,13498000.0,70024000.0,195443000.0,281263000.0,95403000.0,,30038000.0,125441000.0,406704000,194856000.0,3974000.0,198830000.0,66783000.0,71512000.0,270342000,600717000.0,-26524000.0,-437831000.0,136362000.0,406704000,WNC,2011-06-30
109798,USD,2011,Q3,2011-11-01,2011-11-01,68117000.0,68458000.0,47993000.0,45892000.0,199986000.0,294533000.0,95114000.0,,28858000.0,123972000.0,418505000,161314000.0,4058000.0,165372000.0,110826000.0,114910000.0,280282000,601486000.0,-26524000.0,-436739000.0,138223000.0,418505000,WNC,2011-09-30
109798,USD,2011,Q4,2012-04-13,2013-02-28,68131000.0,68262000.0,19976000.0,52219000.0,189533000.0,264045000.0,96591000.0,,27414000.0,124005000.0,388050000,167009000.0,1507000.0,168516000.0,68314000.0,73188000.0,241704000,602186000.0,-26552000.0,-429288000.0,146346000.0,388050000,WNC,2011-12-31
109798,USD,2012,Q1,2012-05-01,2012-05-01,68245000.0,68618000.0,6146000.0,62955000.0,215374000.0,286886000.0,95491000.0,,27278000.0,122769000.0,409655000,172460000.0,862000.0,173322000.0,80946000.0,84562000.0,257884000,603111000.0,-27116000.0,-424224000.0,151771000.0,409655000,WNC,2012-03-31
109798,USD,2012,Q2,2012-08-02,2012-08-02,68323000.0,68525000.0,31601000.0,102997000.0,250163000.0,392726000.0,126920000.0,,341893000.0,468813000.0,861539000,235248000.0,3883000.0,239131000.0,442292000.0,446585000.0,685716000,625115000.0,-27116000.0,-422282000.0,175823000.0,861539000,WNC,2012-06-30
109798,USD,2012,Q3,2012-11-01,2012-11-01,68357000.0,68516000.0,39307000.0,98726000.0,231875000.0,376255000.0,129387000.0,,337405000.0,466792000.0,843047000,219919000.0,4017000.0,223936000.0,417827000.0,423421000.0,647357000,626334000.0,-27116000.0,-403841000.0,195690000.0,843047000,WNC,2012-09-30
109798,USD,2012,Q4,2013-02-28,2014-02-27,68375000.0,68597000.0,81449000.0,96590000.0,189487000.0,418095000.0,132146000.0,,352385000.0,484531000.0,902626000,192172000.0,4521000.0,196693000.0,420630000.0,437206000.0,633899000,619252000.0,-27116000.0,-323657000.0,268727000.0,902626000,WNC,2012-12-31
109798,USD,2013,Q1,2013-04-30,2013-04-30,68395000.0,68828000.0,58633000.0,101260000.0,237013000.0,443565000.0,137858000.0,,353852000.0,491710000.0,935275000,212855000.0,24992000.0,237847000.0,404496000.0,421868000.0,659715000,620640000.0,-27151000.0,-317922000.0,275560000.0,935275000,WNC,2013-03-31
109798,USD,2013,Q2,2013-07-30,2013-07-30,68442000.0,68858000.0,45415000.0,124600000.0,243688000.0,461122000.0,138474000.0,,339848000.0,478322000.0,939444000,220019000.0,5581000.0,225600000.0,404446000.0,422184000.0,647784000,622693000.0,-27151000.0,-303787000.0,291660000.0,939444000,WNC,2013-06-30
109798,USD,2013,Q3,2013-10-29,2013-10-29,68487000.0,69011000.0,65880000.0,130086000.0,239606000.0,476502000.0,139735000.0,,329591000.0,469326000.0,945828000,226742000.0,4946000.0,231688000.0,385101000.0,404180000.0,635868000,624566000.0,-27151000.0,-287551000.0,309960000.0,945828000,WNC,2013-09-30
109798,USD,2013,Q4,2014-02-27,2015-02-27,68516000.0,69627000.0,113262000.0,120358000.0,184173000.0,449001000.0,142082000.0,,321162000.0,463244000.0,912245000,211509000.0,4854000.0,216363000.0,365741000.0,373503000.0,589866000,626676000.0,-27151000.0,-277128000.0,322379000.0,912245000,WNC,2013-12-31
109798,USD,2014,Q1,2014-04-28,2014-04-28,68669000.0,71088000.0,65736000.0,118864000.0,262915000.0,475614000.0,140254000.0,,316165000.0,456419000.0,932033000,220324000.0,4779000.0,225103000.0,365854000.0,375549000.0,600652000,629717000.0,-28648000.0,-269832000.0,331381000.0,932033000,WNC,2014-03-31
109798,USD,2014,Q2,2014-07-29,2014-07-29,68938000.0,71557000.0,82332000.0,131525000.0,256083000.0,492335000.0,136771000.0,,310802000.0,447573000.0,939908000,220728000.0,4767000.0,225495000.0,346563000.0,364607000.0,590102000,631813000.0,-28648000.0,-253592000.0,349806000.0,939908000,WNC,2014-06-30
109798,USD,2014,Q3,2014-10-28,2014-10-28,68976000.0,71919000.0,79551000.0,151621000.0,259794000.0,515039000.0,137170000.0,,305100000.0,442270000.0,957309000,236744000.0,1990000.0,238734000.0,329816000.0,348310000.0,587044000,634261000.0,-28648000.0,-235285000.0,370265000.0,957309000,WNC,2014-09-30
109798,USD,2014,Q4,2015-02-27,2016-02-26,68997000.0,69688000.0,146113000.0,135206000.0,177144000.0,485659000.0,142892000.0,,300100000.0,442992000.0,928651000,184903000.0,1954000.0,186857000.0,330573000.0,350962000.0,537819000,636315000.0,-28648000.0,-216198000.0,390832000.0,928651000,WNC,2014-12-31
109798,USD,2015,Q1,2015-04-27,2015-04-27,68731000.0,71555000.0,125609000.0,156892000.0,243002000.0,547927000.0,141247000.0,,295798000.0,437045000.0,984972000,242528000.0,3828000.0,246356000.0,332086000.0,354402000.0,600758000,639453000.0,-48577000.0,-205723000.0,384214000.0,984972000,WNC,2015-03-31
109798,USD,2015,Q2,2015-07-28,2015-07-28,67591000.0,70694000.0,139564000.0,142312000.0,244170000.0,569062000.0,134478000.0,,291262000.0,425740000.0,994802000,242265000.0,6854000.0,249119000.0,329184000.0,351240000.0,600359000,642702000.0,-70301000.0,-177075000.0,394443000.0,994802000,WNC,2015-06-30
109798,USD,2015,Q3,2015-10-27,2015-10-27,66524000.0,68042000.0,197187000.0,138950000.0,227510000.0,601684000.0,136533000.0,,286154000.0,422687000.0,1024371000,243368000.0,3293000.0,246661000.0,329704000.0,351019000.0,597680000,644930000.0,-71665000.0,-145195000.0,426691000.0,1024371000,WNC,2015-09-30
109798,USD,2015,Q4,2016-02-26,2017-02-27,65958000.0,67181000.0,178853000.0,152824000.0,166982000.0,529507000.0,140438000.0,,279725000.0,420163000.0,949670000,172660000.0,38417000.0,211077000.0,276760000.0,298782000.0,509859000,643623000.0,-90405000.0,-111907000.0,439811000.0,949670000,WNC,2015-12-31
109798,USD,2016,Q1,2016-04-26,2016-04-26,65037000.0,66224000.0,168411000.0,159443000.0,208209000.0,548243000.0,138722000.0,,288705000.0,427427000.0,975670000,218976000.0,3159000.0,222135000.0,279438000.0,301560000.0,523695000,637118000.0,-99162000.0,-84384000.0,451975000.0,975670000,WNC,2016-03-31
109798,USD,2016,Q2,2016-07-26,2016-07-26,64834000.0,67115000.0,187600000.0,131951000.0,213016000.0,557895000.0,137722000.0,,290976000.0,428698000.0,986593000,198503000.0,3086000.0,201589000.0,279462000.0,302764000.0,504353000,642040000.0,-108792000.0,-48852000.0,482240000.0,986593000,WNC,2016-06-30
109798,USD,2016,Q3,2016-10-24,2016-10-24,63604000.0,66032000.0,189641000.0,157941000.0,195149000.0,562169000.0,139456000.0,,290192000.0,429648000.0,991817000,188196000.0,3030000.0,191226000.0,279507000.0,303657000.0,494883000,645996000.0,-131144000.0,-15474000.0,496934000.0,991817000,WNC,2016-09-30
109798,USD,2016,Q4,2017-02-27,2017-10-31,61441000.0,63677000.0,163467000.0,153634000.0,139953000.0,481405000.0,134138000.0,,283190000.0,417328000.0,898733000,163652000.0,2962000.0,166614000.0,234874000.0,259728000.0,426342000,641608000.0,-169961000.0,3591000.0,472391000.0,898733000,WNC,2016-12-31
