SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
332221,USD,2010,Q4,2010-07-30,2011-08-01,79201000.0,79236000.0,59016000.0,301455000.0,364331000.0,782285000.0,506163000.0,113001000.0,118898000.0,738062000.0,1520347000,379802000.0,,379802000.0,250238000.0,390511000.0,770313000,189918000.0,,532126000.0,750034000.0,1520347000,WOR,2010-05-31
332221,USD,2011,Q1,2010-10-12,2010-10-12,77658000.0,77680000.0,64865000.0,324031000.0,372852000.0,822262000.0,497117000.0,113314000.0,124868000.0,735299000.0,1557561000,303975000.0,165110000.0,469085000.0,250242000.0,389776000.0,858861000,,,,698700000.0,1557561000,WOR,2010-08-31
332221,USD,2011,Q2,2011-01-10,2011-01-10,74062000.0,74077000.0,60870000.0,315140000.0,341054000.0,777710000.0,487839000.0,122199000.0,124564000.0,734602000.0,1512312000,295863000.0,123735000.0,419598000.0,250246000.0,389887000.0,809485000,,,,702827000.0,1512312000,WOR,2010-11-30
332221,USD,2011,Q3,2011-04-11,2011-04-11,74171000.0,75001000.0,49726000.0,345209000.0,372571000.0,836543000.0,495628000.0,125069000.0,135803000.0,756500000.0,1593043000,369425000.0,80778000.0,450203000.0,250250000.0,397564000.0,847767000,,,,745276000.0,1593043000,WOR,2011-02-28
332221,USD,2011,Q4,2011-08-01,2012-07-30,73321000.0,74878000.0,56167000.0,388550000.0,370830000.0,891635000.0,405334000.0,232149000.0,138131000.0,775614000.0,1667249000,392046000.0,132956000.0,525002000.0,250254000.0,401544000.0,926546000,181525000.0,,504410000.0,740703000.0,1667249000,WOR,2011-05-31
332221,USD,2012,Q1,2011-10-11,2011-10-11,71518000.0,72418000.0,36875000.0,353247000.0,377772000.0,858642000.0,391349000.0,234767000.0,160663000.0,786779000.0,1645421000,303172000.0,209205000.0,512377000.0,250258000.0,401549000.0,913926000,,,,731495000.0,1645421000,WOR,2011-08-31
332221,USD,2012,Q2,2012-01-17,2012-01-17,69350000.0,69356000.0,53806000.0,328638000.0,335120000.0,808684000.0,398989000.0,233187000.0,168764000.0,800940000.0,1609624000,263285000.0,226086000.0,489371000.0,250263000.0,409911000.0,899282000,,,,710342000.0,1609624000,WOR,2011-11-30
332221,USD,2012,Q3,2012-04-09,2012-04-09,68972000.0,69509000.0,35266000.0,373487000.0,395117000.0,888629000.0,455130000.0,237968000.0,277643000.0,970741000.0,1859370000,370671000.0,286354000.0,657025000.0,252541000.0,464658000.0,1121683000,,,,737687000.0,1859370000,WOR,2012-02-29
332221,USD,2012,Q4,2012-07-30,2013-07-30,68764000.0,69725000.0,41028000.0,400869000.0,401940000.0,914239000.0,443077000.0,240882000.0,279599000.0,963558000.0,1877797000,382011000.0,276252000.0,658263000.0,257462000.0,472097000.0,1130360000,192338000.0,,525223000.0,747437000.0,1877797000,WOR,2012-05-31
332221,USD,2013,Q1,2012-10-09,2012-10-09,68679000.0,69571000.0,30481000.0,359660000.0,383582000.0,846185000.0,440885000.0,244087000.0,274349000.0,959321000.0,1805506000,340234000.0,52490000.0,392724000.0,407097000.0,620400000.0,1013124000,,,,792382000.0,1805506000,WOR,2012-08-31
