SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
171401,USD,2017,Q1,2017-05-26,2017-05-26,31417859.0,31564484.0,462000.0,2902000.0,128000.0,3640000.0,522000.0,,83000.0,605000.0,4245000,3465000.0,423000.0,6939000.0,463000.0,475000.0,7414000,6342000.0,,-9422000.0,-3169000.0,4245000,ZYXI,2017-03-31
171401,USD,2017,Q2,2017-08-14,2017-08-14,32048000.0,33262000.0,140000.0,2505000.0,178000.0,2948000.0,497000.0,,76000.0,573000.0,3521000,3106000.0,638000.0,4624000.0,539000.0,551000.0,5175000,6354000.0,,-7919000.0,-1654000.0,3521000,ZYXI,2017-06-30
171401,USD,2017,Q3,2017-11-13,2017-11-13,32327000.0,33545000.0,2574000.0,2409000.0,358000.0,5552000.0,338000.0,,94000.0,432000.0,5984000,2997000.0,511000.0,4388000.0,34000.0,46000.0,4434000,7357000.0,,-5718000.0,1550000.0,5984000,ZYXI,2017-09-30
171401,USD,2017,Q4,2018-02-28,2018-08-02,32831141.0,34412516.0,5565000.0,2185000.0,423000.0,8371000.0,188000.0,,370000.0,558000.0,8929000,2781000.0,354000.0,4015000.0,,12000.0,4027000,7645000.0,-243000.0,-2411000.0,4902000.0,8929000,ZYXI,2017-12-31
171401,USD,2018,Q1,2018-05-08,2018-05-08,32601000.0,34414000.0,4366000.0,2668000.0,710000.0,8359000.0,575000.0,,375000.0,950000.0,9309000,2773000.0,100000.0,3753000.0,,341000.0,4094000,7794000.0,-2000000.0,-490000.0,5215000.0,9309000,ZYXI,2018-03-31
171401,USD,2018,Q2,2018-08-02,2018-08-02,32620000.0,34169000.0,6285000.0,2863000.0,518000.0,10245000.0,778000.0,,370000.0,1148000.0,11393000,2323000.0,64000.0,3267000.0,,584000.0,3851000,7914000.0,-2211000.0,1928000.0,7542000.0,11393000,ZYXI,2018-06-30
171401,USD,2018,Q3,2018-11-06,2018-11-06,32521000.0,33931000.0,8096000.0,2898000.0,796000.0,12154000.0,829000.0,,314000.0,1143000.0,13297000,2608000.0,34000.0,3522000.0,,622000.0,4144000,8012000.0,-3289000.0,4519000.0,9153000.0,13297000,ZYXI,2018-09-30
171401,USD,2018,Q4,2019-02-26,2019-04-30,32270000.0,33658000.0,10128000.0,2791000.0,837000.0,14324000.0,819000.0,,4108000.0,4927000.0,19251000,5432000.0,,6983000.0,2967000.0,2977000.0,9960000,8191000.0,-3675000.0,4864000.0,9291000.0,19251000,ZYXI,2018-12-31
171401,USD,2019,Q1,2019-04-30,2019-04-30,32233000.0,33721000.0,9419000.0,3147000.0,968000.0,14272000.0,791000.0,,3802000.0,4593000.0,18865000,3764000.0,,4453000.0,2787000.0,2794000.0,7247000,8339000.0,-3846000.0,7214000.0,11618000.0,18865000,ZYXI,2019-03-31
171401,USD,2019,Q2,2019-07-31,2019-07-31,32326000.0,33953000.0,10054000.0,3540000.0,1325000.0,15752000.0,822000.0,,5265000.0,6087000.0,21839000,2849000.0,,3828000.0,,3944000.0,7772000,8626000.0,-3846000.0,9376000.0,14067000.0,21839000,ZYXI,2019-06-30
171401,USD,2019,Q3,2019-10-29,2019-10-29,32490000.0,34076000.0,11934000.0,4254000.0,2129000.0,18638000.0,780000.0,,5306000.0,6086000.0,24724000,3429000.0,,4519000.0,,3813000.0,8332000,8918000.0,-3846000.0,11409000.0,16392000.0,24724000,ZYXI,2019-09-30
171401,USD,2019,Q4,2020-02-27,2021-02-25,32707000.0,34102000.0,14040000.0,5833000.0,2378000.0,22566000.0,858000.0,,4853000.0,5711000.0,28277000,3941000.0,,5197000.0,,3427000.0,8624000,9232000.0,-3846000.0,14356000.0,19653000.0,28277000,ZYXI,2019-12-31
171401,USD,2020,Q1,2020-04-28,2020-04-28,32913000.0,34204000.0,14585000.0,6549000.0,3429000.0,25698000.0,1116000.0,,6408000.0,7524000.0,33222000,4103000.0,,5834000.0,,4080000.0,9914000,9950000.0,-3846000.0,17293000.0,23308000.0,33222000,ZYXI,2020-03-31
