SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
160965,USD,2011,Q2,2011-08-15,2012-09-10,21744768.0,21827564.0,124000.0,68000.0,25000.0,-120000.0,,,,,97000.0,-59000.0,,,-59000.0,,-72000.0,,-99000.0,-61000,ABMC,2011-06-30
160965,USD,2011,Q3,2011-11-14,2012-11-14,21744768.0,21744768.0,-29000.0,71000.0,33000.0,85000.0,,,,,160000.0,-80000.0,,,-80000.0,,-49000.0,,-80000.0,0,ABMC,2011-09-30
160965,USD,2011,Q4,2012-04-16,2013-03-28,21744768.0,21744768.0,-15000.0,69000.0,220000.0,-16000.0,,,,,258000.0,-32000.0,,,-32000.0,,-134000.0,,-155000.0,71000,ABMC,2011-12-31
160965,USD,2012,Q1,2012-05-15,2013-05-14,21744768.0,21744768.0,-206000.0,30000.0,42000.0,-21000.0,,,,,-155000.0,-21000.0,,,-21000.0,,121000.0,0.0,89000.0,-87000,ABMC,2012-03-31
160965,USD,2012,Q2,2012-09-10,2013-08-14,21744768.0,21744768.0,-77000.0,31000.0,36000.0,203000.0,,,,,193000.0,-10000.0,,,-10000.0,,-141000.0,0.0,-174000.0,9000,ABMC,2012-06-30
160965,USD,2012,Q3,2012-11-14,2013-11-19,21833003.0,21833003.0,-263000.0,30000.0,101000.0,-31000.0,,,,,-163000.0,-4000.0,,,-4000.0,,338000.0,0.0,152000.0,-15000,ABMC,2012-09-30
160965,USD,2012,Q4,2013-03-28,2014-03-31,22009473.0,22009473.0,-565000.0,32000.0,420000.0,474000.0,,,,,361000.0,1000.0,,,1000.0,,-244000.0,,-273000.0,89000,ABMC,2012-12-31
160965,USD,2013,Q1,2013-05-14,2014-05-15,22166336.0,22166336.0,-424000.0,29000.0,128000.0,-473000.0,,,,,-740000.0,-11000.0,,,-11000.0,,855000.0,,663000.0,-88000,ABMC,2013-03-31
160965,USD,2013,Q2,2013-08-14,2014-08-14,22166336.0,22166336.0,-294000.0,30000.0,142000.0,-147000.0,,,,,-269000.0,-46000.0,,,-46000.0,,407000.0,,369000.0,54000,ABMC,2013-06-30
160965,USD,2013,Q3,2013-11-19,2014-11-14,22166336.0,22166336.0,-215000.0,28000.0,78000.0,613000.0,,,,,504000.0,24000.0,,,24000.0,,-503000.0,,-520000.0,8000,ABMC,2013-09-30
160965,USD,2013,Q4,2014-03-31,2015-03-31,22583536.0,22583536.0,145000.0,29000.0,310000.0,30000.0,,,,,514000.0,-1000.0,,,-1000.0,,213000.0,,70000.0,583000,ABMC,2013-12-31
160965,USD,2014,Q1,2014-05-15,2015-05-15,23168155.0,23260582.0,9000.0,28000.0,76000.0,74000.0,,,,,187000.0,-1000.0,,,-1000.0,,-311000.0,,-311000.0,-125000,ABMC,2014-03-31
160965,USD,2014,Q2,2014-08-14,2015-08-14,23168155.0,23168155.0,-41000.0,30000.0,99000.0,-62000.0,,,,,26000.0,-11000.0,,,-11000.0,,-89000.0,,-89000.0,-74000,ABMC,2014-06-30
160965,USD,2014,Q3,2014-11-14,2015-11-16,23466785.0,23466785.0,-220000.0,27000.0,130000.0,54000.0,,,,,-9000.0,-10000.0,,,-10000.0,,12000.0,,5000.0,-14000,ABMC,2014-09-30
160965,USD,2014,Q4,2015-03-31,2016-03-30,23544129.0,23451702.0,-238000.0,26000.0,160000.0,-54000.0,,,,,-106000.0,-43000.0,,,-43000.0,,68000.0,,68000.0,-81000,ABMC,2014-12-31
160965,USD,2015,Q1,2015-05-15,2016-05-16,24589340.0,24589340.0,-45000.0,25000.0,75000.0,122000.0,,,,,177000.0,-2000.0,,,-2000.0,,71000.0,,-40000.0,135000,ABMC,2015-03-31
160965,USD,2015,Q2,2015-08-14,2016-08-15,26032930.0,26032930.0,-83000.0,20000.0,153000.0,-176000.0,,,,,-86000.0,-5000.0,,,-5000.0,,56000.0,,37000.0,-54000,ABMC,2015-06-30
160965,USD,2015,Q3,2015-11-16,2016-11-14,26032930.0,26032930.0,-2000.0,25000.0,48000.0,-57000.0,,,,,14000.0,-7000.0,,,-7000.0,,-141000.0,,-216000.0,-209000,ABMC,2015-09-30
