SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
591496,USD,2009,Q4,2009-08-28,2011-08-24,500700000.0,501200000.0,352600000.0,79300000.0,43500000.0,-51100000.0,,,,,427500000.0,-71800000.0,588200000.0,-40700000.0,4993500000.0,-165500000.0,729600000.0,0.0,-4554500000.0,901900000,ADP,2009-06-30
591496,USD,2010,Q1,2009-11-06,2010-11-04,501400000.0,503700000.0,284100000.0,77500000.0,74900000.0,-193500000.0,,,,,243700000.0,-47900000.0,510300000.0,-300000.0,367700000.0,-165600000.0,-730400000.0,-13700000.0,-1306400000.0,-682500000,ADP,2009-09-30
591496,USD,2010,Q2,2010-02-09,2011-02-09,502000000.0,506200000.0,315800000.0,77300000.0,88300000.0,-51300000.0,,,,,429200000.0,-71100000.0,-299000000.0,-3500000.0,-5209900000.0,-165200000.0,-500000.0,-138200000.0,4931800000.0,158300000,ADP,2009-12-31
591496,USD,2010,Q3,2010-05-06,2011-05-06,502400000.0,505500000.0,403600000.0,78000000.0,26800000.0,105200000.0,,,,,613700000.0,-41900000.0,-303700000.0,-73500000.0,-5239100000.0,-167300000.0,-400000.0,-127300000.0,4867000000.0,223900000,ADP,2010-03-31
591496,USD,2010,Q4,2010-08-25,2012-08-20,496200000.0,499400000.0,207900000.0,76400000.0,88900000.0,22200000.0,,,,,395500000.0,-62700000.0,-347400000.0,-1100000.0,7701800000.0,-175300000.0,-1600000.0,-487200000.0,-8403400000.0,-321700000,ADP,2010-06-30
591496,USD,2011,Q1,2010-11-04,2011-11-04,491400000.0,494900000.0,278500000.0,75500000.0,52400000.0,-184100000.0,,,,,222300000.0,-45000000.0,-258400000.0,-475300000.0,-4155700000.0,-168000000.0,-4300000.0,-49800000.0,3438800000.0,-466600000,ADP,2010-09-30
591496,USD,2011,Q2,2011-02-09,2012-02-07,492000000.0,496900000.0,310100000.0,82700000.0,73800000.0,-41600000.0,,,,,425000000.0,-58400000.0,-749900000.0,-113500000.0,-1982400000.0,-167600000.0,-400000.0,-52300000.0,1691500000.0,129000000,ADP,2010-12-31
591496,USD,2011,Q3,2011-05-06,2012-05-04,496200000.0,501300000.0,423800000.0,81000000.0,74800000.0,-6600000.0,,,,,573000000.0,-64500000.0,-297100000.0,-185900000.0,-8496700000.0,-177600000.0,-600000.0,-72700000.0,8205500000.0,295200000,ADP,2011-03-31
591496,USD,2011,Q4,2011-08-24,2013-08-19,494400000.0,500100000.0,241800000.0,75400000.0,97800000.0,65700000.0,,,,,485500000.0,-96700000.0,-160400000.0,-1300000.0,7294200000.0,-179200000.0,-400000.0,-558000000.0,-7996600000.0,-211500000,ADP,2011-06-30
591496,USD,2012,Q1,2011-11-04,2012-11-02,487900000.0,493300000.0,302700000.0,78900000.0,50100000.0,-117300000.0,,,,,316300000.0,-57400000.0,-250800000.0,-1900000.0,5882100000.0,-177700000.0,-500000.0,-249200000.0,-6315400000.0,-140500000,ADP,2011-09-30
591496,USD,2012,Q2,2012-02-07,2013-02-06,486700000.0,492400000.0,375000000.0,78200000.0,-24700000.0,2400000.0,,,,,431600000.0,5600000.0,49400000.0,-174400000.0,-4314000000.0,-176200000.0,-500000.0,-48700000.0,3975600000.0,82400000,ADP,2011-12-31
591496,USD,2012,Q3,2012-05-04,2013-05-03,488500000.0,493200000.0,452400000.0,80200000.0,60700000.0,66300000.0,,,,,663200000.0,-69100000.0,-565000000.0,-23500000.0,-6582900000.0,-192500000.0,-500000.0,-102000000.0,6243500000.0,333800000,ADP,2012-03-31
591496,USD,2012,Q4,2012-08-20,2014-08-08,486100000.0,489900000.0,258400000.0,82000000.0,73000000.0,80000000.0,,,,,499100000.0,-57100000.0,-384900000.0,-65900000.0,8258400000.0,-193300000.0,-500000.0,-341400000.0,-8857600000.0,-117000000,ADP,2012-06-30
591496,USD,2013,Q1,2012-11-02,2013-11-01,483500000.0,488400000.0,305300000.0,78300000.0,62900000.0,-511700000.0,,,,,-65100000.0,-64000000.0,-163000000.0,-700000.0,715900000.0,-192100000.0,-8200000.0,-194500000.0,-1093300000.0,-430700000,ADP,2012-09-30
591496,USD,2013,Q2,2013-02-06,2014-02-05,482100000.0,486800000.0,390800000.0,77300000.0,10900000.0,-31800000.0,,,,,448500000.0,-60300000.0,-160200000.0,161400000.0,-2859700000.0,-192200000.0,-500000.0,-112400000.0,2680300000.0,273500000,ADP,2012-12-31
591496,USD,2013,Q3,2013-05-03,2014-05-01,482700000.0,486500000.0,482700000.0,80800000.0,60300000.0,-8000000.0,,,,,618300000.0,-69400000.0,-652900000.0,-14600000.0,-6775600000.0,-210400000.0,-8300000.0,-95100000.0,6426700000.0,256800000,ADP,2013-03-31
591496,USD,2013,Q4,2013-08-19,2015-08-07,482500000.0,486700000.0,227000000.0,14800000.0,69400000.0,198600000.0,,,,,575500000.0,-31500000.0,-287900000.0,-26700000.0,7341000000.0,-210800000.0,-500000.0,-245300000.0,-7862700000.0,51400000,ADP,2013-06-30
591496,USD,2014,Q1,2013-11-01,2014-10-30,480100000.0,484300000.0,328600000.0,64000000.0,38700000.0,-307400000.0,,,,,81300000.0,-65300000.0,202500000.0,0.0,2504100000.0,-210600000.0,2476400000.0,-303000000.0,-3137500000.0,-550100000,ADP,2013-09-30
591496,USD,2014,Q2,2014-02-05,2015-02-05,478400000.0,482800000.0,377000000.0,67000000.0,21900000.0,-113500000.0,,,,,391700000.0,-74900000.0,-388300000.0,0.0,-8727900000.0,-210200000.0,-2478500000.0,-114200000.0,8454600000.0,118100000,ADP,2013-12-31
591496,USD,2014,Q3,2014-05-01,2015-05-06,478900000.0,483000000.0,521500000.0,64900000.0,-2100000.0,156300000.0,,,,,743900000.0,-84300000.0,-426600000.0,24400000.0,2045100000.0,-231200000.0,-600000.0,-41800000.0,-2381300000.0,403700000,ADP,2014-03-31
591496,USD,2014,Q4,2014-08-08,2016-08-05,478200000.0,482300000.0,288800000.0,70700000.0,79500000.0,121100000.0,,,,,604500000.0,-78500000.0,-743000000.0,0.0,4992000000.0,-231100000.0,2172400000.0,-208300000.0,-5294000000.0,312800000,ADP,2014-06-30
591496,USD,2015,Q1,2014-10-30,2015-11-05,478400000.0,481700000.0,295200000.0,67700000.0,235200000.0,-218100000.0,,,,,378200000.0,-56400000.0,-299000000.0,-8100000.0,267100000.0,-229800000.0,-236600000.0,-61200000.0,-418000000.0,192100000,ADP,2014-09-30
591496,USD,2015,Q2,2015-02-05,2016-02-03,476600000.0,480300000.0,331500000.0,69400000.0,60400000.0,-231600000.0,,,,,228900000.0,-84800000.0,-179700000.0,0.0,-13646900000.0,-231500000.0,-1937600000.0,-401000000.0,13120600000.0,-324900000,ADP,2014-12-31
591496,USD,2015,Q3,2015-05-06,2016-05-05,470300000.0,474000000.0,489600000.0,70000000.0,37600000.0,260600000.0,,,,,857100000.0,-74300000.0,-270000000.0,0.0,5903300000.0,-234900000.0,-600000.0,-665500000.0,-6752800000.0,-42200000,ADP,2015-03-31
591496,USD,2015,Q4,2015-08-07,2017-08-04,465100000.0,467200000.0,336200000.0,70800000.0,62700000.0,40100000.0,,,,,509800000.0,-96400000.0,-457900000.0,98600000.0,3716200000.0,-231400000.0,-500000.0,-429500000.0,-4401500000.0,-169300000,ADP,2015-06-30
591496,USD,2016,Q1,2015-11-05,2016-11-03,462400000.0,465700000.0,336600000.0,68800000.0,76600000.0,-372900000.0,,,,,109100000.0,-101000000.0,395500000.0,162500000.0,319200000.0,-229000000.0,1985800000.0,-308100000.0,1128200000.0,1545400000,ADP,2015-09-30
591496,USD,2016,Q2,2016-02-03,2017-02-01,457600000.0,460300000.0,341400000.0,72600000.0,61700000.0,-69400000.0,,,,,406300000.0,-88400000.0,-170800000.0,-300000.0,-6184900000.0,-229800000.0,-700000.0,-464900000.0,5398600000.0,-389800000,ADP,2015-12-31
591496,USD,2016,Q3,2016-05-05,2017-05-04,454400000.0,456900000.0,532500000.0,73300000.0,57900000.0,55300000.0,,,,,719000000.0,-82600000.0,-404400000.0,0.0,-10393700000.0,-242400000.0,12200000.0,-318000000.0,9805800000.0,146500000,ADP,2016-03-31
