SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
111482,USD,2011,Q2,2011-07-28,2012-07-26,,,-27900000.0,61400000.0,300000.0,-13600000.0,,,,,20200000.0,,,-3600000.0,-15000000.0,,-3000000.0,,-3100000.0,2600000,AGI,2011-06-30
111482,USD,2011,Q3,2011-10-28,2012-11-01,,,-33100000.0,60400000.0,11500000.0,-1300000.0,,,,,37500000.0,,,-29300000.0,-43500000.0,,-2900000.0,,-4000000.0,-11300000,AGI,2011-09-30
111482,USD,2011,Q4,2012-03-01,2014-02-27,,,-8400000.0,55400000.0,9100000.0,-15000000.0,,,,,41100000.0,,,-500000.0,-16500000.0,,-3000000.0,,-2900000.0,20800000,AGI,2011-12-31
111482,USD,2012,Q1,2012-04-26,2013-04-25,,,-3100000.0,50100000.0,-10300000.0,-8100000.0,,,,,28600000.0,,,-1200000.0,-15800000.0,,-2900000.0,,-2900000.0,10700000,AGI,2012-03-31
111482,USD,2012,Q2,2012-07-26,2013-08-01,,,-62700000.0,49000000.0,37600000.0,-18800000.0,,,,,5100000.0,,,0.0,-12400000.0,,-3000000.0,,-40000000.0,-48500000,AGI,2012-06-30
111482,USD,2012,Q3,2012-11-01,2013-11-07,,,-2200000.0,48500000.0,4100000.0,-29300000.0,,,,,21100000.0,,,0.0,-11000000.0,,-2900000.0,,-2900000.0,8000000,AGI,2012-09-30
111482,USD,2012,Q4,2013-02-28,2015-03-19,,,-30600000.0,36900000.0,12300000.0,-4500000.0,,,,,14100000.0,,,-12300000.0,-29100000.0,,-3000000.0,,-9300000.0,-24000000,AGI,2012-12-31
111482,USD,2013,Q1,2013-04-25,2014-04-24,,,-4500000.0,29600000.0,5500000.0,14000000.0,,,,,44600000.0,,,-900000.0,-9800000.0,,-3000000.0,,-3000000.0,30600000,AGI,2013-03-31
111482,USD,2013,Q2,2013-08-01,2014-07-31,,,-13400000.0,28400000.0,2900000.0,15900000.0,,,,,33800000.0,,,0.0,-10300000.0,,-2900000.0,,-2900000.0,20700000,AGI,2013-06-30
111482,USD,2013,Q3,2013-11-07,2014-10-30,,,-3300000.0,28300000.0,8300000.0,-8800000.0,,,,,24500000.0,,,-2500000.0,-13100000.0,,-2900000.0,,-2900000.0,9500000,AGI,2013-09-30
111482,USD,2013,Q4,2014-02-27,2016-03-10,,,-68000000.0,27600000.0,16600000.0,-37600000.0,,,,,-61400000.0,,,-200000.0,-17900000.0,,43000000.0,,5500000.0,-73700000,AGI,2013-12-31
111482,USD,2014,Q1,2014-04-24,2015-04-30,,,-36100000.0,25000000.0,3900000.0,23200000.0,,,,,16000000.0,,,,-14100000.0,,9100000.0,,6400000.0,8400000,AGI,2014-03-31
111482,USD,2014,Q2,2014-07-31,2015-07-30,,,-48500000.0,29100000.0,15600000.0,-12600000.0,,,,,-16400000.0,,,,-9600000.0,,58000000.0,,38800000.0,13000000,AGI,2014-06-30
111482,USD,2014,Q3,2014-10-30,2015-11-12,,,-30900000.0,27200000.0,6000000.0,6900000.0,,,,,9200000.0,,,-19400000.0,-32300000.0,,9900000.0,,6900000.0,-17600000,AGI,2014-09-30
111482,USD,2014,Q4,2015-03-19,2017-03-31,,,-258400000.0,28400000.0,245400000.0,16600000.0,,,,,32000000.0,,,-2600000.0,-14900000.0,,-9100000.0,,-11600000.0,4600000,AGI,2014-12-31
111482,USD,2015,Q1,2015-04-30,2016-04-28,,,-25100000.0,24200000.0,6300000.0,-20300000.0,,,,,-14900000.0,,,,-5800000.0,,26900000.0,,26900000.0,4600000,AGI,2015-03-31
111482,USD,2015,Q2,2015-07-30,2016-07-27,,,-16800000.0,23800000.0,3200000.0,-1300000.0,,,,,8900000.0,,,,-8000000.0,,23000000.0,,21100000.0,23100000,AGI,2015-06-30
111482,USD,2015,Q3,2015-11-12,2016-10-27,,,-8000000.0,23700000.0,-1200000.0,-9200000.0,,,,,5300000.0,,,,-9100000.0,,4500000.0,,4500000.0,0,AGI,2015-09-30
111482,USD,2015,Q4,2016-03-10,2017-03-31,,,20500000.0,18100000.0,-22800000.0,-1000000.0,,,,,14800000.0,,,-1700000.0,-9300000.0,,40000000.0,,-9300000.0,-4500000,AGI,2015-12-31
111482,USD,2016,Q1,2016-04-28,2017-05-12,,,2700000.0,14300000.0,-5900000.0,-14500000.0,,,,,-3400000.0,,,,-5900000.0,,-2000000.0,,-2000000.0,-11000000,AGI,2016-03-31
111482,USD,2016,Q2,2016-07-27,2016-07-27,,,7600000.0,13900000.0,-6100000.0,-2400000.0,,,,,13000000.0,,,,-5500000.0,,-2000000.0,,-2200000.0,4100000,AGI,2016-06-30
111482,USD,2016,Q3,2016-10-27,2016-10-27,,,7800000.0,13700000.0,-7700000.0,17000000.0,,,,,30800000.0,,,,-11400000.0,,-1800000.0,,-1900000.0,17300000,AGI,2016-09-30
111482,USD,2016,Q4,2017-03-31,2017-03-31,,,-1000000.0,14800000.0,-6300000.0,-19600000.0,,,,,-12100000.0,,,,-9700000.0,,-2000000.0,,-2200000.0,-25400000,AGI,2016-12-31
