SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
126145,USD,2010,Q2,2010-08-05,2011-08-04,90614000.0,93146000.0,35493000.0,15049000.0,-5632000.0,15245000.0,,,,,60155000.0,-2549000.0,,,-2474000.0,,-35075000.0,3744000.0,-28384000.0,26248000,ANSS,2010-06-30
126145,USD,2010,Q3,2010-11-04,2011-11-03,90880000.0,93212000.0,36130000.0,15152000.0,-5154000.0,26135000.0,,,,,72263000.0,-4736000.0,,0.0,-4714000.0,,-5391000.0,2803000.0,-1340000.0,79228000,ANSS,2010-09-30
126145,USD,2010,Q4,2011-02-25,2013-02-28,91278000.0,93704000.0,49140000.0,15409000.0,-4118000.0,-85696000.0,,,,,-25265000.0,-5105000.0,,0.0,-4439000.0,,-5369000.0,9869000.0,8452000.0,-22237000,ANSS,2010-12-31
126145,USD,2011,Q1,2011-05-05,2012-05-03,91767000.0,94171000.0,42241000.0,14831000.0,6568000.0,21219000.0,,,,,84859000.0,-3341000.0,,,-3418000.0,,-5347000.0,-5594000.0,-9229000.0,77455000,ANSS,2011-03-31
126145,USD,2011,Q2,2011-08-04,2012-08-02,91940000.0,94188000.0,45431000.0,14994000.0,110000.0,18375000.0,,,,,78910000.0,-4264000.0,,,-4280000.0,,-5338000.0,6385000.0,4238000.0,79778000,ANSS,2011-06-30
126145,USD,2011,Q3,2011-11-03,2012-11-01,92277000.0,94445000.0,45546000.0,17091000.0,258000.0,3383000.0,,,,,66278000.0,-4919000.0,,-269753000.0,-274634000.0,,-10645000.0,3501000.0,-5017000.0,-223414000,ANSS,2011-09-30
126145,USD,2011,Q4,2012-02-23,2014-02-27,92496000.0,94720000.0,47457000.0,19039000.0,3669000.0,7449000.0,,,,,77614000.0,-9539000.0,,267000.0,-9311000.0,,-10646000.0,7962000.0,332000.0,65530000,ANSS,2011-12-31
126145,USD,2012,Q1,2012-05-03,2013-05-02,92817000.0,95190000.0,45539000.0,20712000.0,5735000.0,11611000.0,,,,,83597000.0,-4743000.0,,,-4744000.0,,-10639000.0,9169000.0,2402000.0,86018000,ANSS,2012-03-31
126145,USD,2012,Q2,2012-08-02,2013-08-01,92626000.0,94928000.0,50262000.0,21205000.0,-1707000.0,5109000.0,,,,,74869000.0,-9587000.0,,0.0,-9510000.0,,-10635000.0,-55950000.0,-64514000.0,-6362000,ANSS,2012-06-30
126145,USD,2012,Q3,2012-11-01,2013-11-07,92448000.0,94755000.0,51619000.0,21752000.0,-503000.0,-2507000.0,,,,,70361000.0,-3552000.0,,-46395000.0,-49911000.0,,-26574000.0,6885000.0,-20972000.0,3403000,ANSS,2012-09-30
126145,USD,2012,Q4,2013-02-28,2015-02-26,92597000.0,94943000.0,56063000.0,21753000.0,-2887000.0,-5341000.0,,,,,69588000.0,-6095000.0,,1320000.0,-4791000.0,,-26574000.0,-21175000.0,-41762000.0,21816000,ANSS,2012-12-31
126145,USD,2013,Q1,2013-05-02,2014-05-01,92908000.0,95166000.0,51023000.0,20683000.0,3464000.0,20264000.0,,,,,95434000.0,-4087000.0,,0.0,-4117000.0,,-26575000.0,14194000.0,-11883000.0,74290000,ANSS,2013-03-31
126145,USD,2013,Q2,2013-08-01,2014-08-05,92860000.0,95040000.0,55945000.0,20702000.0,816000.0,9685000.0,,,,,87148000.0,-4593000.0,,-4224000.0,-8835000.0,,0.0,-69474000.0,-67513000.0,8410000,ANSS,2013-06-30
126145,USD,2013,Q3,2013-11-07,2014-11-05,92541000.0,95265000.0,62430000.0,19878000.0,-3283000.0,-13585000.0,,,,,65440000.0,-5467000.0,,0.0,-5469000.0,,-26574000.0,11443000.0,-16294000.0,47931000,ANSS,2013-09-30
126145,USD,2013,Q4,2014-02-27,2016-02-25,92455000.0,95085000.0,75929000.0,19438000.0,1843000.0,-12249000.0,,,,,84961000.0,-14701000.0,,0.0,-14756000.0,,0.0,-35301000.0,-34069000.0,35152000,ANSS,2013-12-31
126145,USD,2014,Q1,2014-05-01,2015-05-06,92483000.0,94949000.0,56542000.0,19458000.0,4472000.0,51167000.0,,,,,131639000.0,-4092000.0,,-18398000.0,-22533000.0,,-10000.0,8572000.0,5501000.0,115198000,ANSS,2014-03-31
126145,USD,2014,Q2,2014-08-05,2015-08-05,92314000.0,94338000.0,63036000.0,20414000.0,2516000.0,-6133000.0,,,,,79833000.0,-7831000.0,,-84119000.0,-92035000.0,,-71000.0,-66508000.0,-64199000.0,-74769000,ANSS,2014-06-30
126145,USD,2014,Q3,2014-11-05,2015-11-05,91875000.0,93905000.0,65479000.0,21351000.0,-1057000.0,-4211000.0,,,,,81562000.0,-8705000.0,,0.0,-8746000.0,,-5000.0,-23954000.0,-23271000.0,33890000,ANSS,2014-09-30
126145,USD,2014,Q4,2015-02-26,2017-02-23,91596000.0,93584000.0,69633000.0,20701000.0,512000.0,1427000.0,,,,,92273000.0,-5395000.0,,-499000.0,-5956000.0,,-5000.0,-108580000.0,-103673000.0,-28741000,ANSS,2014-12-31
126145,USD,2015,Q1,2015-05-06,2016-05-05,90059000.0,92140000.0,56132000.0,19428000.0,12647000.0,25913000.0,,,,,114120000.0,-3622000.0,,-10477000.0,-14166000.0,,-5000.0,-109857000.0,-111523000.0,-27670000,ANSS,2015-03-31
126145,USD,2015,Q2,2015-08-05,2016-08-04,89866000.0,91726000.0,62335000.0,19707000.0,2485000.0,-18115000.0,,,,,66412000.0,-4060000.0,,101000.0,-4003000.0,,5000.0,10816000.0,12620000.0,79960000,ANSS,2015-06-30
126145,USD,2015,Q3,2015-11-05,2016-11-03,89694000.0,91593000.0,66033000.0,19647000.0,-309000.0,-7576000.0,,,,,77795000.0,-3083000.0,,-30516000.0,-33490000.0,,-15000.0,-107144000.0,-106535000.0,-64115000,ANSS,2015-09-30
126145,USD,2015,Q4,2016-02-25,2017-02-23,88625000.0,90549000.0,68021000.0,18888000.0,-1527000.0,23814000.0,,,,,109196000.0,-5380000.0,,-5225000.0,-10373000.0,,-6000.0,-88102000.0,-86313000.0,7929000,ANSS,2015-12-31
