SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
175314,USD,2011,Q4,2011-08-07,2013-08-30,24516000.0,25952000.0,9682000.0,5336000.0,2481000.0,-24742000.0,,,,,-7243000.0,-5794000.0,0.0,0.0,-5769000.0,,-13389000.0,793000.0,-12596000.0,-25545000,AOSL,2011-06-30
175314,USD,2012,Q1,2011-11-08,2012-11-06,24472000.0,25495000.0,2139000.0,5850000.0,1310000.0,2642000.0,,,,,11941000.0,-12568000.0,-100000.0,,-12652000.0,,3857000.0,-1448000.0,2409000.0,1692000,AOSL,2011-09-30
175314,USD,2012,Q2,2012-02-08,2013-02-06,24538000.0,25423000.0,1474000.0,5940000.0,1681000.0,1733000.0,,,,,10828000.0,-9316000.0,0.0,,-9357000.0,,6552000.0,804000.0,7356000.0,8860000,AOSL,2011-12-31
175314,USD,2012,Q3,2012-05-08,2013-05-06,24675000.0,25647000.0,2604000.0,6536000.0,1979000.0,-3063000.0,,,,,8056000.0,-6424000.0,0.0,-21330000.0,-27754000.0,,1387000.0,383000.0,1770000.0,-17916000,AOSL,2012-03-31
175314,USD,2012,Q4,2012-08-31,2014-08-29,24939000.0,25859000.0,6700000.0,6937000.0,-449000.0,-11132000.0,,,,,2056000.0,-8010000.0,0.0,0.0,-8168000.0,,7900000.0,1027000.0,8927000.0,2822000,AOSL,2012-06-30
175314,USD,2013,Q1,2012-11-06,2013-11-06,25038000.0,25884000.0,7942000.0,7323000.0,1810000.0,6535000.0,,,,,23610000.0,-10243000.0,,,-10246000.0,,-715000.0,376000.0,-339000.0,13032000,AOSL,2012-09-30
175314,USD,2013,Q2,2013-02-06,2014-02-07,25292000.0,26101000.0,3718000.0,7461000.0,1219000.0,-13340000.0,,,,,-942000.0,-2288000.0,,,-2410000.0,,-1657000.0,1670000.0,13000.0,-3334000,AOSL,2012-12-31
175314,USD,2013,Q3,2013-05-06,2014-05-09,25467000.0,25467000.0,-13173000.0,7517000.0,3752000.0,15489000.0,,,,,13585000.0,-1515000.0,,,-1355000.0,,-247000.0,204000.0,-43000.0,12176000,AOSL,2013-03-31
175314,USD,2013,Q4,2013-08-30,2016-03-22,25595000.0,23940000.0,-4062000.0,7059000.0,1663000.0,-12906000.0,,,,,-8246000.0,-3264000.0,,,-3267000.0,,-950000.0,834000.0,-116000.0,-11634000,AOSL,2013-06-30
175314,USD,2014,Q1,2013-11-06,2014-11-07,25684000.0,26309000.0,307000.0,7030000.0,1150000.0,-1747000.0,,,,,6740000.0,-1384000.0,,,-1426000.0,,-1762000.0,23000.0,-1739000.0,3589000,AOSL,2013-09-30
175314,USD,2014,Q2,2014-02-07,2015-02-06,25846000.0,26462000.0,160000.0,6918000.0,178000.0,1045000.0,,,,,8301000.0,-1654000.0,,,-1614000.0,,-1048000.0,907000.0,-141000.0,6538000,AOSL,2013-12-31
175314,USD,2014,Q3,2014-05-09,2015-05-07,26067000.0,26067000.0,-3294000.0,6912000.0,1316000.0,6986000.0,,,,,11920000.0,-3180000.0,,,-3177000.0,,-974000.0,349000.0,-625000.0,8101000,AOSL,2014-03-31
175314,USD,2014,Q4,2014-08-29,2016-08-26,26211000.0,24970000.0,-277000.0,7016000.0,782000.0,3478000.0,,,,,10999000.0,-2933000.0,,,-2974000.0,,-1054000.0,478000.0,-892000.0,7154000,AOSL,2014-06-30
175314,USD,2015,Q1,2014-11-07,2015-11-06,26385000.0,27003000.0,564000.0,7046000.0,1178000.0,-1159000.0,,,,,7629000.0,-2345000.0,,,-2467000.0,,-5951000.0,858000.0,-5093000.0,46000,AOSL,2014-09-30
175314,USD,2015,Q2,2015-02-06,2016-02-04,26577000.0,26577000.0,-1297000.0,7004000.0,1063000.0,653000.0,,,,,7423000.0,-4593000.0,,,-4431000.0,,-1029000.0,901000.0,-128000.0,2813000,AOSL,2014-12-31
175314,USD,2015,Q3,2015-05-07,2016-05-10,26447000.0,26447000.0,-4105000.0,6756000.0,1130000.0,-619000.0,,,,,3162000.0,-5591000.0,,,-5632000.0,,-953000.0,-3826000.0,-5271000.0,-7716000,AOSL,2015-03-31
175314,USD,2015,Q4,2016-03-22,2016-08-26,26307000.0,25689000.0,-2925000.0,6741000.0,1801000.0,3838000.0,,,,,9455000.0,-8691000.0,,,-8815000.0,,-6699000.0,-742000.0,-7488000.0,-6846000,AOSL,2015-06-30
175314,USD,2016,Q1,2015-11-06,2015-11-06,22698000.0,22698000.0,-1975000.0,6895000.0,1360000.0,1476000.0,,,,,7756000.0,-6002000.0,,,-5830000.0,,-227000.0,-34816000.0,-35043000.0,-33217000,AOSL,2015-09-30
175314,USD,2016,Q2,2016-02-04,2017-02-09,22269000.0,22269000.0,-1611000.0,6883000.0,1452000.0,9962000.0,,,,,16686000.0,-4768000.0,,,-4803000.0,,-229000.0,-2669000.0,-2898000.0,8990000,AOSL,2015-12-31
175314,USD,2016,Q3,2016-05-10,2017-05-04,22232000.0,22232000.0,-1263000.0,6927000.0,1458000.0,-5203000.0,,,,,1919000.0,-3007000.0,,,-3122000.0,,-250000.0,-545000.0,-1743000.0,-2935000,AOSL,2016-03-31
175314,USD,2016,Q4,2017-02-01,2017-02-01,22609000.0,22609000.0,1817000.0,6598000.0,1441000.0,3965000.0,,,,,13821000.0,-8124000.0,,,-7966000.0,,-234000.0,3320000.0,2998000.0,8851000,AOSL,2016-06-30
175314,USD,2017,Q1,2016-11-07,2017-11-09,23031000.0,24413000.0,2430000.0,6503000.0,7584000.0,-7220000.0,,,,,9297000.0,-8220000.0,,,-16994000.0,,-215000.0,6011000.0,38664000.0,31000000,AOSL,2016-09-30
175314,USD,2017,Q2,2017-02-09,2017-02-09,23481000.0,24977000.0,1657000.0,6760000.0,1497000.0,-1142000.0,,,,,8772000.0,-15109000.0,,,-6470000.0,,-193000.0,2718000.0,2309000.0,4019000,AOSL,2016-12-31
175314,USD,2017,Q3,2017-05-04,2017-05-04,23675000.0,24951000.0,2386000.0,6885000.0,1618000.0,142000.0,,,,,11031000.0,-8089000.0,,,-16684000.0,,-214000.0,229000.0,-1552000.0,-6643000,AOSL,2017-03-31
175314,USD,2017,Q4,2017-09-05,2017-09-05,23917000.0,24963000.0,2787000.0,7040000.0,2734000.0,987000.0,,,,,13548000.0,-14830000.0,-600000.0,,-15470000.0,,-197000.0,1741000.0,1388000.0,-442000,AOSL,2017-06-30
175314,USD,2018,Q1,2017-11-09,2017-11-09,24021000.0,24960000.0,3339000.0,6978000.0,2122000.0,-189000.0,,,,,12250000.0,-34009000.0,,,-34821000.0,,-198000.0,179000.0,86846000.0,64457000,AOSL,2017-09-30
175314,USD,2018,Q2,2018-02-08,2018-02-08,23925000.0,25033000.0,5122000.0,7408000.0,1726000.0,-4652000.0,,,,,9604000.0,-41143000.0,,,-40302000.0,,-201000.0,-3996000.0,-4317000.0,-33956000,AOSL,2017-12-31
175314,USD,2018,Q3,2018-05-03,2018-05-03,23795000.0,24755000.0,-488000.0,7432000.0,4017000.0,-18558000.0,,,,,-7597000.0,-61549000.0,,,-61596000.0,,12926000.0,-5499000.0,47428000.0,-21002000,AOSL,2018-03-31
175314,USD,2018,Q4,2018-08-23,2018-08-23,23863000.0,24628000.0,-3025000.0,7601000.0,1348000.0,-16701000.0,,,,,-10777000.0,-57426000.0,0.0,,-57376000.0,,17521000.0,-826000.0,76996000.0,6328000,AOSL,2018-06-30
175314,USD,2019,Q1,2018-11-05,2018-11-05,23844000.0,24594000.0,-913000.0,7870000.0,3178000.0,7852000.0,,,,,17987000.0,-49493000.0,,,-49493000.0,,16220000.0,-1396000.0,14715000.0,-18370000,AOSL,2018-09-30
175314,USD,2019,Q2,2019-02-07,2019-02-07,23887000.0,23887000.0,-5535000.0,8279000.0,4457000.0,5893000.0,,,,,13094000.0,-16834000.0,,,-16834000.0,,12246000.0,1173000.0,37325000.0,33533000,AOSL,2018-12-31
175314,USD,2019,Q3,2019-05-03,2019-05-03,24084000.0,24084000.0,-5955000.0,8010000.0,3268000.0,-13248000.0,,,,,-7925000.0,-23968000.0,,,-23968000.0,,27180000.0,0.0,25437000.0,-5398000,AOSL,2019-03-31
175314,USD,2019,Q4,2019-08-23,2019-08-23,24437000.0,26227000.0,-2235000.0,7879000.0,1843000.0,778000.0,,,,,8265000.0,-22140000.0,0.0,,-22140000.0,,-4036000.0,1740000.0,-2378000.0,-17194000,AOSL,2019-06-30
175314,USD,2020,Q1,2019-11-12,2019-11-12,24538000.0,25130000.0,-1858000.0,10904000.0,2373000.0,-12646000.0,,,,,-1227000.0,-15798000.0,,,-15798000.0,,-986000.0,0.0,-1082000.0,-18912000,AOSL,2019-09-30
175314,USD,2020,Q2,2020-02-10,2021-02-08,24701000.0,24701000.0,-4573000.0,10850000.0,2424000.0,237000.0,,,,,8938000.0,-16623000.0,,,-15369000.0,,13831000.0,1727000.0,12056000.0,6083000,AOSL,2019-12-31
175314,USD,2020,Q3,2020-05-11,2021-02-08,24894000.0,24894000.0,-9886000.0,11784000.0,3414000.0,9000000.0,,,,,14312000.0,-16488000.0,,,-16488000.0,,3320000.0,0.0,5520000.0,3055000,AOSL,2020-03-31
