SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
254576,USD,2009,Q2,2009-08-07,2010-08-17,336000000.0,337000000.0,444720000.0,573359000.0,241505000.0,-436071000.0,,,,,823513000.0,-1404080000.0,,,-661000000.0,-51698000.0,55103000.0,10640000.0,19351000.0,181864000,APA,2009-06-30
254576,USD,2009,Q3,2009-11-06,2010-11-09,336159000.0,337872000.0,442016000.0,625898000.0,228006000.0,16822000.0,,,,,1312742000.0,-682972000.0,,-77210000.0,-772879000.0,-51794000.0,82510000.0,11732000.0,45944000.0,585807000,APA,2009-09-30
254576,USD,2009,Q4,2010-09-28,2012-02-29,337089000.0,337089000.0,585204000.0,614965000.0,246268000.0,98092000.0,,,,,1544529000.0,-792757000.0,,77210000.0,-731330000.0,-53875000.0,17824000.0,3628000.0,-122113000.0,691086000,APA,2009-12-31
254576,USD,2010,Q1,2010-05-07,2011-05-09,337000000.0,339000000.0,705000000.0,639000000.0,225000000.0,-415000000.0,,,,,1154000000.0,-1074000000.0,,,-1048000000.0,-50000000.0,-3000000.0,12000000.0,-28000000.0,78000000,APA,2010-03-31
254576,USD,2010,Q2,2010-08-17,2011-08-08,338000000.0,339000000.0,860000000.0,729000000.0,245000000.0,97000000.0,,,,,1931000000.0,-2121000000.0,,-16000000.0,-2170000000.0,-51000000.0,-52000000.0,12000000.0,-82000000.0,-321000000,APA,2010-06-30
254576,USD,2010,Q3,2010-11-09,2011-11-08,357000000.0,367000000.0,778000000.0,787000000.0,419000000.0,-269000000.0,,,,,1715000000.0,-3664000000.0,,-3544000000.0,-7238000000.0,-51000000.0,1502000000.0,3494000000.0,4929000000.0,-594000000,APA,2010-09-30
254576,USD,2010,Q4,2011-04-07,2013-03-01,376000000.0,391000000.0,689000000.0,928000000.0,364000000.0,-55000000.0,,,,,1926000000.0,-5510000000.0,,2647000000.0,-2947000000.0,-74000000.0,-32000000.0,-33000000.0,-56000000.0,-1077000000,APA,2010-12-31
254576,USD,2011,Q1,2011-05-09,2012-05-08,383000000.0,397000000.0,1134000000.0,936000000.0,173000000.0,-264000000.0,,,,,1979000000.0,-1696000000.0,,,-1749000000.0,-76000000.0,19000000.0,26000000.0,-8000000.0,222000000,APA,2011-03-31
254576,USD,2011,Q2,2011-08-08,2012-08-07,384000000.0,397000000.0,1259000000.0,1029000000.0,351000000.0,106000000.0,,,,,2745000000.0,-1551000000.0,,-78000000.0,-1628000000.0,-77000000.0,-308000000.0,16000000.0,-366000000.0,751000000,APA,2011-06-30
254576,USD,2011,Q3,2011-11-08,2012-11-07,384000000.0,400000000.0,1002000000.0,1065000000.0,621000000.0,-241000000.0,,,,,2447000000.0,-1781000000.0,,-431000000.0,-2249000000.0,-77000000.0,-651000000.0,-42000000.0,-719000000.0,-521000000,APA,2011-09-30
254576,USD,2011,Q4,2012-03-01,2014-02-28,385000000.0,406000000.0,1189000000.0,1174000000.0,301000000.0,118000000.0,,,,,2782000000.0,-1628000000.0,,-1304000000.0,-3019000000.0,-76000000.0,15000000.0,,-54000000.0,-291000000,APA,2011-12-31
