SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
671045,USD,2011,Q4,2011-09-20,2012-09-28,3623000.0,3623000.0,-2029000.0,618000.0,268000.0,8889000.0,,,,,7746000.0,-155000.0,,,-155000.0,,-86000.0,0.0,-86000.0,7505000,ASTC,2011-06-30
671045,USD,2012,Q1,2011-11-14,2012-11-14,3624000.0,3624000.0,-852000.0,592000.0,344000.0,624000.0,,,,,708000.0,-128000.0,,,-128000.0,,-88000.0,0.0,812000.0,1392000,ASTC,2011-09-30
671045,USD,2012,Q2,2012-02-03,2013-02-14,3689000.0,3689000.0,-1952000.0,594000.0,456000.0,-818000.0,,,,,-1720000.0,-125000.0,,,-125000.0,,-89000.0,0.0,-89000.0,-1934000,ASTC,2011-12-31
671045,USD,2012,Q3,2012-05-07,2013-05-15,3752800.0,3830400.0,880000.0,556000.0,215000.0,-41000.0,,,,,1610000.0,-132000.0,,,-132000.0,,-90000.0,0.0,-90000.0,1388000,ASTC,2012-03-31
671045,USD,2012,Q4,2012-09-28,2013-10-15,3769400.0,3691800.0,-1409000.0,501000.0,867000.0,-4666000.0,,,,,-4707000.0,-867000.0,,,-867000.0,,-89000.0,0.0,-89000.0,-5663000,ASTC,2012-06-30
671045,USD,2013,Q1,2012-11-14,2013-11-14,3790200.0,3790200.0,-1558000.0,507000.0,-18000.0,-3761000.0,,,,,-4830000.0,-212000.0,,,-212000.0,,-92000.0,35000.0,-57000.0,-5099000,ASTC,2012-09-30
671045,USD,2013,Q2,2013-02-14,2014-02-14,3885600.0,3885600.0,-926000.0,525000.0,18000.0,707000.0,,,,,324000.0,-376000.0,,,-376000.0,,-93000.0,5000.0,-88000.0,-140000,ASTC,2012-12-31
671045,USD,2013,Q3,2013-05-15,2014-05-14,3892600.0,3892600.0,-238000.0,520000.0,16000.0,3240000.0,,,,,3538000.0,-348000.0,,,-348000.0,,-94000.0,0.0,-94000.0,3096000,ASTC,2013-03-31
671045,USD,2013,Q4,2014-04-11,2014-09-30,3894000.0,3894000.0,1999000.0,563000.0,15000.0,-4511000.0,,,,,-1934000.0,-911000.0,,,-911000.0,,-93000.0,0.0,-93000.0,-2938000,ASTC,2013-06-30
671045,USD,2014,Q1,2013-11-14,2014-11-14,3894000.0,3894000.0,-1171000.0,83000.0,16000.0,-177000.0,,,,,-1041000.0,-41000.0,,,458000.0,,0.0,,-95000.0,-678000,ASTC,2013-09-30
671045,USD,2014,Q2,2014-02-14,2015-02-17,3895800.0,3895800.0,-1737000.0,68000.0,589000.0,-87000.0,,,,,2009000.0,-53000.0,,,328000.0,,0.0,,-96000.0,2241000,ASTC,2013-12-31
671045,USD,2014,Q3,2014-05-14,2015-05-11,3897200.0,3897200.0,-1708000.0,77000.0,16000.0,-9000.0,,,,,-2408000.0,-55000.0,0.0,,400000.0,,0.0,0.0,-99000.0,-2107000,ASTC,2014-03-31
671045,USD,2014,Q4,2014-09-30,2015-09-22,3902600.0,3902600.0,-1709000.0,78000.0,25000.0,1215000.0,,,,,888000.0,-1000.0,0.0,,-1554000.0,,0.0,42000.0,-55000.0,-721000,ASTC,2014-06-30
671045,USD,2015,Q1,2014-11-14,2015-11-12,3909600.0,3909600.0,-1272000.0,85000.0,1000.0,-563000.0,,,,,-3119000.0,-46000.0,0.0,,52545000.0,,-2331000.0,0.0,-7986000.0,41440000,ASTC,2014-09-30
