SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
702906,USD,2014,Q4,2015-02-04,2017-02-28,229500000.0,233300000.0,900000.0,79600000.0,10900000.0,100600000.0,,,,,192000000.0,-32900000.0,,0.0,-24800000.0,,-2200000.0,-2400000.0,-2700000.0,153500000,AXTA,2014-12-31
702906,USD,2015,Q1,2015-05-06,2016-04-28,229800000.0,237000000.0,46700000.0,72600000.0,-5500000.0,-212500000.0,,,,,-98700000.0,-31500000.0,,-3200000.0,-30200000.0,,-16000000.0,0.0,-19700000.0,-159200000,AXTA,2015-03-31
702906,USD,2015,Q2,2015-08-04,2016-07-27,232300000.0,232300000.0,-24300000.0,77500000.0,123500000.0,-73000000.0,,,,,103700000.0,-25100000.0,,100000.0,-26700000.0,,-8200000.0,51900000.0,43100000.0,84900000,AXTA,2015-06-30
702906,USD,2015,Q3,2015-10-30,2016-10-27,235900000.0,240900000.0,36400000.0,75400000.0,44500000.0,2500000.0,,,,,158800000.0,-37200000.0,,-16800000.0,-54200000.0,,-8900000.0,15900000.0,6700000.0,103800000,AXTA,2015-09-30
702906,USD,2015,Q4,2016-02-29,2018-02-22,237200000.0,248600000.0,37000000.0,82200000.0,21400000.0,105400000.0,,,,,246000000.0,-44300000.0,,-9700000.0,-55100000.0,,-109100000.0,-5400000.0,-114800000.0,71400000,AXTA,2015-12-31
702906,USD,2016,Q1,2016-04-28,2017-04-26,237100000.0,243400000.0,31800000.0,76000000.0,16600000.0,-137700000.0,,,,,-13300000.0,-40300000.0,,0.0,-43200000.0,,-7200000.0,2000000.0,-7000000.0,-65400000,AXTA,2016-03-31
702906,USD,2016,Q2,2016-07-27,2017-08-03,237700000.0,244300000.0,53300000.0,78600000.0,43800000.0,23600000.0,,,,,199300000.0,-24500000.0,,0.0,-24000000.0,,-112000000.0,3900000.0,-108000000.0,60900000,AXTA,2016-06-30
702906,USD,2016,Q3,2016-10-27,2017-10-26,238500000.0,238500000.0,-5400000.0,81200000.0,85700000.0,-16200000.0,,,,,145300000.0,-30500000.0,,-103500000.0,-137900000.0,,114100000.0,7900000.0,42200000.0,47900000,AXTA,2016-09-30
702906,USD,2016,Q4,2017-02-28,2018-02-22,239100000.0,251400000.0,-35100000.0,86300000.0,96500000.0,80300000.0,,,,,228000000.0,-40900000.0,,-11300000.0,-51900000.0,,-154700000.0,2900000.0,-159800000.0,7000000,AXTA,2016-12-31
702906,USD,2017,Q1,2017-04-26,2018-04-25,239800000.0,246100000.0,65900000.0,82400000.0,8500000.0,-161500000.0,,,,,-4700000.0,-32300000.0,,-56900000.0,-89400000.0,,-7300000.0,8800000.0,-4600000.0,-96100000,AXTA,2017-03-31
702906,USD,2017,Q2,2017-08-03,2018-07-26,240900000.0,240900000.0,-18900000.0,84900000.0,91000000.0,-58200000.0,,,,,98800000.0,-25100000.0,,-476400000.0,-505900000.0,,453200000.0,-4200000.0,441900000.0,43000000,AXTA,2017-06-30
702906,USD,2017,Q3,2017-10-26,2018-10-25,240700000.0,245800000.0,56300000.0,88600000.0,12400000.0,55000000.0,,,,,212300000.0,-29800000.0,,-26000000.0,-51400000.0,,-8900000.0,-43100000.0,-56600000.0,107000000,AXTA,2017-09-30
702906,USD,2017,Q4,2018-02-22,2018-02-22,240200000.0,251600000.0,-55600000.0,91600000.0,119000000.0,78600000.0,,,,,233600000.0,-37800000.0,,-5100000.0,-42900000.0,,-17500000.0,4900000.0,-13400000.0,180900000,AXTA,2017-12-31
702906,USD,2018,Q1,2018-04-25,2018-04-25,240900000.0,245800000.0,71000000.0,91900000.0,-1200000.0,-182700000.0,,,,,-21000000.0,-39500000.0,,-78200000.0,-144600000.0,,-16200000.0,2900000.0,-14300000.0,-169600000,AXTA,2018-03-31
702906,USD,2018,Q2,2018-07-26,2018-07-26,240300000.0,244600000.0,77100000.0,90200000.0,45200000.0,-70500000.0,,,,,142000000.0,-35100000.0,,0.0,-29800000.0,,-36400000.0,-96200000.0,-143000000.0,-49500000,AXTA,2018-06-30
702906,USD,2018,Q3,2018-10-25,2018-10-25,238700000.0,238700000.0,-11600000.0,92800000.0,8200000.0,41000000.0,,,,,130400000.0,-34900000.0,,-1000000.0,-30100000.0,,-17400000.0,-37300000.0,-61100000.0,37100000,AXTA,2018-09-30
702906,USD,2018,Q4,2019-02-26,2019-02-26,236100000.0,242500000.0,76800000.0,94200000.0,15700000.0,58000000.0,,,,,244700000.0,-33900000.0,,-3600000.0,15300000.0,,-17100000.0,-123200000.0,-149800000.0,105500000,AXTA,2018-12-31
702906,USD,2019,Q1,2019-04-25,2019-04-25,234100000.0,236600000.0,44100000.0,91600000.0,11600000.0,-205200000.0,,,,,-57900000.0,-20500000.0,,-1700000.0,-18800000.0,,-18600000.0,-54300000.0,-101800000.0,-177700000,AXTA,2019-03-31
702906,USD,2019,Q2,2019-07-25,2019-07-25,233300000.0,235400000.0,99900000.0,88700000.0,-4400000.0,-57500000.0,,,,,126700000.0,-26700000.0,,8000000.0,-14900000.0,,-15600000.0,-25100000.0,-46100000.0,65900000,AXTA,2019-06-30
702906,USD,2019,Q3,2019-10-25,2019-10-25,233900000.0,235500000.0,66400000.0,87000000.0,-6000000.0,73600000.0,,,,,221000000.0,-26700000.0,,-200000.0,-25300000.0,,-15300000.0,20100000.0,2900000.0,185500000,AXTA,2019-09-30
702906,USD,2019,Q4,2020-02-19,2020-02-19,234300000.0,235700000.0,42200000.0,85700000.0,51400000.0,104000000.0,,,,,283300000.0,-38600000.0,,-1200001.0,-34900001.0,,-17600000.0,-46000000.0,-13400000.0,250399999,AXTA,2019-12-31
702906,USD,2020,Q1,2020-05-06,2021-04-26,234900000.0,235900000.0,52400000.0,86600000.0,-37400000.0,-102400000.0,,,,,-800000.0,-22700000.0,,,-18600000.0,,-317800000.0,,-321300000.0,-360500000,AXTA,2020-03-31
